Team,LRMCB,Year
Arizona,10,2016
Ark LR,39,2016
Austin Peay,213,2016
Baylor,31,2016
Buffalo,133,2016
Butler,38,2016
California,23,2016
Chattanooga,86,2016
Cincinnati,29,2016
Colorado,54,2016
Connecticut,26,2016
CSU Bakersfield,118,2016
Dayton,48,2016
Duke,12,2016
Fairleigh Dickinson,258,2016
Florida Gulf Coast,179,2016
Fresno St,93,2016
Gonzaga,21,2016
Green Bay,120,2016
Hampton,243,2016
Hawaii,60,2016
Holy Cross,260,2016
Indiana,15,2016
Iona,88,2016
Iowa,19,2016
Iowa St,17,2016
Kansas,1,2016
Kentucky,8,2016
Maryland,24,2016
Miami,18,2016
Michigan,57,2016
Michigan St,4,2016
Middle Tennessee St,126,2016
NC Ash,111,2016
NC Wilmington,94,2016
North Carolina,3,2016
Northern Iowa,65,2016
Notre Dame,37,2016
Oklahoma,7,2016
Oregon,14,2016
Oregon St,79,2016
Pittsburgh,45,2016
Providence,50,2016
Purdue,9,2016
Seton Hall,28,2016
SF Austin,80,2016
South Dakota St,66,2016
Southern,186,2016
St Josephs,46,2016
Stony Brook,74,2016
Syracuse,41,2016
Temple,99,2016
Texas,36,2016
Texas AM,11,2016
Texas Tech,55,2016
Tulsa,69,2016
USC,40,2016
Utah,30,2016
Vanderbilt,25,2016
VCU,32,2016
Villanova,2,2016
Virginia,5,2016
Weber St,134,2016
West Virginia,6,2016
Wichita St,20,2016
Wisconsin,43,2016
Xavier,16,2016
Yale,81,2016
Arizona,21,2017
Arkansas,40,2017
Baylor,18,2017
Bucknell,62,2017
Butler,25,2017
Cincinnati,19,2017
Creighton,27,2017
Dayton,51,2017
Duke,8,2017
Eastern Tennessee,60,2017
Florida,9,2017
Florida Gulf Coast,97,2017
Florida St,20,2017
Gonzaga,1,2017
Iona,96,2017
Iowa St,17,2017
Jacksonville St,157,2017
Kansas,7,2017
Kansas St,28,2017
Kent St,120,2017
Kentucky,4,2017
Louisville,12,2017
Marquette,30,2017
Maryland,49,2017
Miami,42,2017
Michigan,15,2017
Michigan St,41,2017
Middle Tennessee St,32,2017
Minnesota,35,2017
Mount St Marys,155,2017
NC Central,138,2017
NC Wilmington,48,2017
Nevada,45,2017
New Mexico St,95,2017
New Orleans,221,2017
North Carolina,5,2017
North Dakota,187,2017
Northern Kentucky,134,2017
Northwestern,34,2017
Notre Dame,23,2017
Oklahoma St,26,2017
Oregon,16,2017
Princeton,80,2017
Providence,57,2017
Purdue,14,2017
Rhode Island,36,2017
Seton Hall,53,2017
SMU,10,2017
South Carolina,33,2017
South Dakota St,170,2017
St Marys,24,2017
Texas Southern,148,2017
Troy,114,2017
UC Davis,198,2017
UCLA,13,2017
USC,70,2017
Vanderbilt,31,2017
VCU,39,2017
Vermont,58,2017
Villanova,2,2017
Virginia,11,2017
Virginia Tech,46,2017
Wake Forest,29,2017
West Virginia,3,2017
Wichita St,6,2017
Winthrop,103,2017
Wisconsin,22,2017
Xavier,38,2017
Alabama,38,2018
Arizona,21,2018
Arizona St,29,2018
Arkansas,33,2018
Auburn,17,2018
Bucknell,76,2018
Buffalo,60,2018
Butler,26,2018
Cal St Fullerton,173,2018
Charleston,107,2018
Cincinnati,4,2018
Clemson,24,2018
Creighton,34,2018
Davidson,43,2018
Duke,3,2018
Florida,20,2018
Florida St,50,2018
Georgia St,77,2018
Gonzaga,5,2018
Houston,11,2018
Iona,112,2018
