Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,Year
1,Michigan,B10,31,29–219–1,128.44,90.32,.98281,58.79,44.21,16.9186,15.8234,36.024,28.169,39.082,26.315,61.62,44.13,36.539,29.67,42.2131,41.7262,72.713,+12.91,2026
2,Dukevs. 56 Florida St.,ACC,31,29–217–1,126.86,90.01,.98102,57.413,45.810,15.598,18.570,37.216,24.98,37.9104,22.72,61.04,46.216,35.3102,30.111,44.284,45.6338,66.9257,+12.02,2026
3,Arizonavs. 54 UCF,B12,31,29–216–2,125.011,90.83,.97543,55.041,44.62,15.274,16.9162,38.45,26.223,42.923,28.636,55.747,43.42,35.3102,31.239,26.9363,37.1105,71.335,+11.63,2026
4,Florida,SEC,31,25–616–2,125.48,91.64,.97364,54.070,46.012,16.1143,15.4258,42.72,24.87,38.591,33.8144,58.319,44.86,31.3313,32.275,37.4223,33.425,71.629,+8.25,2026
5,Houstonvs. 38 BYU,B12,31,26–514–4,124.613,92.45,.96895,52.3134,46.920,12.72,21.410,36.024,31.0201,26.6355,39.0283,52.7145,46.620,34.5152,31.549,41.6140,41.7262,64.4349,+7.96,2026
6,Illinois,B10,31,24–715–5,131.31,97.725,.96756,55.041,47.531,13.410,11.7365,39.13,26.935,33.3232,19.81,57.825,47.538,34.9128,31.753,50.99,41.5255,66.7270,+6.911,2026
7,Iowa St.vs. 11 Texas Tech,B12,32,26–612–6,122.924,93.06,.96117,56.322,49.379,15.059,22.74,35.439,28.271,35.0179,28.232,55.548,50.6123,38.414,31.856,38.7195,43.0295,68.1192,+6.713,2026
8,Connecticutvs. 93 Xavier,BE,31,27–417–3,122.726,93.711,.95738,55.631,45.67,16.5162,18.385,34.951,28.688,31.2280,40.1299,56.935,45.28,35.773,30.831,40.0167,35.867,66.0303,+8.54,2026
9,Purduevs. 62 Northwestern,B10,31,23–813–7,130.52,99.832,.95619,57.911,52.3228,13.818,15.9229,35.927,26.021,28.3339,27.524,58.023,53.1239,38.512,34.2190,40.8153,45.8342,65.9307,+6.614,2026
10,Gonzaga,WCC,33,30–316–2,120.537,93.59,.948710,56.322,46.215,13.715,20.517,34.854,25.920,31.1283,31.081,58.717,46.216,34.0169,30.831,31.0340,43.7312,69.998,+7.39,2026
11,Michigan St.,B10,31,25–615–5,121.133,94.012,.948611,53.680,48.041,17.1209,14.9294,38.36,22.61,36.2154,30.878,53.895,47.538,35.588,32.484,36.4240,45.9344,66.8265,+7.87,2026
