Team,BPI,BPI_Rk,Off,Def,Year
DUKE,26.4,1,13.0,13.4,2026
MICH,24.9,2,12.4,12.5,2026
ARIZ,23.7,3,11.7,12.0,2026
FLA,23.1,4,11.3,11.8,2026
HOU,22.9,5,10.5,12.4,2026
ILL,21.3,6,13.3,8.1,2026
ISU,21.2,7,9.7,11.4,2026
GONZ,20.7,8,9.6,11.0,2026
PUR,19.8,9,13.1,6.6,2026
CONN,19.6,10,9.2,10.4,2026
LOU,19.3,11,10.5,8.8,2026
TENN,18.9,12,8.7,10.2,2026
MSU,18.7,13,7.8,10.9,2026
ALA,18.1,14,12.5,5.6,2026
VAN,18.0,15,10.8,7.2,2026
SJU,17.4,16,7.1,10.3,2026
NEB,17.4,17,6.4,11.0,2026
TTU,17.2,18,10.5,6.7,2026
KU,17.1,19,6.5,10.6,2026
ARK,17.1,20,11.1,6.0,2026
BYU,16.7,21,11.1,5.6,2026
UK,16.4,22,9.2,7.2,2026
UVA,16.1,23,8.0,8.1,2026
WIS,15.4,24,9.8,5.6,2026
UCLA,15.2,25,8.9,6.4,2026
AUB,14.8,26,10.7,4.1,2026
SMC,14.8,27,6.0,8.8,2026
TA&M,14.8,28,8.7,6.1,2026
OSU,14.7,29,9.3,5.4,2026
UNC,14.6,30,7.6,7.0,2026
CLEM,14.5,31,5.8,8.8,2026
IOWA,14.4,32,8.1,6.3,2026
UGA,14.4,33,9.3,5.0,2026
VILL,14.2,34,7.7,6.5,2026
SLU,14.1,35,7.7,6.4,2026
USU,13.7,36,8.9,4.9,2026
NCSU,13.5,37,9.1,4.4,2026
IU,13.5,38,7.7,5.9,2026
TEX,13.5,39,9.8,3.7,2026
MIA,13.5,40,7.7,5.8,2026
OU,12.6,41,9.6,3.0,2026
SMU,12.6,42,8.5,4.0,2026
CIN,12.3,43,2.1,10.2,2026
MIZ,12.1,44,7.8,4.3,2026
BAY,12.0,45,9.0,2.9,2026
VCU,11.7,46,6.7,5.0,2026
WVU,11.3,47,2.3,8.9,2026
TCU,11.2,48,3.6,7.6,2026
SCU,10.9,49,7.0,3.8,2026
WASH,10.4,50,5.1,5.4,2026
USF,10.1,51,5.2,4.9,2026
LSU,10.1,52,6.8,3.2,2026
HALL,9.9,53,0.5,9.4,2026
SDSU,9.9,54,2.5,7.4,2026
MISS,9.8,55,4.6,5.2,2026
UNM,9.8,56,4.1,5.7,2026
UCF,9.8,57,6.8,3.0,2026
NU,9.6,58,5.0,4.7,2026
PROV,9.6,59,8.0,1.6,2026
MCN,9.5,60,4.5,5.0,2026
WAKE,9.4,61,5.3,4.1,2026
CREI,9.3,62,5.5,3.7,2026
TLSA,9.0,63,7.3,1.7,2026
HPU,8.9,64,6.3,2.6,2026
BUT,8.8,65,5.5,3.3,2026
USC,8.7,66,3.8,4.9,2026
VT,8.7,67,4.8,3.9,2026
DAY,8.6,68,2.3,6.3,2026
AKR,8.2,69,6.2,2.0,2026
GCU,8.2,70,0.8,7.4,2026
MINN,8.0,71,3.6,4.5,2026
OKST,7.8,72,5.1,2.7,2026
STAN,7.8,73,4.2,3.7,2026
GW,7.8,74,4.8,3.0,2026
MARQ,7.8,75,2.0,5.7,2026
FSU,7.7,76,4.2,3.5,2026
SYR,7.6,77,3.9,3.7,2026
BOIS,7.6,78,4.4,3.3,2026
MSST,7.6,79,3.9,3.7,2026
GTWN,7.6,80,3.3,4.3,2026
CAL,7.5,81,3.0,4.5,2026
UNI,7.4,82,0.2,7.2,2026
NEV,7.1,83,3.7,3.4,2026
GMU,7.1,84,2.8,4.2,2026
CSU,6.8,85,6.0,0.8,2026
KSU,6.7,86,3.4,3.3,2026
WICH,6.7,87,2.9,3.8,2026
ND,6.6,88,4.2,2.4,2026
ORE,6.6,89,2.6,3.9,2026
M-OH,6.5,90,5.0,1.5,2026
ASU,6.4,91,3.0,3.4,2026
COLO,6.4,92,5.1,1.4,2026
SC,6.3,93,2.6,3.7,2026
PITT,6.2,94,3.7,2.5,2026
XAV,6.1,95,4.3,1.8,2026
BEL,5.9,96,4.9,1.0,2026
YALE,5.8,97,5.2,0.6,2026
MD,5.6,98,2.7,2.9,2026
DEP,5.1,99,-0.6,5.7,2026
ILST,5.0,100,1.7,3.3,2026
LIB,4.7,101,5.2,-0.5,2026
HOF,4.6,102,1.5,3.1,2026
UAB,4.6,103,1.5,3.1,2026
MEM,4.4,104,-0.1,4.6,2026
UNLV,4.3,105,3.2,1.2,2026
SF,4.1,106,2.4,1.7,2026
UTAH,4.1,107,3.4,0.7,2026
DAV,4.0,108,1.2,2.8,2026
UNCW,3.9,109,1.6,2.3,2026
UVU,3.8,110,0.9,3.0,2026
SHSU,3.8,111,2.7,1.1,2026
UCI,3.6,112,-2.9,6.5,2026
RUTG,3.6,113,1.8,1.9,2026
URI,3.3,114,-1.1,4.4,2026
SFA,3.3,115,0.3,3.0,2026
