Team,PowerRank,Year
Arizona (23-1),1,2026
Michigan (23-1),2,2026
Duke (22-2),3,2026
Houston (22-2),4,2026
Florida (18-6),5,2026
Connecticut (23-2),6,2026
Illinois (20-5),7,2026
Iowa State (21-3),8,2026
Michigan State (20-4),9,2026
Kansas (19-5),10,2026
Nebraska (21-3),11,2026
Purdue (20-4),12,2026
Gonzaga (24-2),13,2026
Texas Tech (18-6),14,2026
Vanderbilt (20-4),15,2026
Brigham Young (18-6),16,2026
Virginia (21-3),17,2026
Tennessee (17-7),18,2026
St. John’s (19-5),19,2026
North Carolina (19-5),20,2026
Arkansas (18-6),21,2026
Saint Louis (22-1),22,2026
Alabama (17-7),23,2026
Louisville (18-6),24,2026
Iowa (18-6),25,2026
Wisconsin (17-7),26,2026
North Carolina State (18-7),27,2026
Villanova (19-5),28,2026
TCU (15-9),29,2026
Auburn (14-10),30,2026
St. Mary’s (21-4),31,2026
Clemson (20-5),32,2026
SMU (17-7),33,2026
Miami (FL) (19-5),34,2026
Texas (14-9),35,2026
Kentucky (17-7),36,2026
Utah State (20-3),37,2026
UCLA (17-7),38,2026
Santa Clara (21-5),39,2026
Texas A&M (17-7),40,2026
Indiana (17-8),41,2026
Georgia (17-7),42,2026
Seton Hall (17-8),43,2026
Ohio State (16-8),44,2026
UCF (17-6),45,2026
VCU (19-6),46,2026
Virginia Tech (17-8),47,2026
Cincinnati (13-12),48,2026
Wake Forest (12-12),49,2026
New Mexico (18-6),50,2026
Missouri (17-7),51,2026
Washington (12-13),52,2026
Baylor (12-11),53,2026
USC (17-7),54,2026
West Virginia (15-9),55,2026
San Diego State (16-6),56,2026
Oklahoma State (16-8),57,2026
South Florida (16-8),58,2026
Oklahoma (12-12),59,2026
Stanford (16-9),60,2026
Providence (11-14),61,2026
Tulsa (18-5),62,2026
Syracuse (14-11),63,2026
Arizona State (13-12),64,2026
California (16-8),65,2026
Florida State (11-13),66,2026
Belmont (22-4),67,2026
LSU (14-10),68,2026
Notre Dame (11-14),69,2026
Colorado (14-11),70,2026
Minnesota (11-13),71,2026
Nevada (17-7),72,2026
George Washington (13-11),73,2026
Boise State (14-8),74,2026
Butler (13-12),75,2026
Miami (OH) (21-0),76,2026
Grand Canyon (15-9),77,2026
Stephen F. Austin (20-3),78,2026
Northwestern (10-15),79,2026
Georgetown (13-11),80,2026
Mississippi (11-13),81,2026
Creighton (13-12),82,2026
Akron (17-5),83,2026
George Mason (20-4),84,2026
McNeese State (18-5),85,2026
Kansas State (10-14),86,2026
Illinois State (16-9),87,2026
Northern Iowa (15-10),88,2026
Mississippi State (11-13),89,2026
Wichita State (14-10),90,2026
Liberty (18-3),91,2026
Memphis (12-12),92,2026
High Point (20-4),93,2026
Xavier (12-12),94,2026
Winthrop (16-8),95,2026
Hofstra (15-9),96,2026
Dayton (15-9),97,2026
Yale (16-4),98,2026
Utah Valley (15-7),99,2026
DePaul (13-12),100,2026
San Francisco (13-13),101,2026
Georgia Tech (11-14),102,2026
Utah (9-15),103,2026
Murray State (19-8),104,2026
South Carolina (11-13),105,2026
Marquette (9-16),106,2026
Colorado State (13-10),107,2026
Oregon (8-16),108,2026
Wyoming (12-11),109,2026
Penn State (11-14),110,2026
Seattle (13-11),111,2026
Sam Houston State (13-8),112,2026
Rhode Island (14-10),113,2026
Duquesne (12-10),114,2026
North Carolina Wilmington (19-4),115,2026
Pittsburgh (9-16),116,2026
Troy (15-9),117,2026
Hawaii (16-5),118,2026
Montana State (11-11),119,2026
Florida Atlantic (12-11),120,2026
Oakland (13-12),121,2026
Pacific (15-10),122,2026
Davidson (13-9),123,2026
California Baptist (19-6),124,2026
Richmond (13-11),125,2026
William & Mary (14-9),126,2026
UC San Diego (15-9),127,2026
UNLV (11-12),128,2026
St. Thomas – Minnesota (17-7),129,2026
Portland State (14-6),130,2026
St. Bonaventure (13-10),131,2026
North Dakota State (17-6),132,2026
Southern Illinois (11-14),133,2026
Northern Colorado (13-10),134,2026
UC Irvine (14-9),135,2026
UAB (15-9),136,2026
Washington State (10-16),137,2026
Boston College (9-15),138,2026
Bradley (16-9),139,2026
Illinois Chicago (12-12),140,2026
Maryland (10-14),141,2026
UT Rio Grande Valley (12-11),142,2026
UCSB (15-8),143,2026
North Texas (12-11),144,2026
Middle Tennessee (9-12),145,2026
Rutgers (9-15),146,2026
East Tennessee State (17-7),147,2026
Wright State (14-10),148,2026
New Mexico State (8-13),149,2026
St. Joseph’s (13-10),150,2026
Massachusetts (14-10),151,2026
Kent State (16-7),152,2026
Mercer (13-10),153,2026
Fresno State (10-13),154,2026
Arkansas State (14-10),155,2026
Montana (11-10),156,2026
Temple (14-9),157,2026
Oregon State (14-13),158,2026
Western Kentucky (11-11),159,2026
Appalachian State (16-9),160,2026
Loyola Marymount (12-14),161,2026
Kennesaw State (11-10),162,2026
Bowling Green (12-10),163,2026
Portland (10-15),164,2026
UC Davis (13-10),165,2026
Fordham (10-12),166,2026
Marshall (15-9),167,2026
Toledo (11-12),168,2026
Towson (12-12),169,2026
Valparaiso (12-13),170,2026
Austin Peay (16-6),171,2026
Texas Arlington (12-10),172,2026
Colgate (14-10),173,2026
Monmouth (12-12),174,2026
Charleston (15-10),175,2026
Charlotte (12-11),176,2026
Cal State Northridge (13-10),177,2026
Buffalo (13-10),178,2026
Navy (18-6),179,2026
Cal State Fullerton (11-13),180,2026
