Team,PowerRank,Year
Arizona,18,2016
Ark LR,56,2016
Austin Peay,243,2016
Baylor,26,2016
Buffalo,149,2016
Butler,34,2016
California,22,2016
Chattanooga,98,2016
Cincinnati,31,2016
Colorado,54,2016
Connecticut,36,2016
CSU Bakersfield,116,2016
Dayton,49,2016
Duke,14,2016
Fairleigh Dickinson,272,2016
Florida Gulf Coast,179,2016
Fresno St,94,2016
Gonzaga,27,2016
Green Bay,118,2016
Hampton,250,2016
Hawaii,66,2016
Holy Cross,293,2016
Indiana,17,2016
Iona,103,2016
Iowa,11,2016
Iowa St,16,2016
Kansas,2,2016
Kentucky,8,2016
Maryland,20,2016
Miami,12,2016
Michigan,63,2016
Michigan St,5,2016
Middle Tennessee St,134,2016
NC Ash,117,2016
NC Wilmington,74,2016
North Carolina,1,2016
Northern Iowa,82,2016
Notre Dame,35,2016
Oklahoma,6,2016
Oregon,13,2016
Oregon St,59,2016
Pittsburgh,42,2016
Providence,43,2016
Purdue,10,2016
Seton Hall,23,2016
SF Austin,96,2016
South Dakota St,75,2016
Southern,194,2016
St Josephs,50,2016
Stony Brook,99,2016
Syracuse,38,2016
Temple,91,2016
Texas,28,2016
Texas AM,19,2016
Texas Tech,46,2016
Tulsa,61,2016
USC,48,2016
Utah,29,2016
Vanderbilt,24,2016
VCU,33,2016
Villanova,4,2016
Virginia,3,2016
Weber St,136,2016
West Virginia,7,2016
Wichita St,25,2016
Wisconsin,30,2016
Xavier,15,2016
Yale,67,2016
Arizona,21,2017
Arkansas,40,2017
Baylor,11,2017
Bucknell,81,2017
Butler,18,2017
Cincinnati,22,2017
Creighton,26,2017
Dayton,37,2017
Duke,7,2017
Eastern Tennessee,68,2017
Florida,10,2017
Florida Gulf Coast,97,2017
Florida St,17,2017
Gonzaga,1,2017
Iona,123,2017
Iowa St,13,2017
Jacksonville St,179,2017
Kansas,5,2017
Kansas St,29,2017
Kent St,137,2017
Kentucky,6,2017
Louisville,8,2017
Marquette,28,2017
Maryland,41,2017
Miami,35,2017
Michigan,24,2017
Michigan St,42,2017
Middle Tennessee St,38,2017
Minnesota,30,2017
Mount St Marys,202,2017
NC Central,138,2017
NC Wilmington,53,2017
Nevada,57,2017
New Mexico St,89,2017
New Orleans,208,2017
North Carolina,4,2017
North Dakota,164,2017
Northern Kentucky,159,2017
Northwestern,39,2017
