Team,PowerRank,Year
Michigan (26-2),24.21,2026
Arizona (26-2),23.41,2026
Duke (26-2),23.29,2026
Florida (22-6),20.67,2026
Connecticut (26-3),20.05,2026
Illinois (22-6),19.15,2026
Gonzaga (28-2),18.96,2026
Houston (23-5),18.81,2026
Iowa State (24-4),18.46,2026
Purdue (22-6),18.19,2026
Texas Tech (21-7),18.03,2026
Kansas (21-9),17.98,2026
Michigan State (23-5),17.59,2026
Nebraska (24-4),17.51,2026
Virginia (25-3),16.71,2026
Vanderbilt (22-6),16.05,2026
Brigham Young (20-8),15.89,2026
Kansas (12-5),15.78,2026
Arkansas (21-7),15.43,2026
Tennessee (20-8),15.23,2026
Alabama (21-7),14.73,2026
North Carolina (22-6),14.73,2026
Louisville (20-8),14.43,2026
Saint Louis (24-3),14.14,2026
St. John’s (22-6),13.97,2026
St. Mary’s (25-4),13.87,2026
Wisconsin (19-9),13.84,2026
Miami (FL) (22-6),13.06,2026
Villanova (22-6),13.01,2026
Iowa (20-8),12.85,2026
SMU (19-9),12.69,2026
North Carolina State (19-9),12.62,2026
TCU (18-10),12.37,2026
Texas (16-11),12.02,2026
Clemson (20-8),12,2026
Kentucky (18-10),11.96,2026
Auburn (15-13),11.78,2026
Utah State (22-5),11.6,2026
Georgia (19-9),11.45,2026
UCF (20-7),11.31,2026
Cincinnati (15-13),11.3,2026
UCLA (19-9),11.25,2026
Ohio State (17-11),11.07,2026
Santa Clara (22-7),10.83,2026
Texas A&M (19-9),10.78,2026
VCU (21-7),10.45,2026
Virginia Tech (18-10),10.25,2026
Seton Hall (19-9),10.02,2026
Missouri (19-9),9.63,2026
San Diego State (18-8),9.53,2026
South Florida (19-8),9.41,2026
Wake Forest (14-14),9.4,2026
West Virginia (16-12),9.35,2026
Washington (14-14),9.32,2026
Indiana (17-11),9.21,2026
Oklahoma (14-14),9.18,2026
New Mexico (20-7),9.18,2026
Florida State (14-14),9.03,2026
California (19-8),8.77,2026
Baylor (13-14),8.68,2026
Arizona State (14-14),8.66,2026
Providence (13-15),8.6,2026
Stanford (17-11),8.39,2026
Oklahoma State (17-11),8.35,2026
Tulsa (21-6),8.32,2026
Belmont (25-4),8.29,2026
Minnesota (13-15),7.94,2026
Colorado (16-12),7.91,2026
LSU (15-13),7.75,2026
USC (17-10),7.49,2026
Miami (OH) (25-0),7.46,2026
Syracuse (15-13),7.39,2026
Grand Canyon (18-10),7.21,2026
George Washington (15-12),7.17,2026
Georgetown (13-15),7.08,2026
Butler (15-14),6.8,2026
Nevada (19-9),6.75,2026
Notre Dame (12-16),6.65,2026
Akron (21-5),6.62,2026
Dayton (19-9),6.58,2026
Northwestern (12-16),6.42,2026
Boise State (16-10),6.31,2026
McNeese State (22-5),6.26,2026
Creighton (14-15),6.22,2026
Stephen F. Austin (23-4),5.88,2026
Wichita State (18-10),5.61,2026
DePaul (15-13),5.48,2026
Kansas State (11-17),5.46,2026
Mississippi State (13-15),5.29,2026
Mississippi (11-17),5.23,2026
Northern Iowa (17-12),5.22,2026
Utah Valley (18-7),5.13,2026
Xavier (13-15),5.07,2026
High Point (24-4),5.05,2026
Hofstra (17-10),4.9,2026
Yale (19-4),4.81,2026
Oregon (11-17),4.64,2026
Colorado State (17-10),4.58,2026
Utah (10-18),4.57,2026
Illinois State (18-11),4.55,2026
Winthrop (17-10),4.43,2026
Marquette (10-18),4.36,2026
Sam Houston State (17-8),4.12,2026
George Mason (20-7),3.97,2026
Seattle (16-12),3.79,2026
North Carolina Wilmington (23-4),3.73,2026
South Carolina (12-16),3.63,2026
Wyoming (14-13),3.55,2026
Georgia Tech (11-17),3.4,2026
Liberty (20-5),3.3,2026
Pittsburgh (10-18),3.21,2026
Memphis (12-16),3.19,2026
Davidson (15-11),3.19,2026
Murray State (20-10),3.06,2026
Florida Atlantic (14-13),3.05,2026
St. Thomas – Minnesota (19-8),2.93,2026
Rhode Island (15-13),2.89,2026
Montana State (13-13),2.82,2026
Pacific (15-13),2.81,2026
Illinois Chicago (15-13),2.81,2026
San Francisco (14-15),2.74,2026
Penn State (11-17),2.53,2026
UAB (17-10),2.5,2026
Maryland (11-17),2.43,2026
UNLV (13-14),2.39,2026
Troy (17-11),2.33,2026
UC Irvine (17-10),2.25,2026
UC San Diego (18-9),2.23,2026
Southern Illinois (14-15),2.22,2026
Oakland (15-14),2.14,2026
Western Kentucky (15-11),2.11,2026
St. Bonaventure (14-13),2.1,2026
St. Joseph’s (16-10),2.09,2026
Duquesne (14-12),2.07,2026
Richmond (14-13),2.02,2026
California Baptist (20-8),2.01,2026
William & Mary (15-11),1.98,2026
Bradley (18-11),1.96,2026
Northern Colorado (15-11),1.84,2026
Washington State (11-18),1.7,2026
Boston College (10-18),1.64,2026
North Dakota State (20-7),1.63,2026
Hawaii (18-7),1.56,2026
UT Rio Grande Valley (14-13),1.44,2026
Rutgers (11-17),1.29,2026
UCSB (16-11),1.13,2026
Middle Tennessee (11-14),1.08,2026
North Texas (14-13),1.04,2026
Fresno State (11-16),0.84,2026
East Tennessee State (19-9),0.67,2026
Portland State (15-9),0.63,2026
Kennesaw State (14-11),0.62,2026
Fordham (13-12),0.59,2026
Wright State (17-11),0.55,2026
Kent State (19-7),0.5,2026
Valparaiso (16-13),0.39,2026
Massachusetts (14-14),0.33,2026
Robert Morris (18-10),0.28,2026
New Mexico State (10-14),0.24,2026
Charleston (19-10),0.19,2026
Arkansas State (17-11),0.19,2026
Navy (22-6),0.17,2026
Cal State Northridge (16-11),0.07,2026
Loyola Marymount (14-15),0.05,2026
Oregon State (16-14),0.03,2026
Toledo (13-13),-0.04,2026
Marshall (18-11),-0.14,2026
UC Davis (15-12),-0.16,2026
Appalachian State (17-11),-0.17,2026
Eastern Washington (11-17),-0.19,2026
Temple (14-13),-0.22,2026
Mercer (15-12),-0.3,2026
New Orleans (14-15),-0.38,2026
Idaho (13-13),-0.47,2026
Bowling Green (13-13),-0.53,2026
South Alabama (19-9),-0.54,2026
Samford (15-13),-0.55,2026
Harvard (14-10),-0.56,2026
Charlotte (14-13),-0.66,2026
Buffalo (14-12),-0.74,2026
Austin Peay (19-7),-0.78,2026
Towson (13-14),-0.91,2026
Montana (12-13),-0.97,2026
Monmouth (14-14),-0.99,2026
Weber State (13-14),-1.19,2026
Texas Arlington (13-13),-1.2,2026
Central Arkansas (17-11),-1.24,2026
Youngstown State (12-15),-1.28,2026
Furman (16-11),-1.29,2026
Utah Tech (15-12),-1.32,2026
Jacksonville State (11-14),-1.38,2026
Pennsylvania (12-11),-1.46,2026
Northern Kentucky (15-12),-1.53,2026
Merrimack (20-9),-1.59,2026
Denver (11-16-1),-1.66,2026
Cal State Fullerton (13-14),-1.68,2026
Tennessee-Martin (18-9),-1.75,2026
LIU Brooklyn (20-10),-1.79,2026
Quinnipiac (17-11),-1.79,2026
Elon (12-15),-1.93,2026
Texas A&M Corpus Christi (11-14),-1.94,2026
Marist (17-10),-1.99,2026
Campbell (11-16),-2,2026
Siena (19-10),-2.02,2026
Colgate (15-13),-2.04,2026
Lipscomb (16-12),-2.16,2026
Coastal Carolina (17-12),-2.21,2026
Florida International (10-15),-2.21,2026
Tulane (16-11),-2.24,2026
James Madison (16-13),-2.28,2026
Missouri State (10-15),-2.48,2026
Drake (10-18),-2.53,2026
Green Bay (14-14),-2.53,2026
Eastern Michigan (9-19),-2.57,2026
Cornell (10-12),-2.58,2026
Tennessee State (17-9),-2.59,2026
Stony Brook (15-12),-2.7,2026
Idaho State (9-17),-2.78,2026
Drexel (15-14),-2.82,2026
Lamar (10-17),-2.83,2026
Columbia (13-10),-2.95,2026
Portland (10-18),-2.96,2026
North Carolina Asheville (11-15),-3.02,2026
San Diego (9-19),-3.26,2026
Iona (16-13),-3.35,2026
La Salle (7-20),-3.37,2026
Southeast Missouri State (15-12),-3.4,2026
South Dakota State (11-16),-3.43,2026
Radford (13-14),-3.44,2026
Cal Poly (11-16),-3.46,2026
Tarleton State (10-15),-3.52,2026
Vermont (17-11),-3.55,2026
Queens (17-12),-3.64,2026
St. Peter’s (14-11),-3.65,2026
Abilene Christian (10-15),-3.65,2026
Ohio (13-13),-3.66,2026
Longwood (12-15),-3.72,2026
Indiana State (8-20),-3.74,2026
UMBC (17-8),-3.89,2026
Southern Miss (13-15),-3.94,2026
Incarnate Word (8-18),-3.95,2026
Louisiana Tech (13-12),-3.98,2026
Howard (14-10),-4.02,2026
American (14-14),-4.04,2026
Delaware (9-18),-4.11,2026
Texas State (16-12),-4.24,2026
Princeton (7-18),-4.27,2026
Old Dominion (9-20),-4.37,2026
South Carolina Upstate (9-18),-4.41,2026
Rice (9-17),-4.44,2026
Purdue Fort Wayne (13-14),-4.45,2026
Nebraska Omaha (11-15),-4.5,2026
San Jose State (7-20),-4.56,2026
Wofford (17-11),-4.63,2026
UTEP (7-18),-4.71,2026
Charleston Southern (11-16),-4.78,2026
Georgia Southern (13-15),-5.01,2026
Bethune-Cookman (15-13),-5.02,2026
Wisconsin Milwaukee (11-19),-5.03,2026
Fairfield (17-11),-5.04,2026
Boston University (13-16),-5.12,2026
Nicholls (11-17),-5.12,2026
Mercyhurst (12-16),-5.2,2026
Detroit (12-14),-5.36,2026
Dartmouth (9-13),-5.47,2026
Florida Gulf Coast (12-16),-5.5,2026
Northeastern (6-21),-5.53,2026
Central Michigan (7-19),-5.58,2026
East Carolina (9-18),-5.6,2026
Georgia State (8-20),-5.62,2026
Long Beach State (6-21),-5.65,2026
Northwestern State (8-19),-5.74,2026
Presbyterian (11-16),-5.76,2026
SIU Edwardsville (15-12),-5.79,2026
Hampton (10-17),-5.86,2026
North Carolina A&T (9-16),-5.9,2026
Central Connecticut (15-11),-5.96,2026
Sacramento State (6-19),-6.09,2026
Loyola Chicago (6-22),-6.2,2026
Lehigh (12-16),-6.29,2026
Pepperdine (6-22),-6.32,2026
Southern Utah (6-19),-6.38,2026
Western Carolina (11-15),-6.47,2026
Western Michigan (9-17),-6.53,2026
UC Riverside (7-21),-6.55,2026
North Dakota (13-15),-6.57,2026
Southeastern Louisiana (7-21),-6.6,2026
Brown (7-15),-6.61,2026
Chattanooga (9-18),-6.61,2026
Morehead State (16-12),-6.96,2026
Le Moyne (14-15),-6.99,2026
Houston Christian (9-18),-7.01,2026
Northern Arizona (7-19),-7.02,2026
Lindenwood (13-14),-7.08,2026
South Dakota (12-15),-7.09,2026
Southern (10-15),-7.19,2026
Mount St. Mary’s (13-15),-7.23,2026
Bellarmine (9-18),-7.28,2026
Wagner (9-16),-7.29,2026
East Texas A&M (9-19),-7.55,2026
Sacred Heart (11-18),-7.6,2026
Alabama State (8-19),-7.63,2026
Eastern Kentucky (9-19),-7.64,2026
Oral Roberts (5-22),-7.91,2026
IU Indy (5-23),-7.96,2026
Evansville (4-23),-8.36,2026
West Georgia (11-16),-8.47,2026
Holy Cross (8-20),-8.48,2026
Grambling State (10-16),-8.58,2026
Louisiana (10-20),-8.59,2026
Tennessee Tech (10-17),-8.59,2026
Norfolk State (10-14),-8.63,2026
New Haven (10-17),-8.7,2026
North Carolina Greensboro (11-17),-8.79,2026
NJIT (14-14),-9.03,2026
Ball State (7-19),-9.05,2026
Alabama A&M (13-12),-9.14,2026
Arkansas Little Rock (9-19),-9.16,2026
Massachusetts Lowell (10-16),-9.19,2026
Jacksonville (9-19),-9.23,2026
Northern Illinois (7-18),-9.26,2026
Eastern Illinois (9-18),-9.36,2026
Maryland Eastern Shore (6-20),-9.47,2026
Loyola (MD) (9-19),-9.47,2026
Lafayette (9-20),-9.63,2026
Cleveland State (7-20),-9.86,2026
Prairie View A&M (8-17),-9.87,2026
Albany (7-19),-9.94,2026
Stonehill (9-19),-10,2026
Arkansas Pine Bluff (10-16),-10.29,2026
Farleigh Dickinson (8-19),-10.52,2026
New Hampshire (6-19),-10.57,2026
North Alabama (7-19),-10.7,2026
Chicago State (6-23),-10.87,2026
Maine (7-21),-10.88,2026
Bucknell (9-21),-10.92,2026
Manhattan (11-17),-10.95,2026
CSU Bakersfield (6-21),-10.95,2026
Southern Indiana (5-22),-11.17,2026
Bryant (6-20),-11.2,2026
Army (9-19),-11.22,2026
Florida A&M (10-15),-11.39,2026
Stetson (8-20),-11.55,2026
Texas Southern (9-16),-11.6,2026
UTSA (3-23),-12.05,2026
Niagara (6-21),-12.7,2026
North Carolina Central (6-16),-12.72,2026
North Florida (5-23),-12.93,2026
Louisiana Monroe (2-26),-12.99,2026
Morgan State (9-14),-13.34,2026
Alcorn State (7-20),-13.34,2026
Canisius (8-20),-13.35,2026
Missouri Kansas City (1-24-1),-13.48,2026
Air Force (3-25),-13.82,2026
Citadel (6-21),-14.02,2026
St. Francis (PA) (5-23),-14.28,2026
Rider (3-23),-14.73,2026
Binghamton (4-23),-14.75,2026
Delaware State (3-19),-15.54,2026
Jackson State (9-19),-15.62,2026
Virginia Military (3-24),-15.66,2026
Western Illinois (2-25),-15.92,2026
South Carolina State (5-20),-17.28,2026
Gardner-Webb (1-26),-17.94,2026
Coppin State (6-21),-19.11,2026
Mississippi Valley State (1-27),-22.49,2026
