Year,Region,Round,TeamA,SeedA,ScoreA,TeamB,SeedB,ScoreB,Winner,Location
2008,East,R64,UNC,1,113,Mount St. Mary's,16,74,UNC,"Raleigh, NC"
2008,East,R64,Indiana,8,72,Arkansas,9,86,Arkansas,"Raleigh, NC"
2008,East,R64,Notre Dame,5,68,George Mason,12,50,Notre Dame,"Denver, CO"
2008,East,R64,Washington State,4,71,Winthrop,13,40,Washington State,"Denver, CO"
2008,East,R64,Oklahoma,6,72,St. Joseph's,11,64,Oklahoma,"Birmingham, AL"
2008,East,R64,Louisville,3,79,Boise State,14,61,Louisville,"Birmingham, AL"
2008,East,R64,Butler,7,81,South Alabama,10,61,Butler,"Birmingham, AL"
2008,East,R64,Tennessee,2,72,American,15,57,Tennessee,"Birmingham, AL"
2008,East,R32,UNC,1,108,Arkansas,9,77,UNC,"Raleigh, NC"
2008,East,R32,Notre Dame,5,41,Washington State,4,61,Washington State,"Denver, CO"
2008,East,R32,Oklahoma,6,48,Louisville,3,78,Louisville,"Birmingham, AL"
2008,East,R32,Butler,7,71,Tennessee,2,76,Tennessee,"Birmingham, AL"
2008,East,S16,UNC,1,68,Washington State,4,47,UNC,"Charlotte, NC"
2008,East,S16,Louisville,3,79,Tennessee,2,60,Louisville,"Charlotte, NC"
2008,East,E8,UNC,1,83,Louisville,3,73,UNC,"Charlotte, NC"
2008,Midwest,R64,Kansas,1,85,Portland State,16,61,Kansas,"Omaha, NE"
2008,Midwest,R64,UNLV,8,71,Kent State,9,58,UNLV,"Omaha, NE"
2008,Midwest,R64,Clemson,5,69,Villanova,12,75,Villanova,"Tampa, FL"
2008,Midwest,R64,Vanderbilt,4,62,Siena,13,83,Siena,"Tampa, FL"
2008,Midwest,R64,USC,6,67,Kansas State,11,80,Kansas State,"Omaha, NE"
2008,Midwest,R64,Wisconsin,3,71,Cal State Fullerton,14,56,Wisconsin,"Omaha, NE"
2008,Midwest,R64,Gonzaga,7,76,Davidson,10,82,Davidson,"Raleigh, NC"
2008,Midwest,R64,Georgetown,2,66,UMBC,15,47,Georgetown,"Raleigh, NC"
2008,Midwest,R32,Kansas,1,75,UNLV,8,56,Kansas,"Omaha, NE"
2008,Midwest,R32,Villanova,12,84,Siena,13,72,Villanova,"Tampa, FL"
2008,Midwest,R32,Kansas State,11,55,Wisconsin,3,72,Wisconsin,"Omaha, NE"
2008,Midwest,R32,Davidson,10,74,Georgetown,2,70,Davidson,"Raleigh, NC"
2008,Midwest,S16,Kansas,1,72,Villanova,12,57,Kansas,"Detroit, MI"
2008,Midwest,S16,Wisconsin,3,56,Davidson,10,73,Davidson,"Detroit, MI"
2008,Midwest,E8,Kansas,1,59,Davidson,10,57,Kansas,"Detroit, MI"
2008,South,R64,Memphis,1,87,UT Arlington,16,63,Memphis,"North Little Rock, AR"
2008,South,R64,Mississippi State,8,76,Oregon,9,69,Mississippi State,"North Little Rock, AR"
2008,South,R64,Michigan State,5,72,Temple,12,61,Michigan State,"Denver, CO"
2008,South,R64,Pitt,4,82,Oral Roberts,13,63,Pitt,"Denver, CO"
2008,South,R64,Marquette,6,74,Kentucky,11,66,Marquette,"Anaheim, CA"
2008,South,R64,Stanford,3,77,Cornell,14,53,Stanford,"Anaheim, CA"
2008,South,R64,Miami (FL),7,78,Saint Mary's,10,64,Miami (FL),"North Little Rock, AR"
2008,South,R64,Texas,2,74,Austin Peay,15,54,Texas,"North Little Rock, AR"
2008,South,R32,Memphis,1,77,Mississippi State,8,74,Memphis,"North Little Rock, AR"
2008,South,R32,Michigan State,5,65,Pitt,4,54,Michigan State,"Denver, CO"
2008,South,R32,Marquette,6,81,Stanford,3,82,Stanford,"Anaheim, CA"
2008,South,R32,Miami (FL),7,72,Texas,2,75,Texas,"North Little Rock, AR"
2008,South,S16,Memphis,1,92,Michigan State,5,74,Memphis,"Houston, TX"
2008,South,S16,Stanford,3,62,Texas,2,82,Texas,"Houston, TX"
2008,South,E8,Memphis,1,85,Texas,2,67,Memphis,"Houston, TX"
2008,West,R64,UCLA,1,70,Mississippi Valley State,16,29,UCLA,"Anaheim, CA"
2008,West,R64,BYU,8,62,Texas A&M,9,67,Texas A&M,"Anaheim, CA"
2008,West,R64,Drake,5,99,Western Kentucky,12,101,Western Kentucky,"Tampa, FL"
2008,West,R64,UConn,4,69,San Diego,13,70,San Diego,"Tampa, FL"
2008,West,R64,Purdue,6,90,Baylor,11,79,Purdue,"Washington, DC"
2008,West,R64,Xavier,3,73,Georgia,14,61,Xavier,"Washington, DC"
2008,West,R64,West Virginia,7,75,Arizona,10,65,West Virginia,"Washington, DC"
2008,West,R64,Duke,2,71,Belmont,15,70,Duke,"Washington, DC"
2008,West,R32,UCLA,1,51,Texas A&M,9,49,UCLA,"Anaheim, CA"
2008,West,R32,Western Kentucky,12,72,San Diego,13,63,Western Kentucky,"Tampa, FL"
2008,West,R32,Purdue,6,78,Xavier,3,85,Xavier,"Washington, DC"
