Year,Team,Index,LRMCB
2016,Arizona,11,10
2016,Ark LR,153,39
2016,Austin Peay,18,213
2016,Baylor,21,31
2016,Buffalo,34,133
2016,Butler,35,38
2016,California,41,23
2016,Chattanooga,51,86
2016,Cincinnati,54,29
2016,Colorado,59,54
2016,Connecticut,62,26
2016,CSU Bakersfield,38,118
2016,Dayton,68,48
2016,Duke,76,12
2016,Fairleigh Dickinson,90,258
2016,Florida Gulf Coast,95,179
2016,Fresno St,98,93
2016,Gonzaga,108,21
2016,Green Bay,111,120
2016,Hampton,112,243
2016,Hawaii,115,60
2016,Holy Cross,118,260
2016,Indiana,129,15
2016,Iona,131,88
2016,Iowa,132,19
2016,Iowa St,133,17
2016,Kansas,138,1
2016,Kentucky,142,8
2016,Maryland,168,24
2016,Miami,177,18
2016,Michigan,179,57
2016,Michigan St,180,4
2016,Middle Tennessee St,181,126
2016,NC Ash,335,111
2016,NC Wilmington,337,94
2016,North Carolina,211,3
2016,Northern Iowa,222,65
2016,Notre Dame,226,37
2016,Oklahoma,230,7
2016,Oregon,234,14
2016,Oregon St,235,79
2016,Pittsburgh,241,45
2016,Providence,247,50
2016,Purdue,248,9
2016,Seton Hall,277,28
2016,SF Austin,299,80
2016,SF Austin,299,80
2016,SF Austin,299,80
2016,South Dakota St,283,66
2016,Southern,288,186
2016,St Josephs,264,46
2016,Stony Brook,302,74
2016,Syracuse,303,41
2016,Temple,307,99
2016,Texas,312,36
2016,Texas AM,313,11
2016,Texas Tech,317,55
2016,Tulsa,323,69
2016,USC,339,40
2016,Utah,346,30
2016,Vanderbilt,353,25
2016,VCU,350,32
2016,Villanova,355,2
2016,Virginia,356,5
2016,Weber St,363,134
2016,West Virginia,365,6
2016,Wichita St,370,20
2016,Wisconsin,374,43
2016,Xavier,379,16
2016,Yale,380,81
2017,Arizona,11,21
2017,Arkansas,13,40
2017,Baylor,21,18
2017,Bucknell,33,62
2017,Butler,35,25
2017,Cincinnati,54,19
2017,Creighton,65,27
2017,Dayton,68,51
2017,Duke,76,8
2017,Eastern Tennessee,79,60
2017,Florida,91,9
2017,Florida Gulf Coast,95,97
2017,Florida St,96,20
2017,Gonzaga,108,1
2017,Iona,131,96
2017,Iowa St,133,17
2017,Jacksonville St,136,157
2017,Kansas,138,7
2017,Kansas St,139,28
2017,Kent St,141,120
2017,Kentucky,142,4
2017,Louisville,159,12
2017,Marquette,166,30
2017,Maryland,168,49
2017,Miami,177,42
2017,Michigan,179,15
2017,Michigan St,180,41
2017,Middle Tennessee St,181,32
2017,Minnesota,183,35
2017,Mount St Marys,194,155
2017,NC Central,213,138
2017,NC Wilmington,337,48
2017,Nevada,201,45
2017,New Mexico St,205,95
2017,New Orleans,206,221
2017,North Carolina,211,5
2017,North Dakota,214,187
2017,Northern Kentucky,223,134
2017,Northwestern,224,34
2017,Notre Dame,226,23
2017,Oklahoma St,231,26
2017,Oregon,234,16
2017,Princeton,246,80
2017,Providence,247,57
2017,Purdue,248,14
2017,Rhode Island,253,36
2017,Seton Hall,277,53
2017,SMU,260,10
2017,South Carolina,280,33
2017,South Dakota St,283,170
2017,St Marys,266,24
2017,Texas Southern,315,148
2017,Troy,321,114
2017,UC Davis,325,198
2017,UCLA,331,13
2017,USC,339,70
2017,Vanderbilt,353,31
2017,VCU,350,39
2017,Vermont,354,58
2017,Villanova,355,2
2017,Virginia,356,11
2017,Virginia Tech,357,46
2017,Wake Forest,359,29
2017,West Virginia,365,3
2017,Wichita St,370,6
2017,Winthrop,373,103
2017,Wisconsin,374,22
2017,Xavier,379,38
2018,Alabama,4,38
2018,Arizona,11,21
2018,Arizona St,12,29
2018,Arkansas,13,33
2018,Auburn,17,17
2018,Bucknell,33,76
2018,Buffalo,34,60
2018,Butler,35,26
2018,Cal St Fullerton,39,173
2018,Charleston,48,107
2018,Cincinnati,54,4
2018,Clemson,55,24
2018,Creighton,65,34
2018,Davidson,67,43
2018,Duke,76,3
2018,Florida,91,20
2018,Florida St,96,50
2018,Georgia St,106,77
2018,Gonzaga,108,5
2018,Houston,119,11
2018,Iona,131,112
2018,Kansas,138,9
2018,Kansas St,139,53
2018,Kentucky,142,16
2018,Lipscomb,152,160
2018,LIU Brooklyn,143,227
2018,Loyola,160,42
2018,Marshall,167,110
2018,Miami,177,45
2018,Michigan,179,13
2018,Michigan St,180,7
2018,Missouri,187,49
2018,Montana,190,75
2018,Murray St,195,68
2018,Nevada,201,18
2018,New Mexico St,205,40
2018,North Carolina,211,8
2018,North Carolina Central,213,267
2018,North Carolina St,196,46
2018,Ohio St,229,22
2018,Oklahoma,230,55
2018,Penn,238,108
2018,Providence,247,57
2018,Purdue,248,6
2018,Radford,252,155
2018,Rhode Island,253,36
2018,San Diego St,271,44
2018,Seton Hall,277,30
2018,SF Austin,299,95
2018,SF Austin,299,95
2018,SF Austin,299,95
2018,South Dakota St,283,79
2018,St Bonaventure,294,72
2018,Syracuse,303,54
2018,TCU,304,23
2018,Tennessee,308,12
2018,Texas,312,35
2018,Texas AM,313,27
2018,Texas Southern,315,175
2018,Texas Tech,317,15
2018,UCLA,331,37
2018,UMBC,332,196
2018,UNC Greensboro,336,71
2018,Villanova,355,1
2018,Virginia,356,2
2018,Virginia Tech,357,47
2018,West Virginia,365,10
2018,Wichita St,370,19
2018,Wright St,377,115
2018,Xavier,379,14
2019,Abilene Christian,1,160
2019,Arizona State,12,57
2019,Auburn,17,11
2019,Baylor,21,50
2019,Belmont,23,47
2019,Bradley,30,148
2019,Buffalo,34,12
2019,Cincinnati,54,32
2019,Colgate,58,98
2019,Duke,76,2
2019,Fairleigh Dickinson,90,269
2019,Florida,91,29
2019,Florida State,96,17
2019,Gardner Webb,100,175
2019,Gardner Webb,100,175
2019,Gardner Webb,100,175
2019,Georgia State,106,105
2019,Gonzaga,108,1
2019,Houston,119,16
2019,Iona,131,234
2019,Iowa,132,43
2019,Iowa State,133,15
2019,Kansas,138,18
2019,Kansas State,139,25
2019,Kentucky,142,9
2019,Liberty,150,64
2019,Louisville,159,20
2019,LSU,144,22
2019,Marquette,166,26
2019,Maryland,168,27
2019,Michigan,179,6
2019,Michigan State,180,3
2019,Minnesota,183,51
2019,Mississippi,184,42
2019,Mississippi State,185,21
2019,Montana,190,113
2019,Murray State,195,52
2019,Nevada,201,19
2019,New Mexico State,205,41
2019,North Carolina,211,5
2019,North Carolina Central,213,314
2019,North Dakota St.,215,223
2019,North Dakota St.,215,223
2019,North Dakota St.,215,223
2019,North Dakota St.,215,223
2019,Northeastern,218,84
2019,Northern Kentucky,223,68
2019,Ohio State,229,45
2019,Oklahoma,230,40
2019,Old Dominion,232,90
2019,Oregon,234,31
2019,Prairie View A&M,244,285
2019,Purdue,248,10
2019,Saint Louis,265,53
2019,Saint Louis,265,53
2019,Saint Louis,265,53
2019,Saint Louis,265,53
2019,Saint Mary's,266,76
2019,Seton Hall,277,77
2019,St. John's,296,39
2019,St. John's,296,39
2019,St. John's,296,39
2019,St. John's,296,39
2019,Syracuse,303,38
2019,Temple,307,81
2019,Tennessee,308,7
2019,Texas Tech,317,8
2019,UC Irvine,326,65
2019,UCF,330,55
2019,Utah State,347,28
2019,VCU,350,35
2019,Vermont,354,67
2019,Villanova,355,23
2019,Virginia,356,4
2019,Virginia Tech,357,14
2019,Washington,360,36
2019,Wisconsin,374,13
2019,Wofford,376,24
2019,Yale,380,106
2021,Abilene Christian,1,54
2021,Alabama,4,6
2021,Appalachian State,10,173
2021,Arkansas,13,18
2021,Baylor,21,3
2021,BYU,19,28
2021,Clemson,55,65
2021,Cleveland St,56,122
2021,Colgate,58,16
2021,Colorado,59,7
2021,Connecticut,62,27
2021,Creighton,65,12
2021,Drake,74,39
2021,Drexel,75,149
2021,Eastern Washington,84,88
2021,Florida,91,50
2021,Florida St,96,35
2021,Georgetown,103,71
2021,Georgia Tech,107,41
2021,Gonzaga,108,1
2021,Grand Canyon,110,127
2021,Hartford,113,150
2021,Houston,119,5
2021,Illinois,125,2
2021,Iona,131,189
2021,Iowa,132,4
2021,Kansas,138,13
2021,Liberty,150,82
2021,Loyola-Chicago,160,10
2021,LSU,144,25
2021,Maryland,168,34
2021,Michigan,179,8
2021,Michigan St,180,70
2021,Missouri,187,49
2021,Morehead St,192,106
2021,Mount St. Mary's,194,156
2021,NC Greensboro,336,55
2021,Norfolk St,209,171
2021,North Carolina,211,22
2021,North Texas,217,60
2021,Ohio,228,84
2021,Ohio St,229,9
2021,Oklahoma,230,29
2021,Oklahoma St,231,23
2021,Oral Roberts,233,119
2021,Oregon,234,30
2021,Oregon St,235,77
2021,Purdue,248,20
2021,Rutgers,258,45
2021,San Diego St,271,26
2021,St. Bonaventure,294,37
2021,Syracuse,303,62
2021,Tennessee,308,24
2021,Texas,312,15
2021,Texas Southern,315,196
2021,Texas Tech,317,17
2021,UC Santa Barbara,329,68
2021,UCLA,331,47
2021,USC,339,11
2021,Utah St,347,40
2021,VCU,350,36
2021,Villanova,355,21
2021,Virginia,356,32
2021,Virginia Tech,357,83
2021,West Virginia,365,14
2021,Wichita St,370,105
2021,Winthrop,373,43
2021,Wisconsin,374,19
2022,Akron,3,109
2022,Alabama,4,20
2022,Arizona,11,2
2022,Arkansas,13,22
2022,Auburn,17,8
2022,Baylor,21,7
2022,BoiseState,26,29
2022,Bryant,32,174
2022,Chattanooga,51,45
2022,Colgate,58,86
2022,ColoradoState,60,64
2022,Connecticut,62,19
2022,Creighton,65,52
2022,CSFullerton,39,155
2022,Davidson,67,32
2022,Delaware,70,114
2022,Duke,76,11
2022,GeorgiaState,106,199
2022,Gonzaga,108,1
2022,Houston,119,3
2022,Illinois,125,16
2022,Indiana,129,30
2022,Iowa,132,10
2022,IowaState,133,50
2022,JacksonvilleState,136,134
2022,Kansas,138,5
2022,Kentucky,142,4
2022,Longwood,155,153
2022,LoyolaChicago,160,25
2022,LSU,144,15
2022,Marquette,166,46
2022,Memphis,172,23
2022,Miami,177,54
2022,Michigan,179,40
2022,MichiganState,180,26
2022,MontanaState,191,103
2022,MurrayState,195,21
2022,NewMexicoState,205,82
2022,NorfolkState,209,156
2022,NorthCarolina,211,35
2022,NotreDame,226,61
2022,OhioState,229,42
2022,Providence,247,56
2022,Purdue,248,14
2022,Richmond,255,66
2022,Rutgers,258,83
2022,SaintMarys,266,24
2022,SaintPeters,267,118
2022,SanDiegoState,271,31
2022,SanFrancisco,272,27
2022,SetonHall,277,47
2022,SouthDakotaState,283,43
2022,TCU,304,55
2022,Tennessee,308,13
2022,Texas,312,17
2022,TexasA&MCC,314,215
2022,TexasSouthern,315,144
2022,TexasTech,317,6
2022,UAB,324,28
2022,UCLA,331,12
2022,USC,339,44
2022,Vermont,354,36
2022,Villanova,355,9
2022,VirginiaTech,357,18
2022,Wisconsin,374,33
2022,WrightState,377,139
2022,Wyoming,378,75
2022,Yale,380,151
2023,Alabama,4,20
2023,Texas A&M CC,314,204
2023,Maryland,168,84
2023,West Virginia,365,19
2023,San Diego State,271,19
2023,Charleston,48,85
2023,Virginia,356,76
2023,Furman,99,67
2023,Creighton,65,52
2023,NC State,196,50
2023,NC State,196,50
2023,NC State,196,50
2023,NC State,196,50
2023,Baylor,21,7
2023,UCSB,329,125
2023,Missouri,187,138
2023,Utah State,347,37
2023,Arizona,11,2
2023,Princeton,246,116
2023,Purdue,248,14
2023,Texas Southern,315,285
2023,Memphis,172,23
2023,Florida Atlantic,93,63
2023,Florida Atlantic,93,63
2023,Florida Atlantic,93,63
2023,Florida Atlantic,93,63
2023,Duke,76,11
2023,Oral Roberts,233,100
2023,Tennessee,308,13
2023,Louisiana,156,187
2023,Kentucky,142,4
2023,Providence,247,56
2023,Kansas State,139,38
