Region,Seed,Team,Team Index
EAST,1,Duke,76
EAST,2,Michigan St,180
EAST,3,Iowa St,133
EAST,4,Texas Tech,317
EAST,5,Arkansas,13
EAST,6,Wisconsin,374
EAST,7,Villanova,355
EAST,8,Georgia,104
EAST,9,Ohio St,229
EAST,10,NC State,196
EAST,11,Santa Clara,274
EAST,11,SMU,260
EAST,12,South Florida,284
EAST,13,SF Austin,299
EAST,14,Wright St,377
EAST,15,Queens,250
EAST,16,UMBC,332
MIDWEST,1,Michigan,179
MIDWEST,2,Uconn,62
MIDWEST,3,Purdue,248
MIDWEST,4,Kansas,138
MIDWEST,5,Vanderbilt,353
MIDWEST,6,North Carolina,211
MIDWEST,7,Kentucky,142
MIDWEST,8,Clemson,55
MIDWEST,9,St Louis,265
MIDWEST,10,Iowa,132
MIDWEST,11,Miami OH,178
MIDWEST,12,High Point,116
MIDWEST,13,NDSU,215
MIDWEST,14,Hofstra,117
MIDWEST,15,Merrimack,176
MIDWEST,16,Bethune Cookman,24
MIDWEST,16,Lehigh,149
SOUTH,1,Florida,91
SOUTH,2,Houston,119
SOUTH,3,Nebraska,199
SOUTH,4,Virginia,356
SOUTH,5,St John's,296
SOUTH,6,Louisville,159
SOUTH,7,St Marys,266
SOUTH,8,Utah St,347
SOUTH,9,TCU,304
SOUTH,10,Missouri,187
SOUTH,11,VCU,350
SOUTH,11,Auburn,17
SOUTH,12,Yale,380
SOUTH,13,Liberty,150
SOUTH,14,UC Irvine,326
SOUTH,15,Portland St,243
SOUTH,16,Furman,99
SOUTH,16,Howard,121
WEST,1,Arizona,11
WEST,2,Illinois,125
WEST,3,Alabama,4
WEST,4,Gonzaga,108
WEST,5,Tennessee,308
WEST,6,BYU,19
WEST,7,Miami,177
WEST,8,UCLA,331
WEST,9,Texas A&M,313
WEST,10,Texas,312
WEST,11,UCF,330
WEST,12,Northern Iowa,222
WEST,13,Utah Valley,349
WEST,14,Troy,321
WEST,15,Tennessee St,310
WEST,16,LIU,143
