year,teamsIndex,team_name,champion_pct
2016,138,Kansas,24.3
2016,180,Michigan State,21.4
2016,211,North Carolina,15.7
2016,230,Oklahoma,6.3
2016,142,Kentucky,5.3
2016,356,Virginia,4.5
2016,234,Oregon,3.5
2016,355,Villanova,2.5
2016,76,Duke,2.3
2016,365,West Virginia,1.6
2016,379,Xavier,1.3
2017,211,North Carolina,14.9
2017,355,Villanova,13.2
2017,76,Duke,12.2
2017,138,Kansas,11.9
2017,108,Gonzaga,8.4
2017,331,UCLA,8.3
2017,142,Kentucky,7.4
2017,11,Arizona,6.7
2017,159,Louisville,2.9
2017,365,West Virginia,0.9
2017,356,Virginia,0.5
2017,266,St Marys,0.2
2018,356,Virginia,19.1
2018,355,Villanova,16.2
2018,76,Duke,9.8
2018,180,Mich St,8.5
2018,138,Kansas,7.9
2018,211,North Carolina,6.9
2018,379,Xavier,3.5
2018,248,Purdue,3.3
2018,54,Cincinnati,2.4
2018,108,Gonzaga,2.2
2019,76,Duke,36.8
2019,211,North Carolina,15.7
2019,108,Gonzaga,8.9
2019,356,Virginia,8.2
2019,180,Michigan St,5.2
2019,142,Kentucky,5.2
2019,308,Tennessee,4.4
2019,179,Michigan,3.3
2019,317,Texas Tech,0.9
2019,248,Purdue,0.8
2019,17,Auburn,0.6
2019,357,Virginia Tech,0.4
2021,108,Gonzaga,34.7
2021,125,Illinois,15.3
2021,21,Baylor,10.4
2021,179,Michigan,7.8
2021,132,Iowa,3.7
2021,229,Ohio St,3.5
2021,119,Houston,3.2
2021,4,Alabama,3.0
2021,138,Kansas,1.8
2021,231,Oklahoma St,1.5
2021,365,West Virginia,1.1
2021,356,Virginia,0.9
2021,13,Arkansas,0.9
2021,62,Connecticut,0.4
2021,59,Colorado,0.3
2022,108,Gonzaga,27.1
2022,11,Arizona,13.4
2022,138,Kansas,8.3
2022,142,Kentucky,6.9
2022,76,Duke,6.3
2022,21,Baylor,5.4
2022,17,Auburn,4.3
2022,308,Tennessee,4.2
2022,355,Villanova,3.9
2022,248,Purdue,2.4
2022,317,Texas Tech,2.0
2022,331,UCLA,2.0
2022,132,Iowa,1.6
2022,119,Houston,1.5
2022,374,Wisconsin,1.3
2023,4,Alabama,19.2
2023,119,Houston,16.0
2023,138,Kansas,10.4
2023,248,Purdue,8.2
2023,331,UCLA,6.4
2023,312,Texas,6.1
2023,11,Arizona,4.9
2023,108,Gonzaga,4.3
2023,166,Marquette,3.2
2023,76,Duke,3.0
2023,62,UConn,2.2
2023,308,Tennessee,2.1
2023,21,Baylor,1.6
2023,142,Kentucky,1.0
2023,379,Xavier,0.9
2023,65,Creighton,0.4
2024,62,Connecticut,24.7
2024,119,Houston,13.8
2024,248,Purdue,10.2
2024,211,North Carolina,9.2
2024,11,Arizona,5.7
2024,133,Iowa State,4.4
2024,308,Tennessee,4.4
2024,142,Kentucky,3.8
2024,17,Auburn,3.1
2024,166,Marquette,2.5
2024,76,Duke,2.1
2024,65,Creighton,1.9
2024,125,Illinois,1.8
2024,21,Baylor,1.2
2024,108,Gonzaga,0.9
2024,4,Alabama,0.8
2025,76,Duke,25.1
2025,91,Florida,21.4
2025,17,Auburn,10.6
2025,119,Houston,8.9
2025,296,St. John's,4.8
2025,180,Michigan St,4.5
2025,308,Tennessee,4.2
2025,4,Alabama,3.7
2025,142,Kentucky,1.7
2025,317,Texas Tech,1.2
2025,374,Wisconsin,1.1
2025,179,Michigan,0.9
2025,133,Iowa St,0.9
2025,62,UConn,0.8
2025,168,Maryland,0.8
2025,11,Arizona,0.8
