Year,Team,Index,BPI,BPI_Rank,BPI_Off,BPI_Def
2026,DUKE,76,25.1,1,12.6,12.5
2026,MICH,179,24.9,2,12.2,12.7
2026,HOU,119,23.2,3,10.8,12.4
2026,ARIZ,11,23.1,4,11.4,11.7
2026,ILL,125,21.8,5,13.3,8.5
2026,ISU,133,21.8,6,10.6,11.2
2026,FLA,91,21.7,7,10.2,11.4
2026,GONZ,108,21.3,8,10.2,11.1
2026,PUR,248,20.9,9,12.9,8.0
2026,LOU,159,20.2,10,11.0,9.2
2026,CONN,62,19.6,11,9.3,10.3
2026,TENN,308,19.0,12,8.8,10.1
2026,MSU,180,18.5,13,7.1,11.4
2026,VAN,353,18.4,14,10.6,7.8
2026,KU,138,18.3,15,7.1,11.1
2026,SJU,296,17.9,16,7.8,10.1
2026,ALA,4,17.8,17,12.0,5.8
2026,NEB,199,17.6,18,6.6,11.0
2026,BYU,19,17.5,19,11.0,6.4
2026,TTU,317,17.1,20,9.7,7.4
2026,ARK,13,17.0,21,10.7,6.3
2026,UK,142,16.5,22,9.4,7.1
2026,UVA,356,16.4,23,8.0,8.4
2026,SLU,265,15.6,24,8.0,7.6
2026,NCSU,196,15.6,25,9.2,6.4
2026,AUB,17,15.4,26,11.1,4.4
2026,USU,347,15.4,27,9.0,6.4
2026,CLEM,55,15.1,28,5.9,9.2
2026,TA&M,313,14.9,29,9.0,5.9
2026,TEX,312,14.7,30,10.4,4.3
2026,VILL,355,14.7,31,8.2,6.5
2026,WIS,374,14.6,32,9.0,5.5
2026,IU,129,14.5,33,8.0,6.6
2026,IOWA,132,14.5,34,8.2,6.3
2026,UNC,211,14.3,35,7.6,6.6
2026,SMC,266,14.2,36,5.3,8.9
2026,UCLA,331,14.1,37,7.4,6.7
2026,OSU,229,14.0,38,8.7,5.3
2026,SMU,260,13.6,39,9.1,4.5
2026,UGA,104,13.5,40,7.9,5.7
2026,MIA,177,12.8,41,6.9,5.9
2026,BAY,21,12.1,42,8.5,3.6
2026,MIZ,187,11.8,43,7.6,4.2
2026,VCU,350,11.5,44,6.6,4.9
2026,WVU,365,11.5,45,2.8,8.7
2026,CIN,54,11.4,46,1.2,10.2
2026,OU,230,11.2,47,8.8,2.4
2026,WASH,360,10.9,48,5.3,5.6
2026,LSU,144,10.5,49,6.9,3.6
2026,SCU,274,10.4,50,5.9,4.5
2026,UNM,204,10.4,51,4.1,6.3
2026,USC,339,10.3,52,4.7,5.7
2026,SDSU,271,10.1,53,1.7,8.4
2026,TCU,304,10.0,54,2.7,7.3
2026,PROV,247,9.8,55,8.3,1.5
2026,MISS,184,9.8,56,4.9,4.9
2026,HALL,277,9.8,57,0.3,9.5
2026,WAKE,359,9.8,58,4.9,4.9
2026,CREI,65,9.8,59,6.3,3.5
2026,UCF,330,9.7,60,6.8,2.9
2026,HPU,116,9.6,61,7.0,2.7
2026,MSST,185,9.5,62,4.4,5.1
2026,MCN,171,9.5,63,5.2,4.3
2026,BUT,35,9.5,64,6.1,3.4
2026,USF,284,9.0,65,5.0,4.0
2026,NU,224,8.8,66,4.5,4.3
2026,SYR,303,8.3,67,4.3,4.1
2026,MINN,183,8.2,68,3.0,5.3
2026,VT,357,8.1,69,3.9,4.2
2026,DAY,68,8.0,70,2.4,5.6
2026,GW,102,7.9,71,5.0,2.9
2026,GCU,110,7.8,72,0.7,7.1
2026,TLSA,323,7.7,73,6.4,1.3
2026,CAL,41,7.7,74,3.7,4.0
2026,GTWN,103,7.7,75,3.9,3.8
2026,ND,226,7.7,76,4.3,3.4
2026,OKST,231,7.5,77,3.8,3.7
2026,KSU,139,7.5,78,3.8,3.7
2026,AKR,3,7.3,79,6.0,1.3
2026,BOIS,26,7.2,80,4.1,3.1
2026,NEV,201,7.1,81,4.4,2.7
2026,MARQ,166,7.1,82,2.2,4.9
2026,M-OH,178,7.0,83,5.7,1.4
2026,STAN,298,7.0,84,3.1,3.8
2026,FSU,96,6.7,85,3.0,3.7
2026,LIB,150,6.6,86,5.4,1.2
2026,ASU,12,6.6,87,3.8,2.8
2026,CSU,60,6.6,88,5.8,0.7
2026,UNI,222,6.5,89,-0.7,7.2
2026,MEM,172,6.5,90,0.2,6.3
2026,GMU,101,6.4,91,2.3,4.1
2026,SC,280,6.4,92,2.6,3.8
2026,COLO,59,6.4,93,5.0,1.4
2026,ORE,234,6.2,94,2.9,3.3
2026,BEL,23,6.1,95,4.5,1.6
2026,XAV,379,6.1,96,3.3,2.9
2026,WICH,370,5.8,97,2.3,3.5
2026,ILST,127,5.8,98,1.8,3.9
2026,MD,168,5.7,99,3.2,2.5
2026,YALE,380,5.7,100,6.1,-0.4
2026,PITT,241,5.6,101,3.2,2.4
2026,UTAH,346,5.2,102,3.3,1.9
2026,DEP,69,5.2,103,0.1,5.1
2026,URI,253,4.6,104,0.6,3.9
2026,UAB,324,4.5,105,1.4,3.1
2026,SF,272,4.3,106,2.5,1.8
2026,UNCW,337,4.1,107,1.8,2.3
2026,UVU,349,4.0,108,0.6,3.4
2026,SFA,299,4.0,109,0.2,3.8
2026,DAV,67,3.9,110,1.8,2.2
2026,HOF,117,3.9,111,1.2,2.7
2026,SHSU,268,3.7,112,2.4,1.3
2026,UCI,326,3.6,113,-3.0,6.6
2026,FAU,93,3.4,114,1.0,2.4
2026,UIC,126,3.4,115,0.0,3.3
2026,MUR,195,3.3,116,3.4,-0.2
2026,PSU,239,3.1,117,3.2,-0.2
2026,UNLV,338,3.0,118,2.4,0.7
2026,BRAD,30,2.9,119,1.2,1.7
2026,RUTG,258,2.9,120,1.5,1.4
2026,DUQ,77,2.8,121,0.7,2.1
2026,WYO,378,2.8,122,2.5,0.2
2026,HAW,115,2.7,123,-1.8,4.6
2026,UNT,217,2.5,124,-3.1,5.6
2026,SIU,289,2.4,125,-2.7,5.1
2026,ETSU,79,2.3,126,0.2,2.1
2026,SEA,276,2.2,127,-4.0,6.1
2026,RICH,255,2.1,128,1.0,1.0
2026,ARST,15,2.0,129,1.0,1.1
2026,PAC,237,2.0,130,-0.4,2.4
2026,KENN,140,1.8,131,1.5,0.3
2026,TROY,321,1.8,132,0.2,1.6
2026,TEM,307,1.8,133,2.1,-0.4
2026,STMN,297,1.7,134,2.2,-0.5
2026,SBU,294,1.7,135,1.9,-0.3
2026,COR,64,1.6,136,5.8,-4.2
2026,W&M,371,1.6,137,1.2,0.4
2026,WRST,377,1.5,138,1.3,0.2
2026,UCSD,328,1.5,139,-1.2,2.7
2026,NDSU,215,1.5,140,1.6,-0.1
2026,GT,107,1.5,141,-1.2,2.7
2026,KENT,141,1.5,142,0.8,0.6
2026,JOES,264,1.4,143,-2.2,3.6
2026,WIN,373,1.3,144,1.4,-0.1
2026,LMU,162,1.2,145,-1.5,2.7
2026,BGSU,29,1.1,146,-1.9,3.1
2026,UCSB,329,1.0,147,2.4,-1.4
2026,NAVY,198,0.8,148,-2.2,3.0
2026,BC,27,0.7,149,-3.5,4.2
2026,RGV,343,0.7,150,-0.4,1.1
2026,APSU,18,0.7,151,-1.2,1.9
2026,FRES,98,0.6,152,-2.1,2.7
2026,WSU,361,0.4,153,1.8,-1.3
2026,CBU,36,0.4,154,-1.8,2.2
2026,MASS,170,0.4,155,-0.8,1.2
2026,TOW,320,0.3,156,-2.6,2.9
2026,APP,10,0.2,157,-1.8,2.0
2026,MER,173,0.2,158,0.4,-0.3
2026,MRSH,167,0.1,159,1.5,-1.3
2026,WKU,368,0.1,160,-1.4,1.5
2026,NMSU,205,-0.0,161,-0.7,0.7
2026,MTST,191,-0.1,162,-0.9,0.8
2026,LIP,152,-0.1,163,-0.4,0.3
2026,MTSU,181,-0.1,164,-0.9,0.7
2026,OAK,227,-0.2,165,2.5,-2.7
2026,UNCO,220,-0.3,166,1.4,-1.7
2026,TULN,322,-0.4,167,-0.9,0.5
2026,TOL,319,-0.6,168,1.7,-2.3
2026,FOR,97,-0.6,169,-3.4,2.8
2026,FUR,99,-0.6,170,-1.4,0.7
2026,COFC,48,-0.7,171,-1.6,1.0
2026,JXST,136,-0.8,172,-2.6,1.8
2026,ORST,235,-0.9,173,-0.4,-0.6
2026,MRMK,176,-1.0,174,-2.7,1.8
2026,PRST,243,-1.1,175,-3.2,2.1
2026,VAL,352,-1.1,176,-1.9,0.8
2026,HARV,114,-1.2,177,-1.9,0.7
2026,QUIN,251,-1.3,178,-3.3,2.1
2026,CSUN,40,-1.3,179,-1.5,0.3
2026,PENN,238,-1.3,180,-0.9,-0.4
2026,SAM,269,-1.4,181,-0.1,-1.3
2026,COLU,61,-1.4,182,-0.5,-1.0
2026,RMU,257,-1.4,183,-0.7,-0.8
2026,DRKE,74,-1.5,184,-0.2,-1.3
2026,YSU,381,-1.5,185,-1.3,-0.2
2026,AMCC,314,-1.6,186,-4.8,3.2
2026,USA,279,-1.7,187,-1.8,0.1
2026,JMU,137,-1.8,188,0.1,-1.8
2026,UTA,342,-1.8,189,-4.4,2.6
2026,IDHO,123,-1.8,190,-0.9,-0.9
2026,NKU,223,-1.8,191,-1.3,-0.5
2026,MRST,165,-1.9,192,-5.6,3.7
2026,MONM,189,-1.9,193,-2.7,0.8
2026,CAM,42,-1.9,194,-0.2,-1.7
2026,CARK,45,-2.0,195,-1.7,-0.2
2026,CLT,50,-2.0,196,1.1,-3.1
2026,OHIO,228,-2.0,197,-0.4,-1.6
2026,RICE,254,-2.1,198,-0.8,-1.3
2026,SIE,278,-2.1,199,-1.6,-0.6
2026,LT,158,-2.2,200,-4.9,2.7
2026,TXST,316,-2.4,201,-2.5,0.0
2026,ELON,85,-2.4,202,1.2,-3.6
2026,QUC,250,-2.5,203,2.9,-5.4
2026,UVM,354,-2.6,204,-0.8,-1.8
2026,MONT,190,-2.7,205,-3.0,0.3
2026,SDST,283,-2.8,206,-1.9,-0.8
2026,LAM,147,-2.8,207,-3.0,0.2
2026,UCD,325,-2.8,208,-2.7,-0.1
2026,RAD,252,-2.9,209,-1.3,-1.6
2026,UTM,309,-3.0,210,-5.5,2.5
2026,FIU,88,-3.0,211,-3.0,-0.0
2026,WEB,363,-3.0,212,-0.4,-2.6
2026,COLG,58,-3.0,213,-1.3,-1.8
2026,MOST,188,-3.1,214,-1.5,-1.5
2026,FGCU,95,-3.1,215,-0.9,-2.2
2026,LIU,143,-3.2,216,-3.6,0.4
2026,LAS,145,-3.2,217,-4.0,0.8
2026,AMER,9,-3.3,218,-2.0,-1.3
2026,UMBC,332,-3.3,219,-2.4,-1.0
2026,ODU,232,-3.4,220,-2.8,-0.6
2026,DREX,75,-3.4,221,-4.2,0.9
2026,UNCA,335,-3.6,222,-3.3,-0.4
2026,IONA,131,-3.7,223,-3.5,-0.2
2026,USD,270,-3.7,224,-1.9,-1.8
2026,HOW,121,-3.7,225,-4.2,0.5
2026,WOF,376,-3.7,226,-0.3,-3.5
2026,INST,130,-3.8,227,-2.6,-1.2
2026,BUF,34,-3.8,228,0.1,-3.9
2026,UTU,348,-3.9,229,-3.0,-0.9
2026,SJSU,273,-4.0,230,-0.4,-3.6
2026,MILW,182,-4.0,231,-1.0,-3.0
2026,NICH,208,-4.0,232,-2.0,-2.0
2026,EWU,84,-4.1,233,0.1,-4.3
2026,SPU,267,-4.2,234,-4.3,0.1
2026,PFW,249,-4.2,235,-1.6,-2.6
2026,CCU,57,-4.2,236,-4.9,0.7
2026,BU,28,-4.2,237,0.8,-5.0
2026,EMU,83,-4.2,238,-4.5,0.3
2026,STBK,302,-4.3,239,-3.4,-0.9
2026,BCU,24,-4.3,240,-4.2,-0.1
2026,LONG,155,-4.3,241,-4.2,-0.0
2026,UNO,206,-4.3,242,-1.4,-3.0
2026,WCU,366,-4.4,243,-1.3,-3.0
2026,DART,66,-4.4,244,-3.0,-1.4
2026,CSUF,39,-4.4,245,-2.7,-1.8
2026,SEMO,286,-4.4,246,-5.4,1.0
2026,BRWN,31,-4.6,247,-6.5,2.0
2026,GB,111,-4.6,248,-0.1,-4.6
2026,GASO,105,-4.7,249,-1.2,-3.5
2026,SIUE,259,-4.7,250,-6.2,1.4
2026,UIW,128,-4.8,251,-0.5,-4.3
2026,LIN,151,-4.8,252,-5.5,0.7
2026,TNST,310,-4.9,253,-2.8,-2.1
2026,UTC,51,-5.0,254,-1.7,-3.3
2026,SOU,288,-5.0,255,-3.8,-1.2
2026,EKU,82,-5.0,256,-1.1,-4.0
2026,CHSO,49,-5.1,257,-3.5,-1.6
2026,USM,292,-5.1,258,-4.8,-0.3
2026,FAIR,89,-5.2,259,-1.8,-3.4
2026,UTEP,344,-5.2,260,-4.7,-0.5
2026,PRIN,246,-5.3,261,-3.0,-2.3
2026,ECU,78,-5.3,262,-4.2,-1.1
2026,DEN,72,-5.3,263,1.4,-6.7
2026,HAMP,112,-5.3,264,-5.0,-0.3
2026,LUC,160,-5.5,265,-2.9,-2.6
2026,TAR,305,-5.5,266,-6.8,1.4
2026,NORF,209,-5.5,267,-3.8,-1.8
2026,ACU,1,-5.6,268,-6.4,0.8
2026,CCSU,46,-5.8,269,-1.9,-3.8
2026,OMA,200,-5.9,270,-1.5,-4.4
2026,JAX,135,-6.2,271,-3.9,-2.3
2026,CP,37,-6.2,272,-2.9,-3.4
2026,DETM,73,-6.4,273,-3.2,-3.2
2026,DEL,70,-6.4,274,-3.3,-3.1
2026,PRES,245,-6.5,275,-4.6,-1.9
2026,NE,218,-6.5,276,-2.2,-4.3
2026,SELA,287,-6.5,277,-6.9,0.4
2026,UNCG,336,-6.5,278,-1.5,-5.1
2026,PORT,242,-6.7,279,-3.7,-2.9
2026,GAST,106,-6.8,280,-6.2,-0.6
2026,UCR,327,-6.9,281,-4.4,-2.5
2026,GRAM,109,-6.9,282,-7.3,0.4
2026,LBSU,154,-6.9,283,-5.0,-2.0
2026,SHU,262,-6.9,284,-1.9,-5.0
2026,UND,214,-7.2,285,-3.3,-3.9
2026,MERC,174,-7.2,286,-6.7,-0.6
2026,PEPP,240,-7.2,287,-4.2,-3.1
2026,CMU,47,-7.3,288,-3.6,-3.7
2026,UPST,340,-7.3,289,-6.0,-1.3
2026,MSM,194,-7.4,290,-6.7,-0.8
2026,NWST,225,-7.4,291,-3.7,-3.7
2026,BALL,20,-7.5,292,-6.5,-0.9
2026,LEM,148,-7.5,293,-4.5,-3.0
2026,MORE,192,-7.5,294,-2.4,-5.1
2026,UALB,7,-7.6,295,-3.8,-3.8
2026,ETAM,80,-7.7,296,-7.0,-0.7
2026,NCAT,212,-7.7,297,-4.3,-3.4
2026,TXSO,315,-7.8,298,-5.4,-2.4
2026,BELL,22,-7.9,299,1.0,-9.0
2026,SAC,261,-7.9,300,-4.1,-3.8
2026,IDST,124,-8.0,301,-2.0,-6.0
2026,LEH,149,-8.1,302,-6.1,-2.0
2026,SUU,293,-8.2,303,-5.0,-3.1
2026,UML,334,-8.2,304,-3.7,-4.4
2026,EVAN,86,-8.3,305,-7.1,-1.2
2026,LR,153,-8.3,306,-5.0,-3.3
2026,NAU,219,-8.4,307,-3.9,-4.5
2026,CLE,56,-8.5,308,-1.2,-7.3
2026,WMU,369,-8.5,309,-3.2,-5.3
2026,LAF,146,-8.6,310,-6.3,-2.3
2026,L-MD,161,-8.7,311,-4.2,-4.5
2026,SDAK,282,-8.7,312,-2.9,-5.8
2026,UL,156,-8.8,313,-6.7,-2.1
2026,ALST,6,-8.9,314,-5.9,-3.0
2026,IUIN,122,-8.9,315,-2.7,-6.2
2026,NIU,221,-9.0,316,-6.5,-2.5
2026,UTSA,345,-9.1,317,-6.2,-2.9
2026,HCU,120,-9.2,318,-5.0,-4.2
2026,FDU,90,-9.3,319,-6.1,-3.2
2026,MAN,164,-9.4,320,-2.3,-7.1
2026,TNTC,311,-9.6,321,-5.5,-4.1
2026,PV,244,-9.6,322,-6.7,-2.9
2026,CSUB,38,-9.9,323,-6.1,-3.8
2026,NHVN,203,-9.9,324,-9.1,-0.8
2026,EIU,81,-10.1,325,-9.0,-1.1
2026,WGA,364,-10.2,326,-5.8,-4.4
2026,NJIT,197,-10.3,327,-7.5,-2.7
2026,ME,163,-10.4,328,-9.4,-1.0
2026,AAMU,5,-10.4,329,-7.2,-3.2
2026,UAPB,14,-10.5,330,-5.2,-5.4
2026,UNF,216,-10.6,331,-1.8,-8.8
2026,UNA,210,-10.6,332,-4.6,-6.0
2026,HC,118,-10.8,333,-6.0,-4.8
2026,FAMU,92,-10.9,334,-7.8,-3.1
2026,STO,301,-11.0,335,-10.3,-0.7
2026,WAG,358,-11.0,336,-6.5,-4.5
2026,UNH,202,-11.1,337,-8.6,-2.5
2026,ARMY,16,-11.1,338,-5.5,-5.6
2026,ORU,233,-11.2,339,-6.9,-4.2
2026,BUCK,33,-11.2,340,-7.4,-3.8
2026,NCCU,213,-11.8,341,-6.4,-5.4
2026,UMES,169,-12.0,342,-8.9,-3.1
2026,USI,291,-12.2,343,-9.2,-3.0
2026,STET,300,-12.3,344,-5.6,-6.7
2026,JKST,134,-12.5,345,-7.0,-5.4
2026,SFPA,263,-12.9,346,-6.8,-6.1
2026,CHST,52,-13.1,347,-6.8,-6.3
2026,NIA,207,-13.2,348,-7.5,-5.7
2026,CAN,43,-13.2,349,-9.2,-4.1
2026,BRY,32,-13.3,350,-8.3,-5.0
2026,MORG,193,-13.4,351,-6.5,-6.9
2026,VMI,351,-13.8,352,-6.9,-7.0
2026,ULM,157,-14.0,353,-7.6,-6.4
2026,KC,333,-14.2,354,-10.1,-4.1
2026,AF,2,-14.2,355,-9.8,-4.4
2026,CIT,318,-14.4,356,-7.5,-6.9
2026,ALCN,8,-14.5,357,-7.7,-6.8
2026,BING,25,-14.6,358,-8.1,-6.5
2026,RID,256,-14.9,359,-8.2,-6.6
2026,SCST,281,-15.7,360,-10.4,-5.3
2026,DSU,71,-16.1,361,-13.0,-3.1
2026,WIU,367,-16.6,362,-9.7,-6.9
2026,GWEB,100,-18.2,363,-9.2,-8.9
2026,COPP,63,-19.3,364,-12.1,-7.2
2026,MVSU,186,-24.8,365,-14.5,-10.2
