Year,Team,Index,kenpom_Rk,kenpom_NetRtg,kenpom_ORtg,kenpom_ORtg_Rank,kenpom_DRtg,kenpom_DRtg_Rank,kenpom_AdjT,kenpom_AdjT_Rank,kenpom_Luck,kenpom_Luck_Rank,kenpom_SOS_NetRtg,kenpom_SOS_NetRtg_Rank,kenpom_SOS_ORtg,kenpom_SOS_ORtg_Rank,kenpom_SOS_DRtg,kenpom_SOS_DRtg_Rank,kenpom_NCSOS_NetRtg,kenpom_NCSOS_NetRtg_Rank
2008,Kansas,138,1,35.21,120.9,2,85.7,1,66.8,109,0.012,138,9.57,14,109.2,8,99.6,35,-1.41,184
2008,Memphis,172,2,31.51,118.0,6,86.5,2,68.1,76,0.012,141,5.83,72,107.0,62,101.1,79,5.45,39
2008,North Carolina,211,3,30.22,122.1,1,91.9,14,72.5,9,0.05,55,10.18,7,108.0,36,97.8,2,1.5,107
2008,UCLA,331,4,29.94,118.0,7,88.1,5,64.1,209,0.047,62,10.03,9,109.3,6,99.3,24,-1.63,196
2008,Wisconsin,374,5,26.68,113.5,37,86.8,3,61.1,306,0.043,69,7.35,51,107.1,61,99.8,40,-0.19,154
2008,Duke,76,6,26.4,116.3,13,89.9,7,71.5,13,-0.006,189,10.06,8,109.1,9,99.0,18,3.36,73
2008,Georgetown,103,7,25.56,115.2,21,89.7,6,60.5,316,0.029,99,8.48,35,108.2,31,99.8,39,-2.72,235
2008,Louisville,159,8,25.41,113.1,40,87.7,4,65.3,160,-0.057,300,9.34,21,108.4,28,99.0,17,0.79,126
2008,Texas,312,9,25.09,120.6,3,95.5,42,63.9,222,0.044,67,10.37,6,108.4,29,98.0,3,0.04,146
2008,Washington St.,361,10,24.32,115.1,23,90.8,9,58.3,334,-0.004,179,8.99,29,109.0,12,100.0,52,-6.51,309
2008,Davidson,67,11,23.61,117.0,9,93.4,24,66.2,133,-0.036,260,3.36,102,105.2,105,101.8,97,14.93,1
2008,Stanford,298,12,22.75,113.6,36,90.9,10,63.4,248,0.04,78,9.32,22,109.1,11,99.7,37,-6.32,306
2008,Tennessee,308,13,22.17,116.2,15,94.0,28,70.7,20,0.11,4,9.58,13,109.4,4,99.8,41,7.64,24
2008,Marquette,166,14,22.16,115.3,20,93.1,21,66.6,118,-0.027,240,8.62,32,107.9,41,99.3,26,-6.37,307
2008,Xavier,379,15,22.05,117.3,8,95.2,39,63.8,225,0.054,49,6.94,53,108.1,34,101.2,80,3.5,69
2008,Clemson,55,16,22.03,114.0,35,91.9,15,68.0,78,-0.044,280,9.53,15,109.3,5,99.8,42,0.31,137
2008,Drake,74,17,21.46,120.0,4,98.5,76,62.9,262,0.011,145,4.89,88,105.5,101,100.6,65,0.11,142
2008,West Virginia,365,18,21.29,114.6,27,93.3,23,63.8,228,-0.019,217,9.0,28,108.5,24,99.5,31,-1.98,210
2008,Michigan St.,180,19,21.15,115.8,17,94.7,33,63.3,253,0.032,94,8.71,31,108.2,32,99.5,32,0.59,128
2008,Butler,35,20,19.97,116.2,14,96.2,47,59.5,328,0.002,161,2.79,110,104.3,133,101.5,90,5.43,40
2008,Texas A&M,313,21,19.93,112.3,46,92.3,17,61.8,295,0.004,159,8.28,37,107.4,51,99.1,20,-5.13,291
2008,Pittsburgh,241,22,19.91,116.5,10,96.6,54,63.9,221,0.027,104,9.52,16,107.8,44,98.3,5,-1.69,197
2008,Arizona,11,23,19.14,116.4,12,97.3,63,63.5,239,-0.079,326,12.72,1,110.3,1,97.6,1,8.75,12
2008,Notre Dame,226,24,19.07,114.6,26,95.6,43,69.5,35,0.042,72,6.88,54,107.5,48,100.6,66,-7.02,314
2008,Gonzaga,108,25,19.05,114.5,30,95.5,41,65.9,140,-0.029,245,2.57,112,104.0,147,101.5,89,7.71,22
2008,Kansas St.,139,26,18.9,114.2,34,95.3,40,69.7,33,-0.049,290,9.09,27,108.0,38,98.9,14,-2.73,237
2008,Connecticut,62,27,18.9,115.2,22,96.3,49,67.1,101,-0.001,170,7.67,45,107.7,45,100.0,49,-1.27,179
2008,USC,339,28,18.67,110.5,59,91.9,13,65.2,166,-0.005,184,11.18,3,109.7,2,98.5,8,0.4,134
2008,Indiana,129,29,18.43,114.6,29,96.1,44,66.2,134,0.037,85,6.28,64,106.6,75,100.3,59,-2.3,219
2008,Purdue,248,30,18.3,110.5,60,92.2,16,66.9,107,-0.025,234,6.41,62,106.2,86,99.7,36,-3.61,265
2008,Ohio St.,229,31,17.79,110.2,65,92.4,18,64.0,217,-0.027,241,8.35,36,108.6,18,100.3,57,4.38,50
2008,New Mexico,204,32,17.08,111.1,54,94.0,30,64.4,196,-0.046,285,1.13,138,104.0,148,102.9,143,-3.87,269
2008,Mississippi St.,185,33,16.77,108.2,92,91.5,11,66.6,117,-0.043,278,6.22,66,108.1,35,101.8,98,-1.48,187
2008,Virginia Tech,357,34,16.29,107.1,119,90.8,8,65.8,146,-0.048,288,7.41,48,107.9,40,100.5,61,-0.09,150
2008,BYU,19,35,15.76,107.4,112,91.7,12,67.8,83,0.027,106,1.47,129,104.2,139,102.7,139,-4.23,276
2008,Oregon,234,36,15.66,118.8,5,103.1,160,65.8,144,-0.035,259,10.56,5,108.9,14,98.4,6,0.11,143
2008,Miami FL,177,37,15.38,112.5,44,97.1,61,65.8,145,-0.003,176,7.78,44,106.7,70,98.9,16,-5.55,296
2008,Florida,91,38,15.37,115.9,16,100.5,104,65.0,176,-0.042,273,3.13,107,105.1,108,102.0,103,-9.31,330
2008,Nebraska,199,39,15.31,108.0,101,92.7,19,61.6,297,-0.042,272,6.19,69,106.4,81,100.2,54,-12.71,340
2008,Arkansas,13,40,15.19,111.4,53,96.2,48,66.5,119,0.008,153,7.19,52,108.4,25,101.2,82,-0.61,164
2008,Baylor,21,41,14.82,115.7,19,100.9,113,70.1,24,-0.028,242,7.58,46,106.9,64,99.3,25,-4.83,286
2008,Saint Mary's,266,42,14.66,109.2,76,94.6,32,66.4,124,0.03,96,0.11,151,103.4,174,103.3,153,2.34,88
