Year,Team,Index,masseyComposite_Rank
2026,Abilene Chr,1,232
2026,Air Force,2,336
2026,Akron,3,71
2026,Alabama,4,17
2026,Alabama A&M,5,297
2026,Alabama State,6,312
2026,Alcorn State,8,346
2026,American Univ,9,214
2026,Appalachian State,10,217
2026,Arizona,11,1
2026,Arizona St,12,79
2026,Ark Little Rock,153,284
2026,Ark Pine Bluff,14,300
2026,Arkansas,13,22
2026,Arkansas State,15,141
2026,Army,16,337
2026,Auburn,17,36
2026,Austin Peay,18,167
2026,BYU,19,12
2026,Ball State,20,320
2026,Baylor,21,46
2026,Bellarmine,22,301
2026,Belmont,23,67
2026,Bethune-Cookman,24,262
2026,Binghamton,25,362
2026,Boise State,26,76
2026,Boston College,27,170
2026,Boston Univ,28,307
2026,Bowling Green,29,125
2026,Bradley,30,115
2026,Brown,31,269
2026,Bryant,32,331
2026,Bucknell,33,319
2026,Buffalo,34,164
2026,Butler,35,59
2026,C Michigan,47,322
2026,CS Bakersfield,38,294
2026,CS Fullerton,39,223
2026,CS Northridge,40,198
2026,CS Sacramento,261,287
2026,Cal Baptist,36,123
2026,Cal Poly,37,256
2026,California,41,64
2026,Campbell,42,177
2026,Canisius,43,333
2026,Cent Arkansas,45,236
2026,Central Conn,46,233
2026,Charleston So,49,242
2026,Charlotte,50,181
2026,Chattanooga,51,264
2026,Chicago State,52,356
2026,Cincinnati,54,62
2026,Citadel,318,355
2026,Clemson,55,21
2026,Cleveland St,56,334
2026,Coastal Car,57,227
2026,Col Charleston,48,168
2026,Colgate,58,196
2026,Colorado,59,75
2026,Colorado State,60,93
2026,Columbia,61,162
2026,Connecticut,62,6
2026,Coppin State,63,364
2026,Cornell,64,219
2026,Creighton,65,53
2026,Dartmouth,66,231
2026,Davidson,67,121
2026,Dayton,68,66
2026,DePaul,69,99
2026,Delaware,70,305
2026,Delaware State,71,361
2026,Denver,72,252
2026,Detroit,73,271
2026,Drake,74,185
2026,Drexel,75,225
2026,Duke,76,3
2026,Duquesne,77,155
2026,E Illinois,81,302
2026,E Kentucky,82,255
2026,E Michigan,83,199
2026,E Washington,84,266
2026,ETSU,79,145
2026,East Carolina,78,285
2026,East Texas A&M,80,299
2026,Elon,85,153
2026,Evansville,86,267
2026,F Dickinson,90,350
2026,FGCU,95,230
2026,FL Atlantic,93,86
2026,Fairfield,89,250
2026,Florida,91,15
2026,Florida A&M,92,293
2026,Florida Intl,88,195
2026,Florida St,96,134
2026,Fordham,97,228
2026,Fresno St,98,149
2026,Furman,99,154
2026,G Washington,102,90
2026,Ga Southern,105,224
2026,Gardner Webb,100,363
2026,George Mason,101,56
2026,Georgetown,103,109
2026,Georgia,104,23
2026,Georgia St,106,273
2026,Georgia Tech,107,120
2026,Gonzaga,108,5
2026,Grambling,109,277
2026,Grand Canyon,110,81
2026,Hampton,112,261
2026,Harvard,114,188
2026,Hawaii,115,101
2026,High Point,116,98
2026,Hofstra,117,107
2026,Holy Cross,118,316
2026,Houston,119,7
2026,Houston Chr,120,311
2026,Howard,121,257
2026,IL Chicago,126,179
2026,IUPUI,122,340
2026,Idaho,123,178
2026,Idaho State,124,212
2026,Illinois,125,10
2026,Illinois State,127,94
2026,Incarnate Word,128,218
2026,Indiana,129,44
2026,Indiana State,130,206
2026,Iona,131,197
2026,Iowa,132,25
2026,Iowa St,133,11
2026,Jackson State,134,328
2026,Jacksonville,135,275
2026,Jacksonville St,136,229
2026,James Madison,137,238
2026,Kansas,138,18
2026,Kansas St,139,88
2026,Kennesaw,140,148
2026,Kent,141,114
2026,Kentucky,142,31
2026,LIU Brooklyn,143,190
2026,LSU,144,49
2026,La Salle,145,237
2026,Lafayette,146,332
2026,Lamar,147,209
2026,Le Moyne,148,283
2026,Lehigh,149,313
2026,Liberty,150,84
2026,Lindenwood,151,241
2026,Lipscomb,152,150
2026,Long Beach State,154,244
2026,Longwood,155,290
2026,Louisiana,156,325
2026,Louisiana Tech,158,234
2026,Louisville,159,19
2026,Loy Marymount,162,157
2026,Loyola MD,161,342
2026,Loyola-Chicago,160,288
2026,MA Lowell,334,308
2026,MD E Shore,169,321
2026,MS Valley St,540,365
2026,MTSU,181,116
2026,Maine,163,349
2026,Manhattan,164,326
2026,Marist,165,142
2026,Marquette,166,143
2026,Marshall,167,156
2026,Maryland,168,122
2026,Massachusetts,170,184
2026,McNeese State,171,73
2026,Memphis,172,96
2026,Mercer,173,138
2026,Mercyhurst,174,315
2026,Merrimack,176,205
2026,Miami FL,177,34
2026,Miami OH,178,54
2026,Michigan,179,2
2026,Michigan St,180,9
2026,Minnesota,183,89
2026,Mississippi,184,72
2026,Mississippi State,185,85
2026,Missouri,187,51
2026,Missouri KC,333,351
2026,Missouri State,188,203
2026,Monmouth NJ,189,226
2026,Montana,190,191
2026,Montana St,191,161
2026,Morehead St,192,282
2026,Morgan State,193,358
2026,Mt St Mary's,548,291
2026,Murray St,195,70
2026,N Colorado,220,183
2026,N Dakota St,215,130
2026,N Illinois,221,309
2026,N Kentucky,223,171
2026,NC A&T,212,296
2026,NC Central,213,341
2026,NC State,196,38
2026,NE Omaha,594,265
2026,NJIT,197,329
2026,Navy,198,202
2026,Nebraska,199,8
2026,Nevada,201,68
2026,New Hampshire,202,330
2026,New Haven,203,324
2026,New Mexico,204,41
2026,New Mexico St,205,139
2026,New Orleans,206,246
2026,Niagara,207,352
2026,Nicholls St,208,215
2026,Norfolk St,209,310
2026,North Alabama,210,327
2026,North Carolina,211,29
2026,North Dakota,214,289
2026,North Florida,216,348
2026,North Texas,217,133
2026,Northeastern,218,245
2026,Northern Arizona,219,317
2026,Northern Iowa,222,110
2026,Northwestern,224,92
2026,Northwestern LA,225,286
2026,Notre Dame,226,77
2026,Oakland,227,108
2026,Ohio,228,193
2026,Ohio St,229,39
2026,Oklahoma,230,69
2026,Oklahoma St,231,52
2026,Old Dominion,232,260
2026,Oral Roberts,233,318
2026,Oregon,234,91
2026,Oregon St,235,187
2026,PFW,249,189
2026,Pacific,237,127
2026,Penn,238,180
2026,Penn State,239,117
2026,Pepperdine,240,279
2026,Pittsburgh,241,111
2026,Portland,242,204
2026,Portland St,243,146
2026,Prairie View,244,306
2026,Presbyterian,245,276
2026,Princeton,246,249
2026,Providence,247,80
2026,Purdue,248,4
2026,Queens NC,250,175
2026,Quinnipiac,251,169
2026,Radford,252,263
2026,Rhode Island,253,137
2026,Rice,254,239
2026,Richmond,255,124
2026,Rider,256,353
2026,Robert Morris,257,194
