Year,Team,Index,PowerRank
2016,North Carolina,211,1
2016,Kansas,138,2
2016,Virginia,356,3
2016,Villanova,355,4
2016,Michigan St,180,5
2016,Oklahoma,230,6
2016,West Virginia,365,7
2016,Kentucky,142,8
2016,Purdue,248,10
2016,Iowa,132,11
2016,Miami,177,12
2016,Oregon,234,13
2016,Duke,76,14
2016,Xavier,379,15
2016,Iowa St,133,16
2016,Indiana,129,17
2016,Arizona,11,18
2016,Texas AM,313,19
2016,Maryland,168,20
2016,California,41,22
2016,Seton Hall,277,23
2016,Vanderbilt,353,24
2016,Wichita St,370,25
2016,Baylor,21,26
2016,Gonzaga,108,27
2016,Texas,312,28
2016,Utah,346,29
2016,Wisconsin,374,30
2016,Cincinnati,54,31
2016,VCU,350,33
2016,Butler,35,34
2016,Notre Dame,226,35
2016,Connecticut,62,36
2016,Syracuse,303,38
2016,Pittsburgh,241,42
2016,Providence,247,43
2016,Texas Tech,317,46
2016,USC,339,48
2016,Dayton,68,49
2016,St Josephs,264,50
2016,Colorado,59,54
2016,Ark LR,153,56
2016,Oregon St,235,59
2016,Tulsa,323,61
2016,Michigan,179,63
2016,Hawaii,115,66
2016,Yale,380,67
2016,NC Wilmington,337,74
2016,South Dakota St,283,75
2016,Northern Iowa,222,82
2016,Temple,307,91
2016,Fresno St,98,94
2016,SF Austin,299,96
2016,Chattanooga,51,98
2016,Stony Brook,302,99
2016,Iona,131,103
2016,CSU Bakersfield,38,116
2016,NC Ash,335,117
2016,Green Bay,111,118
2016,Middle Tennessee St,181,134
2016,Weber St,363,136
2016,Buffalo,34,149
2016,Florida Gulf Coast,95,179
2016,Southern,288,194
2016,Austin Peay,18,243
2016,Hampton,112,250
2016,Fairleigh Dickinson,90,272
2016,Holy Cross,118,293
2017,Gonzaga,108,1
2017,Villanova,355,2
2017,West Virginia,365,3
2017,North Carolina,211,4
2017,Kansas,138,5
2017,Kentucky,142,6
2017,Duke,76,7
2017,Louisville,159,8
2017,Virginia,356,9
2017,Florida,91,10
2017,Baylor,21,11
2017,Purdue,248,12
2017,Iowa St,133,13
2017,Wichita St,370,14
2017,UCLA,331,15
2017,Oregon,234,16
2017,Florida St,96,17
2017,Butler,35,18
2017,SMU,260,19
2017,Wisconsin,374,20
2017,Arizona,11,21
2017,Cincinnati,54,22
2017,Notre Dame,226,23
2017,Michigan,179,24
2017,Oklahoma St,231,25
2017,Creighton,65,26
2017,St Marys,266,27
2017,Marquette,166,28
2017,Kansas St,139,29
2017,Minnesota,183,30
2017,Wake Forest,359,31
2017,Vanderbilt,353,32
2017,South Carolina,280,33
2017,Miami,177,35
2017,Virginia Tech,357,36
2017,Dayton,68,37
2017,Middle Tennessee St,181,38
2017,Northwestern,224,39
2017,Arkansas,13,40
2017,Maryland,168,41
2017,Michigan St,180,42
2017,Seton Hall,277,44
2017,Xavier,379,45
2017,VCU,350,47
2017,Rhode Island,253,48
2017,Providence,247,51
2017,NC Wilmington,337,53
2017,Nevada,201,57
2017,Eastern Tennessee,79,68
2017,USC,339,71
2017,Vermont,354,76
2017,Princeton,246,80
2017,Bucknell,33,81
2017,New Mexico St,205,89
2017,Florida Gulf Coast,95,97
2017,Winthrop,373,114
2017,Iona,131,123
2017,Troy,321,125
2017,Kent St,141,137
2017,NC Central,213,138
2017,Northern Kentucky,223,159
2017,North Dakota,214,164
2017,Jacksonville St,136,179
2017,South Dakota St,283,196
2017,Texas Southern,315,199
2017,Mount St Marys,194,202
2017,New Orleans,206,208
2017,UC Davis,325,217
2018,Villanova,355,1
2018,Virginia,356,2
2018,Duke,76,3
2018,Cincinnati,54,4
2018,Purdue,248,5
2018,North Carolina,211,6
2018,Michigan St,180,7
2018,Gonzaga,108,8
2018,Kansas,138,9
2018,Michigan,179,10
2018,West Virginia,365,11
2018,Xavier,379,12
2018,Texas Tech,317,13
2018,Tennessee,308,14
2018,Houston,119,15
2018,Auburn,17,16
2018,Wichita St,370,17
2018,Clemson,55,18
2018,Florida,91,19
2018,Kentucky,142,20
2018,Ohio St,229,21
2018,TCU,304,22
2018,Nevada,201,23
2018,Arizona,11,24
2018,Butler,35,25
2018,Texas AM,313,26
2018,Seton Hall,277,27
2018,Creighton,65,28
2018,Florida St,96,29
2018,North Carolina St,196,30
2018,Arizona St,12,31
2018,Texas,312,35
2018,Virginia Tech,357,36
2018,Alabama,4,38
2018,Miami,177,39
2018,Arkansas,13,40
2018,Rhode Island,253,41
2018,Oklahoma,230,42
2018,Loyola,160,43
2018,Kansas St,139,45
2018,Missouri,187,48
2018,UCLA,331,49
2018,San Diego St,271,53
2018,Providence,247,54
2018,New Mexico St,205,57
2018,Syracuse,303,58
2018,UNC Greensboro,336,62
2018,Murray St,195,63
2018,Davidson,67,67
2018,St Bonaventure,294,71
2018,Buffalo,34,73
2018,Montana,190,81
2018,South Dakota St,283,84
2018,Bucknell,33,91
2018,SF Austin,299,92
2018,Marshall,167,97
2018,Georgia St,106,103
2018,Charleston,48,107
2018,Wright St,377,126
2018,Penn,238,127
2018,Iona,131,131
2018,Radford,252,158
2018,Lipscomb,152,159
2018,Cal St Fullerton,39,173
2018,UMBC,332,207
2018,Texas Southern,315,222
2018,LIU Brooklyn,143,253
2018,North Carolina Central,213,296
2019,Duke,76,2
2019,Gonzaga,108,3
2019,Virginia,356,3
2019,Michigan State,180,4
2019,North Carolina,211,4
2019,Kentucky,142,7
2019,Michigan,179,7
2019,Tennessee,308,8
2019,Texas Tech,317,9
2019,Purdue,248,11
2019,Auburn,17,12
2019,Virginia Tech,357,13
2019,Florida State,96,14
2019,Kansas,138,15
2019,Wisconsin,374,15
2019,Houston,119,16
2019,Iowa State,133,17
2019,Villanova,355,20
2019,LSU,144,21
2019,Buffalo,34,22
2019,Kansas State,139,22
2019,Louisville,159,22
2019,Mississippi State,185,23
2019,Nevada,201,24
2019,Marquette,166,25
2019,Cincinnati,54,27
2019,Maryland,168,28
2019,Florida,91,29
2019,Wofford,376,29
2019,Syracuse,303,35
2019,Oklahoma,230,36
2019,Oregon,234,36
2019,St. John's,296,39
2019,Iowa,132,40
2019,Utah State,347,41
2019,Ohio State,229,43
2019,UCF,330,43
2019,VCU,350,45
2019,Washington,360,45
2019,Baylor,21,46
2019,Mississippi,184,47
2019,Minnesota,183,48
2019,Saint Louis,265,49
2019,New Mexico State,205,50
2019,Murray State,195,54
2019,Arizona State,12,55
2019,Belmont,23,55
2019,Saint Mary's,266,69
2019,Temple,307,71
2019,Vermont,354,78
2019,UC Irvine,326,79
2019,Northern Kentucky,223,82
2019,Liberty,150,89
2019,Seton Hall,277,90
2019,Yale,380,95
2019,Northeastern,218,101
2019,Old Dominion,232,101
2019,Georgia State,106,104
2019,Montana,190,120
2019,Colgate,58,125
2019,Bradley,30,156
2019,Abilene Christian,1,159
2021,Gonzaga,108,1
2021,Baylor,21,2
2021,Colgate,58,3
2021,Michigan,179,4
2021,Illinois,125,5
2021,Houston,119,6
2021,Iowa,132,7
2021,Alabama,4,8
2021,Ohio St,229,9
2021,Colorado,59,10
2021,USC,339,11
2021,West Virginia,365,12
2021,Kansas,138,13
2021,Villanova,355,14
2021,Oklahoma St,231,15
2021,Creighton,65,16
2021,Texas,312,17
2021,St. Bonaventure,294,18
2021,Loyola-Chicago,160,19
2021,Purdue,248,20
2021,Connecticut,62,21
2021,Florida St,96,22
2021,BYU,19,23
2021,Texas Tech,317,24
2021,Arkansas,13,25
2021,Tennessee,308,26
2021,Wisconsin,374,27
2021,Oklahoma,230,28
2021,San Diego St,271,29
2021,Oregon,234,30
2021,North Carolina,211,31
2021,Virginia,356,32
2021,LSU,144,34
2021,Georgia Tech,107,35
2021,Rutgers,258,36
2021,VCU,350,37
2021,Maryland,168,38
2021,UCLA,331,39
2021,Florida,91,40
2021,Clemson,55,42
2021,Missouri,187,43
2021,Virginia Tech,357,48
2021,Utah St,347,49
2021,Winthrop,373,53
2021,Georgetown,103,56
2021,Michigan St,180,59
2021,Syracuse,303,61
2021,Wichita St,370,62
2021,Abilene Christian,1,64
2021,Drake,74,67
2021,UC Santa Barbara,329,70
2021,North Texas,217,74
2021,Ohio,228,78
2021,Oregon St,235,79
2021,NC Greensboro,336,84
2021,Eastern Washington,84,96
2021,Liberty,150,99
2021,Grand Canyon,110,105
2021,Oral Roberts,233,130
2021,Cleveland St,56,139
2021,Morehead St,192,140
2021,Drexel,75,147
2021,Iona,131,153
2021,Norfolk St,209,167
2021,Hartford,113,168
2021,Mount St. Mary's,194,175
2021,Appalachian State,10,180
2021,Texas Southern,315,232
2022,Gonzaga,108,1
2022,Arizona,11,2
2022,Auburn,17,3
2022,Kentucky,142,4
2022,Kansas,138,5
2022,TexasTech,317,6
2022,Baylor,21,7
2022,Houston,119,8
2022,Duke,76,9
2022,UCLA,331,10
2022,Tennessee,308,11
2022,Villanova,355,12
2022,Purdue,248,13
2022,Iowa,132,14
2022,Arkansas,13,15
2022,Connecticut,62,16
2022,Illinois,125,17
2022,Memphis,172,18
2022,LSU,144,19
2022,Texas,312,20
2022,Alabama,4,21
2022,SaintMarys,266,22
2022,Wisconsin,374,23
2022,MurrayState,195,24
2022,VirginiaTech,357,25
2022,OhioState,229,26
2022,SanDiegoState,271,28
2022,Providence,247,30
2022,Davidson,67,31
2022,NorthCarolina,211,32
2022,TCU,304,33
2022,SanFrancisco,272,34
2022,MichiganState,180,35
2022,LoyolaChicago,160,36
2022,Marquette,166,37
2022,SetonHall,277,38
2022,Michigan,179,39
2022,BoiseState,26,42
2022,Indiana,129,43
2022,UAB,324,44
2022,IowaState,133,45
2022,USC,339,48
2022,ColoradoState,60,49
