Year,Team,Index,PowerRank
2026,Michigan,179,24.56
2026,Arizona,11,24.29
2026,Duke,76,24.19
2026,Florida,91,21.57
2026,Connecticut,62,19.84
2026,Houston,119,19.14
2026,Illinois,125,18.46
2026,Kansas,138,18.35
2026,Gonzaga,108,18.22
2026,Texas Tech,317,18.04
2026,Purdue,248,17.61
2026,Michigan State,180,17.48
2026,Iowa State,133,17.0
2026,Nebraska,199,16.86
2026,Vanderbilt,353,15.63
2026,Virginia,356,15.52
2026,Tennessee,308,15.18
2026,St. Mary’s,266,14.98
2026,Arkansas,13,14.98
2026,Brigham Young,19,14.98
2026,North Carolina,211,14.57
2026,St. John’s,296,14.51
2026,Alabama,4,14.5
2026,Wisconsin,374,14.41
2026,Louisville,159,14.27
2026,Saint Louis,265,14.12
2026,Miami (FL),177,13.68
2026,TCU,304,13.39
2026,Iowa,132,13.08
2026,Villanova,355,12.53
2026,Clemson,55,12.44
2026,Ohio State,229,12.26
2026,Georgia,104,12.2
2026,UCLA,331,12.19
2026,Kentucky,142,12.06
2026,Cincinnati,54,12.0
2026,Texas,312,11.88
2026,Auburn,17,11.73
2026,SMU,260,11.7
2026,North Carolina State,196,11.61
2026,Santa Clara,274,10.95
2026,Texas A&M,313,10.9
2026,Seton Hall,277,10.79
2026,Utah State,347,10.62
2026,UCF,330,10.6
2026,VCU,350,10.33
2026,Virginia Tech,357,10.21
2026,Oklahoma,230,10.04
2026,West Virginia,365,9.81
2026,Wake Forest,359,9.78
2026,Arizona State,12,9.71
2026,Indiana,129,9.71
2026,Missouri,187,9.68
2026,South Florida,284,9.58
2026,Stanford,298,9.42
2026,Florida State,96,9.41
2026,Washington,360,9.21
2026,San Diego State,271,8.99
2026,New Mexico,204,8.88
2026,Baylor,21,8.7
2026,California,41,8.61
2026,Tulsa,323,8.45
2026,Oklahoma State,231,8.24
2026,Providence,247,8.07
2026,Belmont,23,8.04
2026,Colorado,59,7.77
2026,Minnesota,183,7.54
2026,Grand Canyon,110,7.35
2026,Syracuse,303,7.25
2026,Georgetown,103,7.18
2026,George Washington,102,7.16
2026,Akron,3,7.15
2026,Boise State,26,7.0
2026,Notre Dame,226,6.97
2026,USC,339,6.95
2026,LSU,144,6.9
2026,Miami (OH),178,6.89
2026,Dayton,68,6.87
2026,Creighton,65,6.52
2026,Northwestern,224,6.5
2026,Nevada,201,6.4
2026,McNeese State,171,6.38
2026,Stephen F. Austin,299,6.17
2026,Mississippi,184,6.01
2026,Butler,35,5.96
2026,Wichita State,370,5.71
2026,Colorado State,60,5.52
2026,Northern Iowa,222,5.47
2026,Kansas State,139,5.4
2026,DePaul,69,5.37
2026,Xavier,379,5.18
2026,Yale,380,5.06
2026,Utah Valley,349,5.02
2026,Marquette,166,4.96
2026,Hofstra,117,4.91
2026,Illinois State,127,4.83
2026,High Point,116,4.78
2026,Oregon,234,4.51
2026,George Mason,101,4.43
2026,Pittsburgh,241,4.21
2026,Utah,346,4.03
2026,Seattle,276,4.01
2026,Mississippi State,185,4.01
2026,Wyoming,378,3.94
2026,Winthrop,373,3.94
2026,UNLV,338,3.93
2026,North Carolina Wilmington,337,3.84
2026,Sam Houston State,268,3.79
2026,St. Thomas – Minnesota,297,3.35
2026,Montana State,191,3.17
2026,Georgia Tech,107,3.12
2026,Liberty,150,3.07
2026,Davidson,67,2.99
2026,South Carolina,280,2.94
2026,Murray State,195,2.91
2026,San Francisco,272,2.87
2026,Rhode Island,253,2.85
2026,Northern Colorado,220,2.84
2026,Florida Atlantic,93,2.83
2026,St. Joseph’s,264,2.77
2026,California Baptist,36,2.77
2026,UC Irvine,326,2.66
2026,Rutgers,258,2.63
2026,Memphis,172,2.5
