Year,Region,Round,TeamA,TeamA_ID,SeedA,ScoreA,TeamB,TeamB_ID,SeedB,ScoreB,Winner,TeamA_Won,SeedDiff,IsUpset,MarginOfVictory,TotalPoints,Location
2008,East,R64,UNC,211,1,113.0,Mount St. Mary's,194,16,74.0,UNC,1,15,0,39.0,187.0,"Raleigh, NC"
2008,East,R64,Indiana,129,8,72.0,Arkansas,13,9,86.0,Arkansas,0,1,1,14.0,158.0,"Raleigh, NC"
2008,East,R64,Notre Dame,226,5,68.0,George Mason,101,12,50.0,Notre Dame,1,7,0,18.0,118.0,"Denver, CO"
2008,East,R64,Washington State,361,4,71.0,Winthrop,373,13,40.0,Washington State,1,9,0,31.0,111.0,"Denver, CO"
2008,East,R64,Oklahoma,230,6,72.0,St. Joseph's,264,11,64.0,Oklahoma,1,5,0,8.0,136.0,"Birmingham, AL"
2008,East,R64,Louisville,159,3,79.0,Boise State,26,14,61.0,Louisville,1,11,0,18.0,140.0,"Birmingham, AL"
2008,East,R64,Butler,35,7,81.0,South Alabama,279,10,61.0,Butler,1,3,0,20.0,142.0,"Birmingham, AL"
2008,East,R64,Tennessee,308,2,72.0,American,9,15,57.0,Tennessee,1,13,0,15.0,129.0,"Birmingham, AL"
2008,East,R32,UNC,211,1,108.0,Arkansas,13,9,77.0,UNC,1,8,0,31.0,185.0,"Raleigh, NC"
2008,East,R32,Notre Dame,226,5,41.0,Washington State,361,4,61.0,Washington State,0,-1,0,20.0,102.0,"Denver, CO"
2008,East,R32,Oklahoma,230,6,48.0,Louisville,159,3,78.0,Louisville,0,-3,0,30.0,126.0,"Birmingham, AL"
2008,East,R32,Butler,35,7,71.0,Tennessee,308,2,76.0,Tennessee,0,-5,0,5.0,147.0,"Birmingham, AL"
2008,East,S16,UNC,211,1,68.0,Washington State,361,4,47.0,UNC,1,3,0,21.0,115.0,"Charlotte, NC"
2008,East,S16,Louisville,159,3,79.0,Tennessee,308,2,60.0,Louisville,1,-1,1,19.0,139.0,"Charlotte, NC"
