Team,Index,tournamentSeed,tournamentOutcome,Year
Kansas,138,1.0,CHAMPS,2008
Memphis,172,1.0,Finals,2008
UCLA,331,1.0,Final Four,2008
Duke,76,2.0,R32,2008
Wisconsin,374,3.0,Sweet Sixteen,2008
North Carolina,211,1.0,Final Four,2008
Georgetown,103,2.0,R32,2008
Texas,312,2.0,Elite Eight,2008
Louisville,159,3.0,Elite Eight,2008
Tennessee,308,2.0,Sweet Sixteen,2008
Stanford,298,3.0,Sweet Sixteen,2008
Marquette,166,6.0,R32,2008
Clemson,55,5.0,R64,2008
Xavier,379,3.0,Elite Eight,2008
Washington St.,361,4.0,Sweet Sixteen,2008
Texas A&M,313,9.0,R32,2008
Michigan St.,180,5.0,Sweet Sixteen,2008
West Virginia,365,7.0,Sweet Sixteen,2008
Drake,74,5.0,R64,2008
Kansas St.,139,11.0,R32,2008
Indiana,129,8.0,R64,2008
Arizona,11,10.0,R64,2008
Notre Dame,226,5.0,R32,2008
Pittsburgh,241,4.0,R32,2008
Connecticut,62,4.0,R64,2008
Gonzaga,108,7.0,R64,2008
USC,339,6.0,R64,2008
Davidson,67,10.0,Elite Eight,2008
Purdue,248,6.0,R32,2008
Butler,35,7.0,R32,2008
Arkansas,13,9.0,R32,2008
BYU,19,8.0,R64,2008
Mississippi St.,185,8.0,R32,2008
Oklahoma,230,6.0,R32,2008
Saint Mary's,266,10.0,R64,2008
Baylor,21,11.0,R64,2008
Oregon,234,9.0,R64,2008
Miami FL,177,7.0,R32,2008
UNLV,338,8.0,R32,2008
Saint Joseph's,264,11.0,R64,2008
Saint Joseph's,264,11.0,R64,2008
Saint Joseph's,264,11.0,R64,2008
Saint Joseph's,264,11.0,R64,2008
Vanderbilt,353,4.0,R64,2008
Western Kentucky,368,12.0,Sweet Sixteen,2008
Kent St.,141,9.0,R64,2008
Villanova,355,12.0,Sweet Sixteen,2008
South Alabama,279,10.0,R64,2008
Temple,307,12.0,R64,2008
Kentucky,142,11.0,R64,2008
Oral Roberts,233,13.0,R64,2008
George Mason,101,12.0,R64,2008
Winthrop,373,13.0,R64,2008
Georgia,104,14.0,R64,2008
Cal St. Fullerton,39,14.0,R64,2008
Siena,278,13.0,R32,2008
San Diego,270,13.0,R32,2008
Cornell,64,14.0,R64,2008
Boise St.,26,14.0,R64,2008
Portland St.,243,16.0,R64,2008
