feature,reason
kenpom_DRtg_Rank,Correlated with bartTorvik_AdjDE (r=0.907); Correlated with kenpom_DRtg (r=0.925)
kenpom_SOS_ORtg_Rank,Correlated with kenpom_SOS_NetRtg (r=0.935); Correlated with kenpom_SOS_NetRtg_Rank (r=0.975)
bartTorvik_Rk,Correlated with bartTorvik_Barthag (r=0.997); Correlated with kenpom_Rk (r=0.991); Correlated with kenpom_NetRtg (r=0.938); Correlated with BPI (r=0.920); Correlated with BPI_Rank (r=0.978)
BPI_Rank,Correlated with kenpom_Rk (r=0.982); Correlated with kenpom_NetRtg (r=0.931); Correlated with BPI (r=0.938)
kenpom_SOS_NetRtg_Rank,Correlated with kenpom_SOS_NetRtg (r=0.954)
kenpom_AdjT,Correlated with bartTorvik_Adj T. (r=0.986)
kenpom_SOS_DRtg_Rank,Correlated with kenpom_SOS_NetRtg (r=0.931); Correlated with kenpom_SOS_NetRtg_Rank (r=0.966)
bartTorvik_WAB,Correlated with kenpom_NetRtg (r=0.934); Correlated with BPI (r=0.919); Correlated with tournamentSeed (r=0.913)
BPI,Correlated with kenpom_NetRtg (r=0.981)
masseyComposite_Rank,Correlated with bartTorvik_Rk (r=0.958); Correlated with bartTorvik_Barthag (r=0.957); Correlated with kenpom_Rk (r=0.954); Correlated with kenpom_NetRtg (r=0.904); Correlated with BPI_Rank (r=0.946)
kenpom_SOS_DRtg,Correlated with kenpom_SOS_DRtg_Rank (r=0.903)
bartTorvik_AdjOE,Correlated with kenpom_ORtg (r=0.986)
bartTorvik_Barthag,Correlated with kenpom_Rk (r=0.988); Correlated with kenpom_NetRtg (r=0.950); Correlated with BPI (r=0.932); Correlated with BPI_Rank (r=0.975)
kenpom_Rk,Correlated with kenpom_NetRtg (r=0.944); Correlated with BPI (r=0.921)
kenpom_ORtg_Rank,Correlated with kenpom_ORtg (r=0.910)
kenpom_SOS_ORtg,Correlated with kenpom_SOS_NetRtg (r=0.921)
kenpom_Luck,Correlated with kenpom_Luck_Rank (r=0.964)
bartTorvik_AdjDE,Correlated with kenpom_DRtg (r=0.979)
