feature1,feature2,correlation
bartTorvik_Rk,bartTorvik_Barthag,0.9966011719043182
bartTorvik_Rk,kenpom_Rk,0.9913391929225419
bartTorvik_Barthag,kenpom_Rk,0.9882706322698194
bartTorvik_AdjOE,kenpom_ORtg,0.9860733029364241
bartTorvik_Adj T.,kenpom_AdjT,0.9856735918919106
kenpom_Rk,BPI_Rank,0.9821637336857442
kenpom_NetRtg,BPI,0.9811013421702649
bartTorvik_AdjDE,kenpom_DRtg,0.9794361052684046
bartTorvik_Rk,BPI_Rank,0.9781067286963001
bartTorvik_Barthag,BPI_Rank,0.9753648381207368
kenpom_SOS_NetRtg_Rank,kenpom_SOS_ORtg_Rank,0.9747913089387633
kenpom_SOS_NetRtg_Rank,kenpom_SOS_DRtg_Rank,0.9662438244694919
kenpom_Luck,kenpom_Luck_Rank,0.9642388088354654
bartTorvik_Rk,masseyComposite_Rank,0.9575739470590334
bartTorvik_Barthag,masseyComposite_Rank,0.9569776570930313
kenpom_Rk,masseyComposite_Rank,0.9544320756810944
kenpom_SOS_NetRtg,kenpom_SOS_NetRtg_Rank,0.9540648278129247
bartTorvik_Barthag,kenpom_NetRtg,0.9502894247304864
BPI_Rank,masseyComposite_Rank,0.9463543802805838
kenpom_Rk,kenpom_NetRtg,0.9442976464390721
bartTorvik_Rk,kenpom_NetRtg,0.9383822915631223
BPI,BPI_Rank,0.9377274448908665
kenpom_SOS_NetRtg,kenpom_SOS_ORtg_Rank,0.9351241927201517
bartTorvik_WAB,kenpom_NetRtg,0.9342084677337282
bartTorvik_Barthag,BPI,0.9315076072925814
kenpom_SOS_NetRtg,kenpom_SOS_DRtg_Rank,0.9311370176413974
kenpom_NetRtg,BPI_Rank,0.9305849451912636
kenpom_DRtg,kenpom_DRtg_Rank,0.925423671658454
kenpom_Rk,BPI,0.9214498588918768
kenpom_SOS_NetRtg,kenpom_SOS_ORtg,0.9213846762069793
bartTorvik_Rk,BPI,0.919793789172041
bartTorvik_WAB,BPI,0.9193377412664919
bartTorvik_WAB,tournamentSeed,0.9132167205274988
kenpom_ORtg,kenpom_ORtg_Rank,0.9104215008658987
bartTorvik_AdjDE,kenpom_DRtg_Rank,0.9071452952230333
kenpom_NetRtg,masseyComposite_Rank,0.904444664299884
kenpom_SOS_DRtg,kenpom_SOS_DRtg_Rank,0.9033948322177784
