Year,Team,Index,tournamentSeed,bartTorvik_Rk,bartTorvik_Conf,bartTorvik_G,bartTorvik_Wins_Overall,bartTorvik_AdjOE,bartTorvik_AdjDE,bartTorvik_Barthag,bartTorvik_EFG%,bartTorvik_EFGD%,bartTorvik_TOR,bartTorvik_TORD,bartTorvik_ORB,bartTorvik_DRB,bartTorvik_FTR,bartTorvik_FTRD,bartTorvik_2P%,bartTorvik_2P%D,bartTorvik_3P%,bartTorvik_3P%D,bartTorvik_3PR,bartTorvik_3PRD,bartTorvik_Adj T.,bartTorvik_WAB,kenpom_Rk,kenpom_NetRtg,kenpom_ORtg,kenpom_ORtg_Rank,kenpom_DRtg,kenpom_DRtg_Rank,kenpom_AdjT,kenpom_AdjT_Rank,kenpom_Luck,kenpom_Luck_Rank,kenpom_SOS_NetRtg,kenpom_SOS_NetRtg_Rank,kenpom_SOS_ORtg,kenpom_SOS_ORtg_Rank,kenpom_SOS_DRtg,kenpom_SOS_DRtg_Rank,kenpom_NCSOS_NetRtg,kenpom_NCSOS_NetRtg_Rank,BPI,BPI_Rank,BPI_Off,BPI_Def,masseyComposite_Rank,tournamentOutcome,elite8_flag
2008,Kansas,138,1.0,364.0,,32,29,120.42,85.53,0.98091,56.16,44.615,18.741,23.455,38.217,29.338,37.3144,31.263,55.26,41.04,38.926,33.788,28.7292,37.9277,69.59,9.14,364.0,35.21,120.9,362.9166666666667,85.7,364.0,66.8,255.70247933884295,0.012,222.73087818696885,9.57,350.81894150417827,109.2,356.9418282548476,99.6,329.3333333333333,-1.41,177.93296089385476,21.9,364.0,12.4,9.6,364.0,CHAMPS,1
2008,Memphis,172,1.0,362.858934169279,,34,33,113.424,84.01,0.96922,53.047,42.54,17.211,23.358,37.824,29.338,38.6113,32.79,53.322,41.66,35.017,29.87,36.7108,28.725,70.745,9.05,362.8444444444444,31.51,118.0,358.58333333333337,86.5,362.95402298850576,68.1,288.7933884297521,0.012,219.6373937677054,5.83,292.0111420612813,107.0,302.49307479224376,101.1,284.47058823529414,5.45,325.3631284916201,19.3,361.7737003058104,11.3,8.0,362.8868501529052,Finals,1
2008,UCLA,331,1.0,361.717868338558,,33,30,116.48,87.24,0.96533,52.374,48.083,18.844,22.78,39.213,25.93,38.013,25.711,52.929,46.8102,33.8216,34.2116,28.1303,27.917,66.2207,10.72,360.53333333333336,29.94,118.0,357.5,88.1,359.81609195402297,64.1,155.42699724517905,0.047,301.09915014164307,10.03,355.8885793871866,109.3,358.9584487534626,99.3,340.54901960784315,-1.63,165.731843575419,18.9,360.6605504587156,7.9,10.9,357.3211009174312,Final Four,1
2008,Duke,76,2.0,360.576802507837,,32,27,117.36,89.09,0.95974,54.128,47.669,18.228,24.919,34.3111,33.5202,40.465,32.081,51.853,47.1113,38.44,32.857,39.163,24.81,73.713,8.96,358.22222222222223,26.4,116.3,351.0,89.9,357.7241379310345,71.5,351.9669421487603,-0.006,170.14164305949006,10.06,356.9025069637883,109.1,355.9335180055402,99.0,346.66666666666663,3.36,290.7932960893855,18.2,359.5474006116208,13.8,4.3,361.7737003058104,R32,0
2008,Wisconsin,374,3.0,359.435736677116,,32,28,111.935,85.22,0.95855,50.4145,43.16,19.57,22.3102,36.547,28.526,40.465,25.812,49.2133,41.15,35.4152,31.323,31.0246,33.0125,63.7295,7.78,359.3777777777778,26.68,113.5,325.0,86.8,361.90804597701145,61.1,58.15977961432507,0.043,293.8810198300283,7.35,313.3036211699164,107.1,303.50138504155126,99.8,324.2352941176471,-0.19,208.4357541899441,16.5,356.2079510703364,2.1,14.4,356.2079510703364,Sweet Sixteen,0
2008,North Carolina,211,1.0,358.294670846395,,33,31,120.51,92.123,0.95616,52.471,47.98,18.844,21.2166,42.11,28.526,39.297,25.19,51.267,47.0109,37.761,33.273,22.4339,34.7183,74.98,11.21,361.68888888888887,30.22,122.1,364.0,91.9,350.4022988505747,72.5,355.9779614325069,0.05,308.31728045325775,10.18,357.91643454038996,108.0,328.7091412742382,97.8,362.9803921568627,1.5,256.22346368715085,20.2,362.8868501529052,19.2,1.0,359.5474006116208,Final Four,1
2008,Georgetown,103,2.0,357.153605015674,,32,27,113.226,88.26,0.94677,56.25,41.92,20.916,20.2213,33.1152,33.0171,34.0241,35.8155,55.65,40.33,38.053,29.98,40.051,34.618,63.0309,7.79,357.06666666666666,25.56,115.2,342.3333333333333,89.7,358.7701149425287,60.5,48.13223140495868,0.029,262.94617563739376,8.48,329.52646239554315,108.2,333.7506925207756,99.8,325.2549019607843,-2.72,126.0782122905028,17.2,358.434250764526,4.3,12.9,355.0948012232416,R32,0
2008,Texas,312,2.0,356.01253918495297,,32,27,119.53,94.043,0.94048,51.4111,45.624,14.32,18.6296,36.739,33.7215,33.1257,29.341,48.9146,43.726,37.57,32.344,33.9172,38.6295,64.8262,8.57,354.75555555555553,25.09,120.6,361.8333333333333,95.5,321.11494252873564,63.9,142.39118457300276,0.044,295.94334277620396,10.37,358.93036211699166,108.4,335.76731301939054,98.0,361.9607843137255,0.04,216.56983240223465,13.7,346.1896024464832,9.4,4.3,349.52905198776756,Elite Eight,1
2008,Louisville,159,3.0,354.87147335423197,,32,24,110.447,87.75,0.93439,52.089,43.87,19.674,21.4157,33.4147,30.782,36.4176,33.2101,52.538,42.31,34.22,31.017,39.163,35.1199,67.5155,4.716,355.9111111111111,25.41,113.1,321.75,87.7,360.86206896551727,65.3,204.5619834710744,-0.057,55.68271954674221,9.34,343.7214484679666,108.4,336.7756232686981,99.0,347.6862745098039,0.79,236.9050279329609,16.1,353.98165137614683,7.1,9.1,322.81345565749234,Elite Eight,1
2008,Tennessee,308,2.0,353.73040752351096,,32,28,116.47,92.529,0.93401,52.856,49.2136,17.717,24.62,37.035,34.3239,36.8165,39.423,51.755,50.8258,36.4108,31.017,39.163,35.6217,72.719,9.23,350.1333333333333,22.17,116.2,348.83333333333337,94.0,335.7586206896552,70.7,344.94765840220384,0.11,360.90651558073654,9.58,351.8328690807799,109.4,360.9750692520776,99.8,323.2156862745098,7.64,340.6145251396648,16.1,355.0948012232416,13.3,2.8,360.6605504587156,Sweet Sixteen,0
