feature,VIF
kenpom_ORtg,7452893.371115066
kenpom_SOS_ORtg,7374112.975105047
kenpom_SOS_DRtg,6706539.357664381
kenpom_DRtg,5600386.3876090115
kenpom_NetRtg,186288.63095983057
bartTorvik_EFGD%,74144.1269738561
BPI,55388.45793184855
bartTorvik_EFG%,51072.22628399084
kenpom_SOS_NetRtg,44342.89917825446
bartTorvik_AdjOE,35602.07396370841
bartTorvik_AdjDE,31479.299848092003
bartTorvik_2P%D,28760.21423988067
kenpom_AdjT,26006.263274909616
bartTorvik_Adj T.,22657.426870002113
BPI_Off,20357.421530768534
bartTorvik_2P%,19012.30855943954
BPI_Def,14469.835018162046
bartTorvik_3P%D,9531.537634008004
bartTorvik_3P%,6351.135609751061
bartTorvik_Barthag,6093.185218256066
bartTorvik_Rk,5834.582606461291
kenpom_Rk,4370.120890577007
BPI_Rank,2269.4753534903125
kenpom_SOS_NetRtg_Rank,1855.980608727924
bartTorvik_G,1468.1611010145518
bartTorvik_Wins_Overall,1417.3323450581297
kenpom_SOS_ORtg_Rank,743.9863023162262
bartTorvik_TORD,703.553830944493
kenpom_SOS_DRtg_Rank,603.0652226555922
bartTorvik_TOR,550.8466627858628
bartTorvik_DRB,526.9624791825672
bartTorvik_ORB,461.53535910644507
kenpom_ORtg_Rank,386.5111527523826
kenpom_DRtg_Rank,368.4321314154684
masseyComposite_Rank,263.54232498733364
bartTorvik_3PRD,108.25269873557676
kenpom_Luck_Rank,94.14893538935156
bartTorvik_FTR,92.84049546341161
bartTorvik_3PR,84.08940076129015
bartTorvik_FTRD,78.5909029210789
bartTorvik_WAB,44.261062038158
tournamentSeed,43.67387507488691
kenpom_AdjT_Rank,27.95636161437488
kenpom_Luck,21.079659955846267
kenpom_NCSOS_NetRtg_Rank,19.14346970309615
kenpom_NCSOS_NetRtg,3.550849407469745
bartTorvik_Conf,
