feature,VIF
kenpom_ORtg,8032272.966625625
kenpom_SOS_ORtg,7746412.619086251
kenpom_SOS_DRtg,6959753.433468593
kenpom_DRtg,6039527.588035861
kenpom_NetRtg,200553.8047993132
bartTorvik_EFGD%,104585.34470578362
bartTorvik_EFG%,66022.05588501859
BPI,61033.375274856924
kenpom_AdjT,60886.7514578487
kenpom_SOS_NetRtg,55405.27704910923
bartTorvik_Adj T.,45085.900232227024
bartTorvik_2P%D,38369.31020782625
bartTorvik_AdjDE,33620.07165828768
bartTorvik_AdjOE,33198.38858351539
bartTorvik_2P%,22587.229325065146
BPI_Off,20070.887057426567
BPI_Def,14492.623367171745
bartTorvik_3P%D,14473.556898861489
bartTorvik_3P%,8570.802669541594
bartTorvik_Barthag,5880.327938766444
bartTorvik_Rk,5684.219482530077
kenpom_Rk,4045.422836492657
BPI_Rank,2027.127307989717
kenpom_SOS_NetRtg_Rank,1832.8130642210165
bartTorvik_Wins_Overall,1386.2584379578132
bartTorvik_G,1368.616770256454
PowerRank,897.1075282764583
kenpom_SOS_ORtg_Rank,771.492897697494
bartTorvik_TORD,684.135645758243
kenpom_SOS_DRtg_Rank,613.4625819230893
bartTorvik_TOR,575.500900740511
bartTorvik_DRB,492.2106780766771
bartTorvik_ORB,467.9265066632187
kenpom_DRtg_Rank,414.47202852112656
kenpom_ORtg_Rank,404.9873404201614
masseyComposite_Rank,272.6143175248153
bartTorvik_3PRD,128.63934916305834
bartTorvik_3PR,95.8834615388495
bartTorvik_FTR,90.20071748661063
kenpom_Luck_Rank,87.95261788320458
bartTorvik_FTRD,85.03143866587565
LRMCB,63.076197122903174
tournamentSeed,49.10709040031105
bartTorvik_WAB,47.44022707446241
kenpom_AdjT_Rank,41.46655052331593
kenpom_Luck,19.3691502833686
kenpom_NCSOS_NetRtg_Rank,14.883696728578974
kenpom_NCSOS_NetRtg,3.1060645233441506
bartTorvik_Conf,
