feature,VIF
kenpom_ORtg,7452914.54180846
kenpom_SOS_ORtg,7374364.671225791
kenpom_SOS_DRtg,6706991.1672421675
kenpom_DRtg,5600391.144216121
kenpom_NetRtg,186311.82444221622
bartTorvik_EFGD%,74144.3035655413
BPI,55465.50139053739
bartTorvik_EFG%,51167.98131584652
kenpom_SOS_NetRtg,44343.272135446045
bartTorvik_AdjOE,35754.84277887228
bartTorvik_AdjDE,31750.71691709249
bartTorvik_2P%D,28760.229813050246
kenpom_AdjT,26023.304059644866
bartTorvik_Adj T.,22673.28981812431
BPI_Off,20378.46714464936
bartTorvik_2P%,19017.30985730032
BPI_Def,14482.03918803453
bartTorvik_3P%D,9531.599364725778
bartTorvik_3P%,6353.65976318251
bartTorvik_Barthag,6093.21242032637
bartTorvik_Rk,5834.69336754107
kenpom_Rk,4370.1420028534885
BPI_Rank,2275.471141071744
kenpom_SOS_NetRtg_Rank,1861.4122682474783
bartTorvik_G,1476.6476726818514
bartTorvik_Wins_Overall,1437.2772218270618
kenpom_SOS_ORtg_Rank,744.9386458852986
bartTorvik_TORD,704.6944437958956
kenpom_SOS_DRtg_Rank,604.2405313602854
bartTorvik_TOR,554.5481078029114
bartTorvik_DRB,529.6272982236283
bartTorvik_ORB,463.4414886907043
kenpom_ORtg_Rank,386.51746689006654
kenpom_DRtg_Rank,368.43775524774975
masseyComposite_Rank,268.9582350227212
PowerRank,176.3802528085161
bartTorvik_3PRD,108.82768438384744
kenpom_Luck_Rank,94.14901781533295
bartTorvik_FTR,93.06453070672195
bartTorvik_3PR,84.17071011835934
bartTorvik_FTRD,78.63800538241586
bartTorvik_WAB,45.17045869757989
tournamentSeed,44.5132024509393
kenpom_AdjT_Rank,27.97081578324409
kenpom_Luck,21.462497152112295
kenpom_NCSOS_NetRtg_Rank,20.756338887287573
kenpom_NCSOS_NetRtg,4.031545319435371
bartTorvik_Conf,
