Year,Team,Index,tournamentSeed,bartTorvik_Rk,bartTorvik_Conf,bartTorvik_G,bartTorvik_Wins_Overall,bartTorvik_AdjOE,bartTorvik_AdjDE,bartTorvik_Barthag,bartTorvik_EFG%,bartTorvik_EFGD%,bartTorvik_TOR,bartTorvik_TORD,bartTorvik_ORB,bartTorvik_DRB,bartTorvik_FTR,bartTorvik_FTRD,bartTorvik_2P%,bartTorvik_2P%D,bartTorvik_3P%,bartTorvik_3P%D,bartTorvik_3PR,bartTorvik_3PRD,bartTorvik_Adj T.,bartTorvik_WAB,kenpom_Rk,kenpom_NetRtg,kenpom_ORtg,kenpom_ORtg_Rank,kenpom_DRtg,kenpom_DRtg_Rank,kenpom_AdjT,kenpom_AdjT_Rank,kenpom_Luck,kenpom_Luck_Rank,kenpom_SOS_NetRtg,kenpom_SOS_NetRtg_Rank,kenpom_SOS_ORtg,kenpom_SOS_ORtg_Rank,kenpom_SOS_DRtg,kenpom_SOS_DRtg_Rank,kenpom_NCSOS_NetRtg,kenpom_NCSOS_NetRtg_Rank,BPI,BPI_Rank,BPI_Off,BPI_Def,masseyComposite_Rank,LRMCB,PowerRank,tournamentOutcome,elite8_flag
2016,Kansas,138,1.0,364.0,,33,29,120.54,91.36,0.96071,55.99,45.32,17.8144,19.1106,32.288,28.8126,39.0112,37.2181,52.246,43.318,42.23,33.085,33.4224,32.272,70.1114,11.41,361.68888888888887,29.67,120.0,354.25,90.4,361.90804597701145,69.0,241.66391184573004,0.044,287.6940509915014,12.61,361.97214484679665,111.4,356.9418282548476,98.8,360.94117647058823,3.62,297.9106145251397,18.5,359.22622950819675,11.8,6.6,361.75308641975306,1,362.8834355828221,Elite Eight,1
2016,Villanova,355,2.0,362.8553459119497,,34,29,118.91,90.44,0.95912,54.326,46.329,16.46,20.45,28.621,28.712,34.324,31.461,56.46,43.925,34.4182,33.5109,43.824,37.5263,67.3256,9.02,364.0,32.01,122.8,361.8333333333333,90.8,359.81609195402297,66.0,90.24793388429752,0.023,247.4787535410765,10.74,351.8328690807799,110.5,345.85041551246536,99.7,355.84313725490193,2.98,280.6256983240223,19.9,364.0,8.9,11.0,364.0,2,360.6503067484663,CHAMPS,1
2016,Virginia,356,1.0,361.71069182389937,,33,26,119.59,91.98,0.95323,54.425,48.7111,15.318,19.776,30.6143,25.932,32.4283,33.799,51.954,46.58,40.51,34.9181,28.1325,37.3258,61.6351,8.73,360.53333333333336,29.64,120.6,356.41666666666663,91.0,357.7241379310345,61.3,16.044077134986225,-0.04,78.36827195467421,12.67,362.9860724233983,112.1,362.99168975069256,99.5,358.90196078431376,4.98,326.37988826815644,18.6,360.41967213114754,3.4,15.2,349.3950617283951,5,361.7668711656442,Elite Eight,1
2016,West Virginia,365,3.0,360.5660377358491,,34,26,115.424,90.22,0.94454,50.2155,48.8114,19.6271,25.52,41.91,27.262,46.17,54.8351,50.788,48.2141,32.9249,33.297,30.6276,36.1204,70.987,7.37,355.9111111111111,24.45,115.3,335.83333333333337,90.9,358.7701149425287,69.5,260.71625344352617,0.003,188.70254957507083,11.24,355.8885793871866,110.9,353.91689750692524,99.6,357.88235294117646,0.72,213.51955307262568,16.5,356.83934426229507,8.9,7.7,359.5061728395062,6,357.3006134969325,R64,0
2016,Michigan St.,180,2.0,359.42138364779873,,33,28,121.52,95.128,0.94375,56.37,42.62,17.6132,14.434,37.317,24.39,30.5324,33.9103,51.367,41.24,43.51,30.411,35.317,32.786,67.7243,6.61,359.3777777777778,27.97,123.4,362.9166666666667,95.5,337.85057471264366,66.5,110.30303030303033,-0.012,148.4872521246459,7.19,307.22005571030644,107.5,291.4016620498615,100.3,342.5882352941176,0.4,205.3854748603352,18.6,361.6131147540984,10.5,8.1,355.01234567901236,4,359.53374233128835,R64,0
2016,Kentucky,142,4.0,358.27672955974845,,33,25,122.21,95.736,0.94326,53.635,44.914,16.041,17.9189,38.011,31.4258,38.2134,41.6282,52.832,42.712,36.965,33.31,31.1266,29.62,68.1224,4.415,358.22222222222223,25.14,121.8,359.6666666666667,96.6,324.2528735632184,67.4,150.41322314049586,-0.046,68.05665722379604,8.37,320.40111420612817,108.6,306.52631578947364,100.3,345.6470588235294,3.19,288.75977653631287,16.2,355.64590163934423,9.8,6.4,334.7901234567901,8,356.18404907975463,R32,0
2016,North Carolina,211,1.0,357.1320754716981,,34,28,120.16,94.322,0.94197,52.17,47.467,15.421,18.6141,39.84,29.9184,32.229,29.741,53.921,43.721,31.4306,36.0251,26.7338,35.6182,72.345,8.54,362.8444444444444,29.82,124.4,364.0,94.6,343.08045977011494,70.5,304.8374655647383,-0.055,50.52691218130312,11.45,356.9025069637883,111.7,360.9750692520776,100.2,346.66666666666663,3.13,286.7262569832402,18.7,362.8065573770492,13.8,4.8,358.38271604938274,3,364.0,Finals,1
2016,Oklahoma,230,2.0,355.9874213836478,,32,25,117.617,92.815,0.93848,54.522,46.432,18.0168,17.6207,30.5146,29.8175,33.6255,27.319,48.1197,44.027,42.62,34.0134,40.758,35.0153,71.179,7.95,353.6,23.78,117.9,347.75,94.1,347.2643678160919,69.8,276.7603305785124,0.082,335.1274787535411,13.05,364.0,111.5,358.9584487534626,98.5,361.9607843137255,2.7,276.5586592178771,14.9,349.6786885245902,10.1,4.8,362.87654320987656,7,358.4171779141104,Final Four,1
2016,Purdue,248,5.0,354.84276729559747,,33,26,116.92,92.816,0.93409,54.129,44.25,17.8144,13.8348,35.828,23.03,35.0224,28.126,53.129,43.017,37.253,31.121,35.7163,33.092,68.9171,4.714,354.75555555555553,23.85,116.9,344.5,93.1,353.54022988505744,67.9,182.5013774104683,-0.046,70.11898016997166,7.43,308.2339832869081,109.1,318.6260387811634,101.7,297.7254901960784,-2.67,122.01117318435752,15.9,354.45245901639345,7.7,8.2,350.5185185185185,9,353.9509202453988,R64,0
2016,Miami FL,177,3.0,352.55345911949684,,32,25,118.811,95.433,0.925611,53.93,48.084,16.041,17.5213,30.5146,29.2139,40.09,28.832,53.424,46.992,36.678,33.6113,34.121,29.822,67.2263,6.98,347.82222222222225,22.44,119.4,353.1666666666667,96.9,321.11494252873564,65.9,80.22038567493114,0.077,331.0028328611898,11.67,358.93036211699166,111.6,359.96675900277006,99.9,353.80392156862746,2.63,273.50837988826817,13.5,342.5180327868852,6.7,6.8,347.14814814814815,18,351.7177914110429,Sweet Sixteen,0
