feature,VIF
kenpom_ORtg,7437696.495610983
kenpom_SOS_ORtg,7374075.128594425
kenpom_SOS_DRtg,6706506.825010076
kenpom_DRtg,5591276.776401793
kenpom_NetRtg,185974.31361060616
bartTorvik_EFGD%,74113.75537197347
BPI,55315.950562955026
bartTorvik_EFG%,51071.98810141152
kenpom_SOS_NetRtg,44342.802154863304
bartTorvik_AdjOE,35032.68097855476
bartTorvik_AdjDE,31221.094534495653
bartTorvik_2P%D,28751.982974894647
kenpom_AdjT,25987.221351280463
bartTorvik_Adj T.,22647.992846919184
BPI_Off,20336.780646677267
bartTorvik_2P%,19010.074708283613
BPI_Def,14456.115234533572
bartTorvik_3P%D,9530.934520150935
bartTorvik_3P%,6350.999048195279
bartTorvik_Barthag,6008.1004357068205
bartTorvik_Rk,5828.493407786005
kenpom_Rk,4359.191091343778
BPI_Rank,2267.0876460371373
kenpom_SOS_NetRtg_Rank,1833.7731424052738
bartTorvik_G,1459.4818616895548
bartTorvik_Wins_Overall,1405.9527995711783
kenpom_SOS_ORtg_Rank,726.6037786020136
bartTorvik_TORD,702.8154234430913
kenpom_SOS_DRtg_Rank,588.9590352450759
bartTorvik_TOR,550.5581167499465
bartTorvik_DRB,525.7232758299666
bartTorvik_ORB,461.3362820493274
kenpom_ORtg_Rank,386.0972348354189
kenpom_DRtg_Rank,368.42797745557624
masseyComposite_Rank,263.187021922183
bartTorvik_3PRD,108.21486714184533
kenpom_Luck_Rank,94.03795578014018
bartTorvik_FTR,92.83750347402577
bartTorvik_3PR,83.9230373260882
bartTorvik_FTRD,78.44415904644832
bartTorvik_WAB,41.11294176383376
kenpom_AdjT_Rank,27.956304163032257
kenpom_Luck,20.935864120169004
kenpom_NCSOS_NetRtg_Rank,19.13273007519703
kenpom_NCSOS_NetRtg,3.5507869862760857
bartTorvik_Conf,
