feature,VIF
kenpom_ORtg,7946922.640056141
kenpom_SOS_ORtg,7743042.774002446
kenpom_SOS_DRtg,6956120.354639523
kenpom_DRtg,5981107.66581232
kenpom_NetRtg,198689.48789456656
bartTorvik_EFGD%,104331.00702645374
bartTorvik_EFG%,65841.87440753003
BPI,60746.00646858263
kenpom_AdjT,60466.41905045898
kenpom_SOS_NetRtg,55382.31598712876
bartTorvik_Adj T.,44896.300329210266
bartTorvik_2P%D,38247.22455146312
bartTorvik_AdjDE,33104.82724391364
bartTorvik_AdjOE,32551.88728352016
bartTorvik_2P%,22521.385006440727
BPI_Off,20004.326601688226
BPI_Def,14444.388298177095
bartTorvik_3P%D,14393.47992577366
bartTorvik_3P%,8555.70789320927
bartTorvik_Barthag,5795.700052674353
bartTorvik_Rk,5683.5651846541605
kenpom_Rk,4043.633982709694
BPI_Rank,2020.9976734792017
kenpom_SOS_NetRtg_Rank,1796.302744964153
bartTorvik_Wins_Overall,1376.3725421927068
bartTorvik_G,1363.6502010729057
PowerRank,895.6646246159639
kenpom_SOS_ORtg_Rank,751.1478333845628
bartTorvik_TORD,683.5329560169645
kenpom_SOS_DRtg_Rank,594.6854431759355
bartTorvik_TOR,575.5003410277491
bartTorvik_DRB,491.7954560566977
bartTorvik_ORB,465.74604270241167
kenpom_DRtg_Rank,413.99787583993555
kenpom_ORtg_Rank,404.5091172313405
masseyComposite_Rank,268.7800818656936
bartTorvik_3PRD,128.59599135774218
bartTorvik_3PR,95.88192426325732
bartTorvik_FTR,90.1171616835026
kenpom_Luck_Rank,87.9476435828886
bartTorvik_FTRD,84.76834348774985
LRMCB,62.92716715354942
bartTorvik_WAB,45.689926952988344
kenpom_AdjT_Rank,41.32003991758103
kenpom_Luck,19.33647662921466
kenpom_NCSOS_NetRtg_Rank,14.882203339375108
kenpom_NCSOS_NetRtg,3.1035134108520976
bartTorvik_Conf,
