feature,VIF
kenpom_ORtg,7438158.126735059
kenpom_SOS_ORtg,7374349.341963747
kenpom_SOS_DRtg,6706983.710913835
kenpom_DRtg,5591509.848273805
kenpom_NetRtg,186026.2229967654
bartTorvik_EFGD%,74115.13130586763
BPI,55413.24033021493
bartTorvik_EFG%,51167.241229395106
kenpom_SOS_NetRtg,44343.22165638515
bartTorvik_AdjOE,35273.536332528405
bartTorvik_AdjDE,31564.27680919876
bartTorvik_2P%D,28752.250856419098
kenpom_AdjT,26009.200115291198
bartTorvik_Adj T.,22660.406766197186
BPI_Off,20363.488362780623
bartTorvik_2P%,19015.933080025497
BPI_Def,14471.868005065893
bartTorvik_3P%D,9530.953970066474
bartTorvik_3P%,6353.318469088552
bartTorvik_Barthag,6009.3176059946845
bartTorvik_Rk,5828.493492242905
kenpom_Rk,4359.287219848605
BPI_Rank,2274.044675678906
kenpom_SOS_NetRtg_Rank,1836.5334454894955
bartTorvik_G,1470.3067318541341
bartTorvik_Wins_Overall,1429.8343965548438
kenpom_SOS_ORtg_Rank,726.7591200392169
bartTorvik_TORD,704.1981043434394
kenpom_SOS_DRtg_Rank,589.2705249536967
bartTorvik_TOR,553.9140767707709
bartTorvik_DRB,528.8555506083565
bartTorvik_ORB,463.3777971589304
kenpom_ORtg_Rank,386.12514157432946
kenpom_DRtg_Rank,368.43488838858724
masseyComposite_Rank,268.8848681302998
PowerRank,173.0544805291501
bartTorvik_3PRD,108.81984554194567
kenpom_Luck_Rank,94.04095200619669
bartTorvik_FTR,93.050327821973
bartTorvik_3PR,84.03758901207557
bartTorvik_FTRD,78.47052412270583
bartTorvik_WAB,42.52482893477147
kenpom_AdjT_Rank,27.970734764843417
kenpom_Luck,21.37802007003243
kenpom_NCSOS_NetRtg_Rank,20.751192373283445
kenpom_NCSOS_NetRtg,4.0239103318282865
bartTorvik_Conf,
