feature,importance
kenpom_DRtg,2.6307429854425064
kenpom_NetRtg,2.5243212741042145
kenpom_ORtg,1.4561616735312275
kenpom_Luck_Rank,1.421499151699133
bartTorvik_Wins_Overall,1.1286387327514809
tournamentSeed,0.904751682487173
bartTorvik_G,0.8219241754528374
kenpom_SOS_NetRtg,0.8129040924989323
bartTorvik_EFG%,0.7940845816259241
bartTorvik_EFGD%,0.7606029824117263
bartTorvik_TORD,0.6775214975787889
bartTorvik_DRB,0.6242424369788431
bartTorvik_3P%,0.5614366092037987
bartTorvik_FTRD,0.41842540614389834
BPI_Off,0.39971436272897365
bartTorvik_2P%,0.3737589146863438
kenpom_AdjT_Rank,0.2855879754564636
kenpom_NCSOS_NetRtg_Rank,0.27973246836005
kenpom_NCSOS_NetRtg,0.24977246636069617
bartTorvik_3PRD,0.18535459282614802
BPI_Def,0.1586770655024828
bartTorvik_Adj T.,0.11079920212656247
bartTorvik_2P%D,0.08621452889183663
bartTorvik_ORB,0.07302570636552165
bartTorvik_3PR,0.026061010927001107
bartTorvik_TOR,0.010698504387533293
bartTorvik_3P%D,0.010377463660346675
bartTorvik_FTR,0.010104070569298912
