feature,importance
kenpom_NetRtg,0.17106922
tournamentSeed,0.1446644
kenpom_Luck_Rank,0.045877438
kenpom_SOS_NetRtg,0.038624052
BPI_Off,0.035660256
bartTorvik_2P%D,0.031097578
kenpom_SOS_DRtg,0.03057986
bartTorvik_Adj T.,0.029331967
bartTorvik_2P%,0.029076375
bartTorvik_ORB,0.027848607
kenpom_DRtg,0.026504287
bartTorvik_3PRD,0.02497724
BPI_Def,0.024870804
bartTorvik_TOR,0.024534192
bartTorvik_3PR,0.02439736
bartTorvik_Wins_Overall,0.02396406
bartTorvik_EFGD%,0.023312792
kenpom_ORtg,0.023201505
bartTorvik_3P%D,0.02232173
bartTorvik_EFG%,0.02161378
bartTorvik_FTRD,0.021334255
bartTorvik_DRB,0.021312086
kenpom_AdjT_Rank,0.02112663
kenpom_NCSOS_NetRtg_Rank,0.020554652
bartTorvik_G,0.019587591
kenpom_NCSOS_NetRtg,0.019292278
bartTorvik_3P%,0.019094609
bartTorvik_TORD,0.018330017
bartTorvik_FTR,0.015840393
