feature,importance
kenpom_DRtg,2.6013923845004228
kenpom_NetRtg,2.334398600939108
kenpom_Luck_Rank,1.4501068388057865
kenpom_ORtg,1.3914542675009256
bartTorvik_Wins_Overall,1.335479023861559
tournamentSeed,1.08601661039518
bartTorvik_G,0.9805574349399525
kenpom_SOS_NetRtg,0.8468114524842623
bartTorvik_DRB,0.788580178865174
bartTorvik_EFG%,0.3909860925741718
bartTorvik_EFGD%,0.3009890051617863
bartTorvik_TORD,0.29850919262179737
kenpom_NCSOS_NetRtg,0.26064437821833825
bartTorvik_TOR,0.2538497621640212
bartTorvik_3PR,0.22850666283355586
bartTorvik_3P%D,0.21358293506398085
bartTorvik_FTR,0.18151669262660997
bartTorvik_ORB,0.153277499269603
bartTorvik_3P%,0.14279271643608346
kenpom_NCSOS_NetRtg_Rank,0.13358826543617708
bartTorvik_2P%D,0.10548653468244248
bartTorvik_3PRD,0.1016316805905137
bartTorvik_FTRD,0.07490606207227767
bartTorvik_2P%,0.06719937886268564
bartTorvik_Adj T.,0.01077114877887347
