feature,importance
kenpom_NetRtg,0.19077918
kenpom_SOS_NetRtg,0.06698886
kenpom_DRtg,0.04968218
bartTorvik_2P%,0.047392197
bartTorvik_3PR,0.04648526
bartTorvik_2P%D,0.04454912
bartTorvik_EFG%,0.04290844
bartTorvik_3P%,0.03706063
bartTorvik_DRB,0.035935376
bartTorvik_EFGD%,0.03547211
kenpom_Luck_Rank,0.035044093
tournamentSeed,0.034554128
kenpom_ORtg,0.032931995
bartTorvik_G,0.03237196
kenpom_NCSOS_NetRtg,0.028447907
bartTorvik_ORB,0.027965166
bartTorvik_FTR,0.027193995
bartTorvik_TOR,0.027088556
bartTorvik_3P%D,0.024676107
bartTorvik_3PRD,0.023949986
bartTorvik_TORD,0.023864334
bartTorvik_FTRD,0.023788968
kenpom_NCSOS_NetRtg_Rank,0.023611981
bartTorvik_Wins_Overall,0.020396445
bartTorvik_Adj T.,0.016861008
