Year,ROC-AUC,Log Loss,Elite 8 Accuracy,Correct Picks
2015,0.9458333333333333,0.21325383704047107,0.625,5
2016,0.9020833333333333,0.2507897816568428,0.5,4
2017,0.8979166666666667,0.3043801166241483,0.5,4
2018,0.79375,0.31556439909435735,0.375,3
2019,0.96875,0.2585802792538497,0.75,6
2021,0.9479166666666666,0.2800093424930574,0.625,5
2022,0.8145833333333333,0.3028175069053288,0.375,3
2023,0.8541666666666667,0.28370951727796495,0.375,3
2024,0.8979166666666667,0.2605252532073399,0.375,3
2025,0.9979166666666666,0.331389183678533,0.875,7
