Year,ROC-AUC,Log Loss,Elite 8 Accuracy,Correct Picks
2015,0.9395833333333333,0.21750134361742274,0.625,5
2016,0.8958333333333334,0.25268711939620325,0.5,4
2017,0.8895833333333334,0.3046170899540495,0.625,5
2018,0.7833333333333332,0.3178373898551844,0.375,3
2019,0.96875,0.25679993751065205,0.625,5
2021,0.9479166666666667,0.2659454132841683,0.625,5
2022,0.8145833333333334,0.31506427707979506,0.375,3
2023,0.8395833333333333,0.29444364893969277,0.375,3
2024,0.8895833333333334,0.26668919403530594,0.375,3
2025,0.9979166666666666,0.3181070976399992,0.875,7
