Year,Dataset,ROC-AUC,Log Loss,Elite 8 Accuracy,Correct Picks
2015,long,0.9500000000000001,0.21141957321668392,0.625,5
2016,long,0.9041666666666668,0.2544166652372075,0.375,3
2017,long,0.89375,0.3149909990946418,0.5,4
2018,long,0.7958333333333334,0.31983636486483186,0.375,3
2018,rich,0.7291666666666666,0.34296497323135766,0.375,3
2019,long,0.9708333333333333,0.25270601251309543,0.75,6
2019,rich,0.9666666666666667,0.25991397862496657,0.625,5
2021,long,0.95,0.27096245345090464,0.625,5
2021,rich,0.8770833333333333,0.38507064198843277,0.625,5
2022,long,0.8166666666666667,0.3001126013815208,0.375,3
2022,rich,0.8208333333333333,0.29310540935592133,0.375,3
2023,long,0.8541666666666667,0.2882507475318623,0.375,3
2023,rich,0.8395833333333333,0.2974334489237385,0.375,3
2024,long,0.89375,0.2683352563779495,0.375,3
2024,rich,0.8708333333333333,0.27731596553437976,0.375,3
2025,long,1.0,0.3367492754803627,1.0,8
2025,rich,0.9958333333333332,0.32225337797730014,0.875,7
