Rank,Team,Estimated_Seed,Long_Probability,Rich_Probability,Avg_Probability,Difference,Agreement
1,Arizona,1.0,0.6301445465527017,0.6794516372540662,0.654798091903384,0.04930709070136452,True
2,Connecticut,1.0,0.6313449348478352,0.6476983916674334,0.6395216632576343,0.01635345681959821,True
3,Michigan,1.0,0.5851047233461766,0.6110453668802265,0.5980750451132015,0.0259406435340499,True
4,Duke,1.0,0.5746207821193035,0.6037784045345358,0.5891995933269196,0.029157622415232343,True
5,Iowa St.,2.0,0.5447926243747894,0.603540657552665,0.5741666409637272,0.05874803317787558,True
6,Purdue,2.0,0.5384413603819649,0.5801287186062778,0.5592850394941213,0.04168735822431291,True
7,Florida,3.0,0.5198649742757593,0.5671867021080875,0.5435258381919235,0.04732172783232824,True
8,Houston,2.0,0.49662982820817364,0.5884665884219826,0.5425482083150781,0.09183676021380899,True
9,Illinois,2.0,0.5191884921793923,0.5448586083919578,0.532023550285675,0.02567011621256543,True
10,Texas Tech,4.0,0.4801233952942226,0.5245878863801613,0.502355640837192,0.044464491085938695,True
11,Vanderbilt,4.0,0.42520309328639444,0.5342470383237982,0.47972506580509633,0.10904394503740372,False
12,Kansas,3.0,0.43937096305170514,0.500333211545275,0.46985208729849004,0.06096224849356985,True
13,Gonzaga,4.0,0.41588410886366173,0.5130718366137599,0.46447797273871083,0.09718772775009815,True
14,Michigan St.,3.0,0.4085460487218271,0.4790571235964467,0.4438015861591369,0.0705110748746196,True
15,Louisville,5.0,0.4238091338405081,0.4551232090431457,0.43946617144182687,0.03131407520263757,True
16,Alabama,4.0,0.41749751152747244,0.4461617456028964,0.4318296285651844,0.028664234075423956,True
17,Virginia,5.0,0.34434927041555874,0.46191711359065907,0.40313319200310893,0.11756784317510033,False
18,Arkansas,5.0,0.35357202773213625,0.4311269999600778,0.39234951384610706,0.07755497222794155,True
19,Nebraska,3.0,0.35497088148377637,0.4149699464478726,0.3849704139658245,0.05999906496409624,True
20,Villanova,8.0,0.3213691881158437,0.3376068186668669,0.3294880033913553,0.01623763055102323,True
21,Tennessee,6.0,0.3127657520275194,0.3370078965184595,0.3248868242729894,0.024242144490940143,True
22,BYU,6.0,0.27664752347886473,0.33123772687664416,0.30394262517775444,0.054590203397779424,True
23,St. John's,5.0,0.2506545514611139,0.35385039168048077,0.3022524715707973,0.1031958402193669,False
24,Wisconsin,8.0,0.2804147892873749,0.31485626695432284,0.29763552812084887,0.03444147766694794,True
25,Utah St.,7.0,0.261617528207085,0.300983677357024,0.2813006027820545,0.03936614914993902,True
26,North Carolina,6.0,0.22294936161281365,0.3239010260161785,0.27342519381449604,0.10095166440336484,False
27,Kentucky,7.0,0.2487196391085744,0.2778765013458319,0.26329807022720314,0.029156862237257525,True
28,Saint Louis,7.0,0.2059074729792473,0.32025177450130843,0.2630796237402779,0.11434430152206113,False
29,Iowa,8.0,0.1979709188044957,0.2340514684624201,0.2160111936334579,0.0360805496579244,True
30,N.C. State,7.0,0.19025238789656973,0.22590606808196595,0.20807922798926784,0.03565368018539622,True
