feature_1,feature_2,intercorrelation,keep,keep_target_corr,drop,drop_target_corr
pct_diff_bartTorvik_Rk,pct_diff_bartTorvik_Barthag,0.9931502690755186,pct_diff_bartTorvik_Barthag,0.3698059315900268,pct_diff_bartTorvik_Rk,0.3495531391613226
pct_diff_bartTorvik_Adj T.,pct_diff_kenpom_AdjT,0.9924624820971444,pct_diff_bartTorvik_Adj T.,0.0201940077339992,pct_diff_kenpom_AdjT,0.0046966904368558
pct_diff_bartTorvik_Barthag,pct_diff_kenpom_Rk,0.9836982649128888,pct_diff_kenpom_Rk,0.3879939303650343,pct_diff_bartTorvik_Barthag,0.3698059315900268
pct_diff_bartTorvik_AdjOE,pct_diff_kenpom_ORtg,0.983097287698116,pct_diff_kenpom_ORtg,0.4038637942672937,pct_diff_bartTorvik_AdjOE,0.3662192996030137
pct_diff_kenpom_Rk,pct_diff_kenpom_NetRtg,0.9815995245649134,pct_diff_kenpom_NetRtg,0.436895277897506,pct_diff_kenpom_Rk,0.3879939303650343
pct_diff_bartTorvik_AdjDE,pct_diff_kenpom_DRtg,0.9762620756638636,pct_diff_kenpom_DRtg,0.3914306994743008,pct_diff_bartTorvik_AdjDE,0.32840026297732
pct_diff_kenpom_NetRtg,pct_diff_BPI,0.9760982139527012,pct_diff_kenpom_NetRtg,0.436895277897506,pct_diff_BPI,0.4024964563309322
pct_diff_kenpom_SOS_NetRtg_Rank,pct_diff_kenpom_SOS_ORtg_Rank,0.96554570049375,pct_diff_kenpom_SOS_NetRtg_Rank,0.3701787514656892,pct_diff_kenpom_SOS_ORtg_Rank,0.3574586301650492
pct_diff_kenpom_NetRtg,pct_diff_BPI_Rank,0.9640618059408534,pct_diff_kenpom_NetRtg,0.436895277897506,pct_diff_BPI_Rank,0.3674860448986748
pct_diff_kenpom_SOS_NetRtg_Rank,pct_diff_kenpom_SOS_DRtg_Rank,0.9488010030570424,pct_diff_kenpom_SOS_NetRtg_Rank,0.3701787514656892,pct_diff_kenpom_SOS_DRtg_Rank,0.3629369160318486
pct_diff_bartTorvik_Adj T.,pct_diff_kenpom_AdjT_Rank,0.9288721112555648,pct_diff_bartTorvik_Adj T.,0.0201940077339992,pct_diff_kenpom_AdjT_Rank,0.0074676917962524
pct_diff_kenpom_NetRtg,pct_diff_masseyComposite_Rank,0.9192393241095052,pct_diff_kenpom_NetRtg,0.436895277897506,pct_diff_masseyComposite_Rank,0.3281386421458416
pct_diff_kenpom_SOS_NetRtg_Rank,pct_diff_kenpom_SOS_ORtg,0.9127270956288472,pct_diff_kenpom_SOS_ORtg,0.3847252104762516,pct_diff_kenpom_SOS_NetRtg_Rank,0.3701787514656892
pct_diff_kenpom_ORtg,pct_diff_kenpom_ORtg_Rank,0.8901709208970469,pct_diff_kenpom_ORtg,0.4038637942672937,pct_diff_kenpom_ORtg_Rank,0.3257870713917726
pct_diff_bartTorvik_EFGD%,pct_diff_bartTorvik_2P%D,0.8872598845049802,pct_diff_bartTorvik_EFGD%,0.1696889344396435,pct_diff_bartTorvik_2P%D,0.1420894577040704
pct_diff_kenpom_SOS_ORtg,pct_diff_kenpom_SOS_DRtg,-0.8829051751385253,pct_diff_kenpom_SOS_DRtg,0.3879406499413338,pct_diff_kenpom_SOS_ORtg,0.3847252104762516
pct_diff_kenpom_DRtg,pct_diff_kenpom_DRtg_Rank,-0.8619699239884295,pct_diff_kenpom_DRtg,0.3914306994743008,pct_diff_kenpom_DRtg_Rank,0.3427883583536495
pct_diff_bartTorvik_EFG%,pct_diff_bartTorvik_2P%,0.8605357442026421,pct_diff_bartTorvik_2P%,0.1326743971779073,pct_diff_bartTorvik_EFG%,0.1306821974800728
