feature,reason
kenpom_ORtg_Rank,Correlated with kenpom_ORtg (r=0.902); Correlated with BPI_Off (r=0.901)
kenpom_AdjT,Correlated with bartTorvik_Adj T. (r=0.990); Correlated with kenpom_AdjT_Rank (r=0.958)
tournamentSeed,Correlated with kenpom_NetRtg (r=0.900); Correlated with BPI (r=0.900)
bartTorvik_Rk,Correlated with bartTorvik_Barthag (r=0.996); Correlated with kenpom_Rk (r=0.991); Correlated with kenpom_NetRtg (r=0.937); Correlated with BPI (r=0.922); Correlated with BPI_Rank (r=0.979)
bartTorvik_Barthag,Correlated with bartTorvik_WAB (r=0.906); Correlated with kenpom_Rk (r=0.987); Correlated with kenpom_NetRtg (r=0.951); Correlated with BPI (r=0.936); Correlated with BPI_Rank (r=0.976)
BPI_Def,Correlated with kenpom_DRtg (r=0.913)
masseyComposite_Rank,Correlated with bartTorvik_Rk (r=0.960); Correlated with bartTorvik_Barthag (r=0.960); Correlated with kenpom_Rk (r=0.957); Correlated with kenpom_NetRtg (r=0.907); Correlated with BPI_Rank (r=0.950); Correlated with LRMCB (r=0.933); Correlated with PowerRank (r=0.951)
kenpom_DRtg_Rank,Correlated with kenpom_DRtg (r=0.922); Correlated with BPI_Def (r=0.901)
kenpom_Rk,Correlated with kenpom_NetRtg (r=0.943); Correlated with BPI (r=0.924)
BPI,Correlated with kenpom_NetRtg (r=0.983)
bartTorvik_AdjOE,Correlated with kenpom_ORtg (r=0.987); Correlated with BPI_Off (r=0.937)
kenpom_AdjT_Rank,Correlated with bartTorvik_Adj T. (r=0.941)
bartTorvik_AdjDE,Correlated with kenpom_DRtg (r=0.981); Correlated with kenpom_DRtg_Rank (r=0.916); Correlated with BPI_Def (r=0.905)
BPI_Off,Correlated with kenpom_ORtg (r=0.943)
kenpom_SOS_ORtg,Correlated with kenpom_SOS_NetRtg (r=0.923)
kenpom_SOS_ORtg_Rank,Correlated with kenpom_SOS_NetRtg (r=0.935); Correlated with kenpom_SOS_NetRtg_Rank (r=0.977)
kenpom_SOS_NetRtg_Rank,Correlated with kenpom_SOS_NetRtg (r=0.951)
LRMCB,Correlated with bartTorvik_Rk (r=0.957); Correlated with bartTorvik_Barthag (r=0.952); Correlated with kenpom_Rk (r=0.955); Correlated with kenpom_NetRtg (r=0.908); Correlated with BPI_Rank (r=0.951)
kenpom_SOS_DRtg,Correlated with kenpom_SOS_NetRtg (r=0.908)
bartTorvik_WAB,Correlated with kenpom_NetRtg (r=0.935); Correlated with BPI (r=0.923); Correlated with tournamentSeed (r=0.910)
BPI_Rank,Correlated with kenpom_Rk (r=0.984); Correlated with kenpom_NetRtg (r=0.933); Correlated with BPI (r=0.940)
kenpom_Luck,Correlated with kenpom_Luck_Rank (r=0.962)
PowerRank,Correlated with bartTorvik_Rk (r=0.972); Correlated with bartTorvik_Barthag (r=0.969); Correlated with kenpom_Rk (r=0.969); Correlated with kenpom_NetRtg (r=0.918); Correlated with BPI (r=0.907); Correlated with BPI_Rank (r=0.964); Correlated with LRMCB (r=0.979)
kenpom_SOS_DRtg_Rank,Correlated with kenpom_SOS_NetRtg (r=0.929); Correlated with kenpom_SOS_NetRtg_Rank (r=0.967)
