feature1,feature2,correlation
bartTorvik_Rk,bartTorvik_Barthag,0.9962288163064831
bartTorvik_Rk,kenpom_Rk,0.9906749787701389
bartTorvik_Adj T.,kenpom_AdjT,0.9895101624698827
bartTorvik_AdjOE,kenpom_ORtg,0.987496113034525
bartTorvik_Barthag,kenpom_Rk,0.9870492011616778
kenpom_Rk,BPI_Rank,0.9835900723472537
kenpom_NetRtg,BPI,0.983127564559879
bartTorvik_AdjDE,kenpom_DRtg,0.9810891759023257
bartTorvik_Rk,BPI_Rank,0.9792068062432812
LRMCB,PowerRank,0.978803976266074
kenpom_SOS_NetRtg_Rank,kenpom_SOS_ORtg_Rank,0.9771298554784463
bartTorvik_Barthag,BPI_Rank,0.9761818242614397
bartTorvik_Rk,PowerRank,0.9723749719694571
kenpom_Rk,PowerRank,0.9694111331491942
bartTorvik_Barthag,PowerRank,0.9687633266431906
kenpom_SOS_NetRtg_Rank,kenpom_SOS_DRtg_Rank,0.966558775568291
BPI_Rank,PowerRank,0.9642129621922324
kenpom_Luck,kenpom_Luck_Rank,0.9624259006277065
bartTorvik_Rk,masseyComposite_Rank,0.9604475196629498
bartTorvik_Barthag,masseyComposite_Rank,0.959826760478468
kenpom_AdjT,kenpom_AdjT_Rank,0.9577064679038473
bartTorvik_Rk,LRMCB,0.9572142760754161
kenpom_Rk,masseyComposite_Rank,0.9566517256829817
kenpom_Rk,LRMCB,0.9552495081559892
bartTorvik_Barthag,LRMCB,0.9521887543337993
BPI_Rank,LRMCB,0.9514349467419919
bartTorvik_Barthag,kenpom_NetRtg,0.9510161149640295
kenpom_SOS_NetRtg,kenpom_SOS_NetRtg_Rank,0.9508495144260161
masseyComposite_Rank,PowerRank,0.9507833730451115
BPI_Rank,masseyComposite_Rank,0.9498819122584958
kenpom_Rk,kenpom_NetRtg,0.9434862349733151
kenpom_ORtg,BPI_Off,0.9426175480768808
bartTorvik_Adj T.,kenpom_AdjT_Rank,0.9414705525459718
BPI,BPI_Rank,0.9395767711583081
bartTorvik_Rk,kenpom_NetRtg,0.9374648339723137
bartTorvik_AdjOE,BPI_Off,0.9372595941481755
bartTorvik_Barthag,BPI,0.9355078972148608
kenpom_SOS_NetRtg,kenpom_SOS_ORtg_Rank,0.9351613530674749
bartTorvik_WAB,kenpom_NetRtg,0.9350193112470888
masseyComposite_Rank,LRMCB,0.9329958110601709
kenpom_NetRtg,BPI_Rank,0.9326746584458824
kenpom_SOS_NetRtg,kenpom_SOS_DRtg_Rank,0.9292884359383455
kenpom_Rk,BPI,0.9239390676517469
kenpom_SOS_NetRtg,kenpom_SOS_ORtg,0.9226962114967957
bartTorvik_WAB,BPI,0.922563124162237
kenpom_DRtg,kenpom_DRtg_Rank,0.922244396984301
bartTorvik_Rk,BPI,0.9220711126356883
kenpom_NetRtg,PowerRank,0.9177503079624784
bartTorvik_AdjDE,kenpom_DRtg_Rank,0.9156589549116423
kenpom_DRtg,BPI_Def,0.9129671927588608
bartTorvik_WAB,tournamentSeed,0.9103323457116429
kenpom_SOS_NetRtg,kenpom_SOS_DRtg,0.9082925863555701
kenpom_NetRtg,LRMCB,0.9075835604418725
kenpom_NetRtg,masseyComposite_Rank,0.9066914635595766
BPI,PowerRank,0.9066042359983697
bartTorvik_Barthag,bartTorvik_WAB,0.9056304722627151
bartTorvik_AdjDE,BPI_Def,0.904761758973429
kenpom_ORtg,kenpom_ORtg_Rank,0.9020679751638528
kenpom_ORtg_Rank,BPI_Off,0.9014161050874417
kenpom_DRtg_Rank,BPI_Def,0.9008604143613955
BPI,tournamentSeed,0.9003165072196966
kenpom_NetRtg,tournamentSeed,0.9001840421994124
