feature,importance
kenpom_DRtg,2.6307429854402873
kenpom_NetRtg,2.5243212741072005
kenpom_ORtg,1.4561616735386609
kenpom_Luck_Rank,1.4214991517040256
bartTorvik_Wins_Overall,1.128638732757932
tournamentSeed,0.9047516824872143
bartTorvik_G,0.8219241754549457
kenpom_SOS_NetRtg,0.8129040925003945
bartTorvik_EFG%,0.7940845816217653
bartTorvik_EFGD%,0.7606029824042134
bartTorvik_TORD,0.6775214975769444
bartTorvik_DRB,0.624242436978217
bartTorvik_3P%,0.5614366092031086
bartTorvik_FTRD,0.41842540614412377
BPI_Off,0.399714362727686
bartTorvik_2P%,0.3737589146826325
kenpom_AdjT_Rank,0.28558797545236275
kenpom_NCSOS_NetRtg_Rank,0.2797324683645983
kenpom_NCSOS_NetRtg,0.24977246636323627
bartTorvik_3PRD,0.18535459282761912
BPI_Def,0.15867706551019573
bartTorvik_Adj T.,0.11079920212606952
bartTorvik_2P%D,0.08621452889478123
bartTorvik_ORB,0.07302570636633121
bartTorvik_3PR,0.02606101092534085
bartTorvik_TOR,0.010698504384180338
bartTorvik_3P%D,0.01037746366174087
bartTorvik_FTR,0.010104070571816228
