feature,importance
kenpom_NetRtg,0.20106452828297997
tournamentSeed,0.15812075406898574
kenpom_SOS_NetRtg,0.09046720657519386
kenpom_ORtg,0.07513098713562565
kenpom_DRtg,0.05826365815415501
BPI_Off,0.05067586788297276
BPI_Def,0.04640068438637149
bartTorvik_Wins_Overall,0.04467250466698313
kenpom_Luck_Rank,0.033869803270960425
bartTorvik_2P%D,0.01890980466970104
bartTorvik_EFGD%,0.017917889516334246
bartTorvik_EFG%,0.016741147024367065
bartTorvik_2P%,0.015229179816297811
bartTorvik_Adj T.,0.01462520588347459
bartTorvik_ORB,0.014540890871604976
bartTorvik_3PRD,0.014121357059479332
kenpom_AdjT_Rank,0.013712111107723612
bartTorvik_TORD,0.013572845152841129
bartTorvik_3P%D,0.013370662632547043
bartTorvik_3PR,0.011702974360204309
kenpom_NCSOS_NetRtg,0.011308460876476517
bartTorvik_FTRD,0.011222336935615926
bartTorvik_TOR,0.010513829380669366
kenpom_NCSOS_NetRtg_Rank,0.010301898274730888
bartTorvik_FTR,0.009757685084251365
bartTorvik_3P%,0.00936671512167627
bartTorvik_G,0.007770408461453907
bartTorvik_DRB,0.006648603346322711
