model,dataset,accuracy,precision,recall,f1,roc_auc,log_loss
Logistic Regression,long,0.8088235294117647,0.35294117647058826,0.75,0.48,0.8780092592592592,0.4384193601946078
Random Forest,long,0.8480392156862745,0.41025641025641024,0.6666666666666666,0.5079365079365079,0.8668981481481481,0.34009005960632566
Neural Network,long,0.8872549019607843,0.5263157894736842,0.4166666666666667,0.46511627906976744,0.8296296296296296,0.29224747690859454
K-Nearest Neighbors,long,0.9019607843137255,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.8155092592592592,0.7437324316565198
Support Vector Machine,long,0.7990196078431373,0.3333333333333333,0.7083333333333334,0.4533333333333333,0.8622685185185185,0.25092416487161223
Gaussian Naive Bayes,long,0.7843137254901961,0.32142857142857145,0.75,0.45,0.880787037037037,0.9122221852183204
Logistic Regression,rich,0.8382352941176471,0.3783783783783784,0.5833333333333334,0.45901639344262296,0.8675925925925927,0.3540533482561477
Random Forest,rich,0.8480392156862745,0.3939393939393939,0.5416666666666666,0.45614035087719296,0.8696759259259259,0.33466757207978387
Neural Network,rich,0.8823529411764706,0.0,0.0,0.0,0.5891203703703703,0.38887352384107826
K-Nearest Neighbors,rich,0.9068627450980392,0.8571428571428571,0.25,0.3870967741935484,0.7771990740740741,0.7562253485186375
Support Vector Machine,rich,0.7990196078431373,0.3191489361702128,0.625,0.4225352112676056,0.8428240740740741,0.27672287618214836
Gaussian Naive Bayes,rich,0.7990196078431373,0.32653061224489793,0.6666666666666666,0.4383561643835616,0.8733796296296297,0.5441678858499555
