model,accuracy,precision,recall,f1,roc_auc,log_loss,brier_score,dataset
Logistic Regression,0.7745098039215687,0.30357142857142855,0.7083333333333334,0.425,0.8752314814814814,0.46455588183632235,0.15089063808613723,long
Random Forest,0.8480392156862745,0.40540540540540543,0.625,0.4918032786885246,0.8652777777777778,0.3364829544713709,0.10595375955386971,long
SVM,0.9166666666666666,0.8181818181818182,0.375,0.5142857142857142,0.837037037037037,0.2634801625661504,0.07377798337537676,long
Gaussian NB,0.7941176470588235,0.3333333333333333,0.75,0.46153846153846156,0.8787037037037038,0.9229316230284939,0.17956650640271105,long
Gaussian NB (Calibrated),0.8823529411764706,0.0,0.0,0.0,0.8787037037037037,0.2906894367014219,0.08615136175757517,long
Logistic Regression,0.8088235294117647,0.32558139534883723,0.5833333333333334,0.417910447761194,0.861574074074074,0.38239255269608946,0.12293061309958914,rich
Random Forest,0.8725490196078431,0.4642857142857143,0.5416666666666666,0.5,0.8634259259259259,0.33100163779815756,0.0998202685406973,rich
SVM,0.9019607843137255,0.7,0.2916666666666667,0.4117647058823529,0.8280092592592593,0.2801620548469587,0.08339945041664383,rich
Gaussian NB,0.8088235294117647,0.3333333333333333,0.625,0.43478260869565216,0.8722222222222222,0.5504361474044132,0.1523869733491811,rich
Gaussian NB (Calibrated),0.8823529411764706,0.0,0.0,0.0,0.8722222222222222,0.29390604330860326,0.08568239214830169,rich
