Year,Region,Round,TeamA,TeamA_ID,SeedA,ScoreA,TeamB,TeamB_ID,SeedB,ScoreB,Winner,TeamA_Won,SeedDiff,IsUpset,MarginOfVictory,TotalPoints,Location
2008,East,R64,UNC,211,1,113,Mount St. Mary's,194,16,74,UNC,1,15,0,39,187,"Raleigh, NC"
2008,East,R64,Indiana,129,8,72,Arkansas,13,9,86,Arkansas,0,1,1,14,158,"Raleigh, NC"
2008,East,R64,Notre Dame,226,5,68,George Mason,101,12,50,Notre Dame,1,7,0,18,118,"Denver, CO"
2008,East,R64,Washington State,361,4,71,Winthrop,373,13,40,Washington State,1,9,0,31,111,"Denver, CO"
2008,East,R64,Oklahoma,230,6,72,St. Joseph's,264,11,64,Oklahoma,1,5,0,8,136,"Birmingham, AL"
2008,East,R64,Louisville,159,3,79,Boise State,26,14,61,Louisville,1,11,0,18,140,"Birmingham, AL"
2008,East,R64,Butler,35,7,81,South Alabama,279,10,61,Butler,1,3,0,20,142,"Birmingham, AL"
2008,East,R64,Tennessee,308,2,72,American,9,15,57,Tennessee,1,13,0,15,129,"Birmingham, AL"
2008,East,R32,UNC,211,1,108,Arkansas,13,9,77,UNC,1,8,0,31,185,"Raleigh, NC"
2008,East,R32,Notre Dame,226,5,41,Washington State,361,4,61,Washington State,0,-1,0,20,102,"Denver, CO"
2008,East,R32,Oklahoma,230,6,48,Louisville,159,3,78,Louisville,0,-3,0,30,126,"Birmingham, AL"
2008,East,R32,Butler,35,7,71,Tennessee,308,2,76,Tennessee,0,-5,0,5,147,"Birmingham, AL"
2008,East,S16,UNC,211,1,68,Washington State,361,4,47,UNC,1,3,0,21,115,"Charlotte, NC"
2008,East,S16,Louisville,159,3,79,Tennessee,308,2,60,Louisville,1,-1,1,19,139,"Charlotte, NC"
2008,East,E8,UNC,211,1,83,Louisville,159,3,73,UNC,1,2,0,10,156,"Charlotte, NC"
2008,Midwest,R64,Kansas,138,1,85,Portland State,243,16,61,Kansas,1,15,0,24,146,"Omaha, NE"
2008,Midwest,R64,UNLV,338,8,71,Kent State,141,9,58,UNLV,1,1,0,13,129,"Omaha, NE"
2008,Midwest,R64,Clemson,55,5,69,Villanova,355,12,75,Villanova,0,7,1,6,144,"Tampa, FL"
2008,Midwest,R64,Vanderbilt,353,4,62,Siena,278,13,83,Siena,0,9,1,21,145,"Tampa, FL"
2008,Midwest,R64,USC,339,6,67,Kansas State,139,11,80,Kansas State,0,5,1,13,147,"Omaha, NE"
2008,Midwest,R64,Wisconsin,374,3,71,Cal State Fullerton,39,14,56,Wisconsin,1,11,0,15,127,"Omaha, NE"
2008,Midwest,R64,Gonzaga,108,7,76,Davidson,67,10,82,Davidson,0,3,1,6,158,"Raleigh, NC"
2008,Midwest,R64,Georgetown,103,2,66,UMBC,332,15,47,Georgetown,1,13,0,19,113,"Raleigh, NC"
