Team,Seed,Region,P_R64,Public_R64_Pct,R64_Contrarian_Ratio,P_R32,Public_R32_Pct,R32_Contrarian_Ratio,P_S16,Public_S16_Pct,S16_Contrarian_Ratio,P_E8,Public_E8_Pct,E8_Contrarian_Ratio,P_FF,Public_FF_Pct,FF_Contrarian_Ratio,P_Championship,Public_Champion_Pct,Champion_Contrarian_Ratio,P_WIN_Championship,Public_WIN_Champion_Pct
Duke,1,West,1.0,1.0,0.01,0.95706,97.0,1.01,0.83674,89.7,1.07,0.70442,80.6,1.14,0.5715,65.2,1.14,0.4579,43.2,0.94,0.33732,14.9
Michigan,1,East,1.0,1.0,0.01,0.95424,97.0,1.02,0.81972,83.5,1.02,0.72612,70.7,0.97,0.57004,54.5,0.96,0.4537,34.6,0.76,0.25304,11.5
Arizona,1,South,1.0,1.0,0.01,0.97362,94.0,0.97,0.79718,78.0,0.98,0.63058,62.0,0.98,0.49496,45.0,0.91,0.23134,27.0,1.17,0.12336,8.5
Houston,2,West,1.0,1.0,0.01,0.97522,83.8,0.86,0.75688,61.8,0.82,0.5346,39.6,0.74,0.16646,22.1,1.33,0.09056,11.2,1.24,0.04916,3.2
Connecticut,1,Midwest,1.0,1.0,0.01,0.97124,92.6,0.95,0.8634,75.7,0.88,0.55582,58.3,1.05,0.33814,41.0,1.21,0.13102,23.8,1.82,0.0357,7.2
Purdue,3,East,1.0,1.0,0.01,0.96752,77.0,0.8,0.79246,53.2,0.67,0.5098,31.5,0.62,0.17566,16.1,0.92,0.08228,7.6,0.92,0.0291,2.1
Texas Tech,4,Midwest,1.0,1.0,0.01,0.8378,71.6,0.85,0.63514,49.5,0.78,0.31498,27.4,0.87,0.1992,13.6,0.68,0.067,6.2,0.93,0.02756,1.9
Florida,2,East,1.0,1.0,0.01,0.96434,86.9,0.9,0.757,66.3,0.88,0.3545,45.8,1.29,0.1485,27.6,1.86,0.0837,15.1,1.8,0.026,4.7
Illinois,2,South,1.0,1.0,0.01,0.96246,86.4,0.9,0.80702,65.7,0.81,0.48222,44.9,0.93,0.1776,26.8,1.51,0.05122,14.6,2.85,0.01968,4.5
Michigan St.,2,Midwest,1.0,1.0,0.01,0.8872,91.2,1.03,0.69206,72.8,1.05,0.47308,54.6,1.15,0.20336,35.4,1.74,0.06876,20.7,3.01,0.01788,6.8
Iowa St.,3,West,1.0,1.0,0.01,0.96526,78.2,0.81,0.73508,54.9,0.75,0.33084,33.6,1.02,0.08522,17.9,2.1,0.03674,8.7,2.37,0.016,2.6
Kansas,3,Midwest,1.0,1.0,0.01,0.93176,84.5,0.91,0.76294,63.8,0.84,0.36452,44.8,1.23,0.17384,27.0,1.55,0.06198,14.8,2.39,0.01588,4.8
Alabama,4,West,1.0,1.0,0.01,0.89466,71.3,0.8,0.68672,49.0,0.71,0.19256,26.9,1.4,0.11784,13.2,1.12,0.04168,6.0,1.44,0.01322,1.8
Gonzaga,4,South,1.0,1.0,0.01,0.90504,74.2,0.82,0.5315,53.0,1.0,0.21048,31.4,1.49,0.12766,16.5,1.29,0.03062,8.1,2.65,0.01054,2.6
Nebraska,3,South,1.0,1.0,0.01,0.82346,79.0,0.96,0.6313,56.0,0.89,0.35514,35.0,0.99,0.09432,19.0,2.01,0.01932,9.5,4.92,0.00554,2.8
Arkansas,5,South,1.0,1.0,0.01,0.82276,63.4,0.77,0.41566,41.2,0.99,0.09394,20.2,2.15,0.05496,8.9,1.62,0.01622,3.9,2.4,0.00522,1.1
Virginia,4,East,1.0,1.0,0.01,0.90264,70.6,0.78,0.60164,48.0,0.8,0.15692,25.8,1.64,0.04776,12.3,2.58,0.01792,5.5,3.07,0.00364,1.6
St. John's,5,West,1.0,1.0,0.01,0.89568,64.6,0.72,0.28262,42.8,1.51,0.06324,21.8,3.45,0.02008,10.1,5.03,0.00712,4.5,6.32,0.00222,1.4
