Round,Region,Team1,Team2,Winner,Probability
R64,East,Michigan,LIU,Michigan,0.7221
R64,East,Clemson,Utah St.,Clemson,0.1759
R64,East,Florida,Villanova,Florida,0.2346
R64,East,Kansas,High Point,Kansas,0.46
R64,East,USC,Seton Hall,USC,0.2401
R64,East,Alabama,Siena,Alabama,0.8297
R64,East,SMU,N.C. State,N.C. State,0.8511
R64,East,BYU,North Dakota St.,BYU,0.8072
R64,Midwest,Iowa St.,Norfolk St.,Iowa St.,0.8343
R64,Midwest,Georgia,Miami FL,Georgia,0.159
R64,Midwest,Texas Tech,Utah Valley,Texas Tech,0.6168
R64,Midwest,North Carolina,UNC Wilmington,North Carolina,0.8142
R64,Midwest,Auburn,Yale,Auburn,0.4084
R64,Midwest,Vanderbilt,Northern Colorado,Vanderbilt,0.8728
R64,Midwest,Iowa,Ohio St.,Iowa,0.2319
R64,Midwest,Purdue,Colgate,Purdue,0.7893
R64,South,Duke,Youngstown St.,Duke,0.8122
R64,South,UCLA,Kentucky,Kentucky,0.8797
R64,South,St. John's,Belmont,St. John's,0.36
R64,South,Illinois,East Tennessee St.,Illinois,0.9012
R64,South,Virginia,Saint Louis,Virginia,0.1695
R64,South,Houston,Hawaii,Houston,0.7664
R64,South,Nebraska,Oklahoma St.,Nebraska,0.3383
R64,South,Gonzaga,Stephen F. Austin,Gonzaga,0.609
R64,West,Arizona,Vermont,Arizona,0.8132
R64,West,Indiana,Wisconsin,Wisconsin,0.8137
R64,West,Tennessee,Tulsa,Tennessee,0.3655
R64,West,Louisville,Liberty,Louisville,0.4154
R64,West,Arkansas,Akron,Arkansas,0.5024
R64,West,Michigan St.,Arkansas St.,Michigan St.,0.8388
R64,West,Saint Mary's,Baylor,Saint Mary's,0.2512
R64,West,Connecticut,Lipscomb,Connecticut,0.7623
R32,East,Michigan,Clemson,Michigan,0.3912
R32,East,Florida,Kansas,Kansas,0.8521
R32,East,USC,Alabama,Alabama,0.8894
R32,East,N.C. State,BYU,BYU,0.8173
R32,Midwest,Iowa St.,Georgia,Iowa St.,0.3284
R32,Midwest,Texas Tech,North Carolina,North Carolina,0.7784
R32,Midwest,Auburn,Vanderbilt,Vanderbilt,0.8656
R32,Midwest,Iowa,Purdue,Purdue,0.8644
R32,South,Duke,Kentucky,Kentucky,0.6902
R32,South,St. John's,Illinois,Illinois,0.891
R32,South,Virginia,Houston,Houston,0.8899
R32,South,Nebraska,Gonzaga,Gonzaga,0.8326
R32,West,Arizona,Wisconsin,Wisconsin,0.636
R32,West,Tennessee,Louisville,Louisville,0.8723
R32,West,Arkansas,Michigan St.,Michigan St.,0.8414
R32,West,Saint Mary's,Connecticut,Connecticut,0.9094
S16,East,Michigan,Kansas,Kansas,0.7797
S16,East,Alabama,BYU,BYU,0.8088
S16,Midwest,Iowa St.,North Carolina,North Carolina,0.6647
S16,Midwest,Vanderbilt,Purdue,Purdue,0.8561
S16,South,Kentucky,Illinois,Illinois,0.886
S16,South,Houston,Gonzaga,Gonzaga,0.8023
S16,West,Wisconsin,Louisville,Louisville,0.868
S16,West,Michigan St.,Connecticut,Connecticut,0.8774
E8,East,Kansas,BYU,BYU,0.7402
E8,Midwest,North Carolina,Purdue,Purdue,0.8963
E8,South,Illinois,Gonzaga,Gonzaga,0.8167
E8,West,Louisville,Connecticut,Connecticut,0.8766
FF,East vs South,BYU,Gonzaga,Gonzaga,0.871
FF,West vs Midwest,Connecticut,Purdue,Purdue,0.7959
Championship,Final,Gonzaga,Purdue,Purdue,0.8357
