Team,Seed,Region,P_R64,P_R32,P_S16,P_E8,P_FF,P_Championship
Purdue,2,Midwest,1.0,0.791125,0.70295,0.6102,0.54405,0.451525
Gonzaga,2,South,1.0,0.60865,0.531025,0.439325,0.3651,0.310975
Houston,3,South,1.0,0.7649,0.67675,0.245875,0.208725,0.1829
Illinois,4,South,1.0,0.901425,0.787425,0.6744,0.1697,0.1476
Connecticut,2,West,1.0,0.759425,0.6959,0.61285,0.544225,0.134975
Vanderbilt,3,Midwest,1.0,0.873275,0.77535,0.165925,0.1441,0.117825
Nebraska,7,South,1.0,0.338425,0.13855,0.11685,0.092225,0.080175
Ohio St.,10,Midwest,1.0,0.762775,0.177225,0.131025,0.10285,0.0707
BYU,2,East,1.0,0.805075,0.664325,0.549375,0.433325,0.060475
North Carolina,4,Midwest,1.0,0.815925,0.674175,0.54855,0.073425,0.05425
Iowa,7,Midwest,1.0,0.237225,0.067075,0.0529,0.044525,0.0332
Oklahoma St.,10,South,1.0,0.661575,0.12945,0.077375,0.0462,0.0331
Michigan St.,3,West,1.0,0.842225,0.7333,0.169075,0.141,0.03015
Alabama,3,East,1.0,0.8315,0.7278,0.157475,0.127025,0.026975
N.C. State,10,East,1.0,0.849075,0.262275,0.216325,0.170925,0.026975
Texas Tech,5,Midwest,1.0,0.615625,0.2056,0.1778,0.0289,0.022425
Saint Louis,11,South,1.0,0.828675,0.185025,0.036925,0.02345,0.019
Kentucky,9,South,1.0,0.87905,0.64805,0.114625,0.02215,0.018075
Iowa St.,1,Midwest,1.0,0.831675,0.2888,0.1057,0.02205,0.018025
Duke,1,South,1.0,0.8103,0.26095,0.074625,0.019775,0.0174
Kansas,4,East,1.0,0.461175,0.396575,0.3327,0.090225,0.01715
Michigan,1,East,1.0,0.725975,0.253425,0.095325,0.03785,0.0106
Auburn,6,Midwest,1.0,0.40645,0.091625,0.015375,0.01235,0.00865
Louisville,4,West,1.0,0.418225,0.373725,0.29665,0.053225,0.008225
Arizona,1,West,1.0,0.816175,0.298525,0.142225,0.033125,0.0082
Stephen F. Austin,15,South,1.0,0.39135,0.200975,0.06445,0.021625,0.007825
St. John's,5,South,1.0,0.3576,0.065825,0.05075,0.008725,0.0071
Miami FL,9,Midwest,1.0,0.839575,0.584,0.093,0.010225,0.007075
Baylor,10,West,1.0,0.749925,0.140975,0.09485,0.0682,0.006725
Belmont,12,South,1.0,0.6424,0.1133,0.065825,0.009775,0.006425
Villanova,12,East,1.0,0.767975,0.2906,0.23155,0.0392,0.005975
Virginia,6,South,1.0,0.171325,0.042275,0.00965,0.007275,0.005875
Saint Mary's,7,West,1.0,0.250075,0.06665,0.049375,0.039,0.005325
Yale,11,Midwest,1.0,0.59355,0.1099,0.0147,0.009225,0.004825
Utah St.,9,East,1.0,0.822125,0.60015,0.1485,0.028375,0.003925
Arkansas,6,West,1.0,0.50105,0.1302,0.02955,0.024225,0.003425
SMU,7,East,1.0,0.150925,0.03685,0.02945,0.0229,0.00315
Liberty,13,West,1.0,0.581775,0.413725,0.223875,0.030975,0.0031
Wisconsin,9,West,1.0,0.8122,0.561925,0.14985,0.02335,0.00285
Florida,5,East,1.0,0.232025,0.080275,0.06295,0.013925,0.002475
Tennessee,5,West,1.0,0.365825,0.100725,0.079525,0.0128,0.001775
Georgia,8,Midwest,1.0,0.160425,0.11425,0.0201,0.00255,0.0017
Seton Hall,11,East,1.0,0.759925,0.168375,0.025675,0.014225,0.00145
UCLA,8,South,1.0,0.12095,0.077025,0.012475,0.001925,0.001375
Hawaii,14,South,1.0,0.2351,0.09595,0.00955,0.002925,0.0011
Tulsa,12,West,1.0,0.634175,0.111825,0.073925,0.0098,0.00105
Utah Valley,12,Midwest,1.0,0.384375,0.0519,0.0312,0.0027,0.001025
Akron,11,West,1.0,0.49895,0.09085,0.012775,0.00805,0.0009
Indiana,8,West,1.0,0.1878,0.1281,0.0332,0.005025,0.00065
High Point,13,East,1.0,0.538825,0.23255,0.09945,0.0092,0.0006
Clemson,8,East,1.0,0.177875,0.121975,0.0271,0.004425,0.00055
UNC Wilmington,13,Midwest,1.0,0.184075,0.068325,0.022825,0.001675,0.000475
Lipscomb,15,West,1.0,0.240575,0.096475,0.026,0.005525,0.000425
USC,6,East,1.0,0.240075,0.046525,0.00615,0.003875,0.0004
Colgate,15,Midwest,1.0,0.208875,0.05275,0.00755,0.0011,0.000275
East Tennessee St.,13,South,1.0,0.098575,0.03345,0.006525,0.000425,0.000175
North Dakota St.,15,East,1.0,0.194925,0.03655,0.010775,0.0034,0.000125
Arkansas St.,14,West,1.0,0.157775,0.04565,0.005525,0.001375,0.000125
Northern Colorado,14,Midwest,1.0,0.126725,0.023125,0.002325,0.00025,0.0001
Siena,14,East,1.0,0.1685,0.0573,0.004775,0.001,7.5e-05
Norfolk St.,16,Midwest,1.0,0.168325,0.01295,0.000825,2.5e-05,2.5e-05
LIU,16,East,1.0,0.274025,0.02445,0.002425,0.000125,0.0
Youngstown St.,16,South,1.0,0.1897,0.013975,0.000775,0.0,0.0
Vermont,16,West,1.0,0.183825,0.01145,0.00075,0.0001,0.0
