Seed,Bid_mean,Bid_median,Bid_std,Bid_count,Points_mean,Points_median,Points_std,Value_Pts_Per_Dollar,ROI
1,44.69,45.0,9.36,48,17.12,12.0,14.94,0.383,-0.617
2,30.62,29.5,9.8,48,8.75,6.0,8.4,0.286,-0.714
3,19.54,18.5,7.18,48,6.77,6.0,7.26,0.346,-0.654
4,15.41,14.0,8.53,49,6.82,6.0,8.59,0.443,-0.557
5,11.33,11.0,5.58,48,4.4,2.0,7.51,0.388,-0.612
6,9.73,9.0,5.9,48,2.48,0.0,4.33,0.255,-0.745
7,7.25,7.0,3.56,48,5.06,2.0,10.67,0.698,-0.302
8,6.58,5.5,3.79,48,3.88,0.0,10.36,0.59,-0.41
9,5.4,5.0,2.81,47,4.32,2.0,9.18,0.8,-0.2
10,6.92,6.5,3.89,48,3.31,0.0,6.54,0.478,-0.522
11,7.04,6.0,3.85,51,8.06,1.0,11.28,1.145,0.145
12,6.4,6.0,2.84,48,4.21,0.0,6.42,0.658,-0.342
13,4.14,3.0,2.51,50,2.1,0.0,4.6,0.507,-0.493
14,2.79,2.0,1.77,47,1.94,0.0,4.68,0.695,-0.305
15,1.71,2.0,0.82,48,2.94,0.0,9.25,1.719,0.719
16,1.0,1.0,0.0,2,0.5,0.5,0.71,0.5,-0.5
