Seed,N_Tournaments,P_R64,P_R32,P_S16,P_E8,P_FF,P_Championship,E_Points_Historical,Base_Points,Upset_Bonus
1,66,1.0,0.8484848484848485,0.6363636363636364,0.42424242424242425,0.0,0.19696969696969696,15.56,15.56,0.0
2,61,1.0,0.7213114754098361,0.47540983606557374,0.18032786885245902,0.0,0.01639344262295082,9.43,9.43,0.0
3,60,1.0,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.0,0.016666666666666666,7.58,7.58,0.0
4,53,1.0,0.6981132075471698,0.20754716981132076,0.11320754716981132,0.0,0.018867924528301886,7.23,7.23,0.0
5,40,1.0,0.525,0.175,0.125,0.0,0.0,6.51,6.15,0.36
6,35,1.0,0.34285714285714286,0.14285714285714285,0.0,0.0,0.0,4.23,4.23,0.0
7,40,1.0,0.3,0.1,0.075,0.0,0.025,6.65,4.78,1.87
8,35,1.0,0.2,0.08571428571428572,0.08571428571428572,0.0,0.0,7.5,4.0,3.5
9,33,1.0,0.15151515151515152,0.12121212121212122,0.06060606060606061,0.0,0.0,7.02,3.82,3.2
10,28,1.0,0.2857142857142857,0.10714285714285714,0.03571428571428571,0.0,0.0,7.51,4.07,3.44
11,33,1.0,0.48484848484848486,0.18181818181818182,0.12121212121212122,0.0,0.0,13.88,6.0,7.88
12,28,1.0,0.2857142857142857,0.03571428571428571,0.0,0.0,0.0,5.86,3.36,2.5
13,15,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,3.73,2.53,1.2
14,8,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
15,7,1.0,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,14.32,5.14,9.18
16,2,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
