Seed,Bid_mean,Bid_median,Bid_std,Bid_count,Bid_p25,Bid_p75,Points_mean,Points_median,Pts_Per_Dollar
1,44.69,45.0,9.36,48,39.75,50.25,17.12,12.0,0.383
2,30.62,29.5,9.8,48,23.0,39.25,8.75,6.0,0.286
3,19.54,18.5,7.18,48,14.0,23.5,6.77,6.0,0.346
4,15.73,14.5,8.32,48,10.0,19.25,6.92,6.0,0.44
5,11.33,11.0,5.58,48,7.75,13.0,4.4,2.0,0.388
6,9.94,9.0,5.78,47,6.0,12.5,2.34,0.0,0.235
7,7.4,7.0,3.44,47,5.0,9.0,5.13,2.0,0.693
8,6.72,6.0,3.7,47,4.0,9.0,3.96,0.0,0.589
9,5.52,5.0,2.72,46,4.0,7.0,4.35,2.0,0.788
10,7.06,7.0,3.79,47,4.0,9.0,3.28,0.0,0.465
11,7.18,6.0,3.76,50,4.0,10.0,8.22,4.0,1.145
12,6.4,6.0,2.84,48,5.0,8.0,4.21,0.0,0.658
13,4.14,3.0,2.51,50,3.0,5.0,2.1,0.0,0.507
14,2.79,2.0,1.77,47,2.0,3.0,1.94,0.0,0.695
15,1.71,2.0,0.82,48,1.0,2.0,2.94,0.0,1.719
