Team,Seed,Region,P_R64,P_R32,P_S16,P_E8,P_F4,P_Championship,P_WIN_Championship,E_Points_Blended,E_Points_Base,E_Points_Upset,Fair_Bid,Market_Price,Value_Gap_Pct,Action,Chalk_Risk
Duke,1,West,1.0,0.97345,0.8091,0.718825,0.609225,0.47095,0.345875,28.24,28.24,0.0,40,47,-0.149,COMPETE,LOW
Michigan,1,East,1.0,0.9581,0.79825,0.67005,0.5093,0.4103,0.23215,26.0,26.0,0.0,37,47,-0.213,DISCOUNT_ONLY,LOW
Arizona,1,South,1.0,0.929425,0.7713,0.655525,0.471475,0.2255,0.12255,23.01,23.01,0.0,33,47,-0.298,DISCOUNT_ONLY,LOW
Florida,1,Midwest,1.0,0.932925,0.783425,0.59735,0.380825,0.152225,0.04605,20.85,20.85,0.0,30,47,-0.362,DISCOUNT_ONLY,LOW
Houston,2,South,1.0,0.972725,0.77515,0.428075,0.24105,0.097575,0.055425,17.55,17.55,0.0,25,30,-0.167,DISCOUNT_ONLY,LOW
Connecticut,2,East,1.0,0.96105,0.768,0.435725,0.16955,0.08,0.023225,16.59,16.59,0.0,24,30,-0.2,DISCOUNT_ONLY,LOW
Gonzaga,3,West,1.0,0.972175,0.683775,0.4544,0.1421,0.059775,0.0219,15.82,15.76,0.06,23,19,0.211,BUY,LOW
Illinois,2,Midwest,1.0,0.812475,0.6745,0.4424,0.219775,0.084525,0.02085,16.05,16.05,0.0,23,30,-0.233,DISCOUNT_ONLY,LOW
Iowa St.,3,East,1.0,0.94155,0.548025,0.33425,0.13305,0.07855,0.028275,14.08,14.0,0.08,20,19,0.053,COMPETE,LOW
Michigan St.,2,West,1.0,0.91975,0.689,0.366025,0.08445,0.0265,0.010475,13.9,13.9,0.0,20,30,-0.333,DISCOUNT_ONLY,LOW
Arkansas,5,Midwest,1.0,0.82475,0.611275,0.223675,0.135575,0.039575,0.014025,13.09,12.59,0.5,19,11,0.727,BUY,LOW
Purdue,4,East,1.0,0.90315,0.70275,0.20075,0.096375,0.060125,0.020775,13.34,13.12,0.22,19,12,0.583,BUY,LOW
Alabama,3,South,1.0,0.966275,0.503925,0.288625,0.090225,0.034175,0.01225,12.54,12.51,0.03,18,19,-0.053,COMPETE,LOW
Kansas,4,South,1.0,0.8553,0.6707,0.207725,0.093725,0.022575,0.008375,12.45,12.32,0.14,18,12,0.5,BUY,LOW
Nebraska,3,Midwest,1.0,0.936825,0.44255,0.2588,0.117975,0.030925,0.007625,12.05,12.02,0.03,17,19,-0.105,COMPETE,LOW
Louisville,6,South,1.0,0.882175,0.474225,0.20765,0.0533,0.0129,0.00355,11.25,10.72,0.52,16,10,0.6,BUY,LOW
Texas Tech,4,West,1.0,0.83735,0.501425,0.13095,0.060075,0.017475,0.005825,10.31,10.22,0.1,15,12,0.25,BUY,LOW
BYU,6,East,1.0,0.808525,0.4201,0.170825,0.0457,0.018375,0.004325,10.27,9.8,0.47,15,10,0.5,BUY,LOW
Vanderbilt,5,West,1.0,0.892975,0.4462,0.10435,0.054225,0.014375,0.003675,10.0,9.8,0.2,14,11,0.273,BUY,LOW
Wisconsin,6,Midwest,1.0,0.700875,0.3891,0.14315,0.038725,0.0083,0.00205,9.13,8.77,0.36,13,10,0.3,BUY,LOW
Villanova,7,Midwest,1.0,0.7905,0.2436,0.0969,0.033075,0.00855,0.00165,8.25,7.83,0.42,12,7,0.714,BUY,LOW
St. John's,5,East,1.0,0.9045,0.270925,0.0861,0.030175,0.009875,0.00155,8.49,8.35,0.13,12,11,0.091,COMPETE,LOW
North Carolina,6,West,1.0,0.8363,0.2625,0.09305,0.0205,0.003275,0.000625,8.12,7.91,0.21,12,10,0.2,BUY,LOW
Virginia,4,Midwest,1.0,0.79655,0.274425,0.0848,0.03265,0.0079,0.0016,7.98,7.93,0.05,11,12,-0.083,COMPETE,LOW
Santa Clara,10,South,1.0,0.4475,0.1031,0.0367,0.01165,0.00215,0.000575,6.69,4.84,1.85,10,7,0.429,BUY,MEDIUM
Tennessee,5,South,1.0,0.762825,0.22165,0.040725,0.01165,0.00205,0.000225,6.9,6.85,0.05,10,11,-0.091,COMPETE,LOW
Auburn,11,Midwest,1.0,0.299125,0.1598,0.03845,0.0079,0.000925,0.00015,6.85,4.55,2.3,10,6,0.667,BUY,HIGH
UCLA,8,Midwest,1.0,0.588075,0.145075,0.049125,0.018175,0.003475,0.001,6.12,5.84,0.28,9,7,0.286,BUY,LOW
Kentucky,7,West,1.0,0.538925,0.194425,0.0507,0.0112,0.002,0.000525,6.05,5.86,0.18,9,7,0.286,BUY,LOW
Saint Louis,10,West,1.0,0.461075,0.104725,0.020675,0.003825,0.00065,7.5e-05,6.42,4.68,1.74,9,7,0.286,BUY,MEDIUM
Saint Mary's,7,East,1.0,0.6873,0.1431,0.0341,0.00625,0.001575,0.000175,6.08,5.96,0.12,9,7,0.286,BUY,LOW
UMBC,15,Midwest,1.0,0.187525,0.016725,0.00165,0.00015,0.0,0.0,5.44,2.87,2.57,8,2,3.0,PASS,HIGH
Utah Valley,13,Midwest,1.0,0.20345,0.054575,0.008875,0.0012,0.000175,0.0,5.42,3.23,2.19,8,4,1.0,PASS,HIGH
Clemson,9,East,1.0,0.515775,0.095575,0.0164,0.002675,0.0005,0.0001,5.51,4.8,0.7,8,5,0.6,PASS,LOW
Utah St.,8,South,1.0,0.520875,0.1214,0.044975,0.008275,0.001425,0.000275,5.48,5.27,0.21,8,7,0.143,PASS,LOW
Texas A&M,9,West,1.0,0.5431,0.0934,0.019975,0.00525,0.000825,0.0002,5.72,4.95,0.76,8,5,0.6,PASS,LOW
Georgia,7,South,1.0,0.5525,0.1203,0.0344,0.009175,0.00235,0.000525,5.46,5.33,0.13,8,7,0.143,PASS,LOW
Ohio St.,9,South,1.0,0.479125,0.09825,0.031825,0.006825,0.001325,0.0002,5.62,4.84,0.77,8,5,0.6,PASS,LOW
N.C. State,10,East,1.0,0.3127,0.081025,0.0201,0.003075,0.000925,0.00025,5.18,3.94,1.24,7,7,0.0,PASS,MEDIUM
Miami FL,8,West,1.0,0.4569,0.0949,0.021975,0.007125,0.0015,0.0004,4.78,4.66,0.12,7,7,0.0,PASS,LOW
TCU,8,East,1.0,0.484225,0.096025,0.022975,0.003275,0.000775,5e-05,4.84,4.74,0.1,7,7,0.0,PASS,LOW
McNeese St.,13,South,1.0,0.1447,0.0665,0.015525,0.001175,0.000125,2.5e-05,4.9,3.12,1.78,7,4,0.75,PASS,HIGH
Yale,12,South,1.0,0.237175,0.04115,0.00275,0.000375,7.5e-05,2.5e-05,5.07,3.22,1.85,7,6,0.167,PASS,HIGH
High Point,12,Midwest,1.0,0.17525,0.059725,0.008525,0.00115,0.0,0.0,4.68,3.14,1.54,7,6,0.167,PASS,HIGH
Iowa,9,Midwest,1.0,0.411925,0.0642,0.0264,0.00905,0.001975,0.00045,5.02,4.36,0.66,7,5,0.4,PASS,LOW
UCF,10,Midwest,1.0,0.2095,0.065175,0.017875,0.003575,0.000425,5e-05,4.3,3.41,0.89,6,7,-0.143,PASS,MEDIUM
Hofstra,13,West,1.0,0.16265,0.030175,0.00165,0.000225,0.0,0.0,4.48,2.85,1.63,6,4,0.5,PASS,HIGH
Missouri,11,West,1.0,0.1637,0.04915,0.01355,0.00135,0.00015,2.5e-05,4.14,3.07,1.07,6,6,0.0,PASS,MEDIUM
Miami OH,11,East,1.0,0.191475,0.024175,0.003925,0.00025,0.0,0.0,4.0,2.94,1.06,6,6,0.0,PASS,MEDIUM
Sam Houston St.,13,East,1.0,0.09685,0.010125,0.0006,5e-05,0.0,0.0,3.38,2.45,0.93,5,4,0.25,PASS,MEDIUM
Northern Iowa,12,West,1.0,0.107025,0.0222,0.001925,0.0004,2.5e-05,0.0,3.44,2.58,0.86,5,6,-0.167,PASS,MEDIUM
Tennessee St.,15,West,1.0,0.08025,0.01185,0.0011,5e-05,0.0,0.0,3.54,2.4,1.14,5,2,1.5,PASS,HIGH
South Florida,12,East,1.0,0.0955,0.0162,0.00215,0.0001,0.0,0.0,3.25,2.5,0.75,5,6,-0.167,PASS,MEDIUM
Texas,11,South,1.0,0.117825,0.01915,0.0043,0.0009,0.0002,2.5e-05,3.32,2.63,0.68,5,6,-0.167,PASS,MEDIUM
Troy,14,Midwest,1.0,0.063175,0.00855,0.000775,2.5e-05,0.0,0.0,3.06,2.31,0.75,4,3,0.333,PASS,MEDIUM
Furman,15,South,1.0,0.027275,0.00145,0.0,0.0,0.0,0.0,2.48,2.12,0.36,4,2,1.0,PASS,LOW
Queens,15,East,1.0,0.03895,0.007875,0.000275,0.0,0.0,0.0,2.77,2.21,0.56,4,2,1.0,PASS,MEDIUM
Wright St.,14,South,1.0,0.033725,0.0027,0.00025,2.5e-05,0.0,0.0,2.54,2.15,0.39,4,3,0.333,PASS,MEDIUM
North Dakota St.,14,West,1.0,0.027825,0.004575,0.0005,0.0,0.0,0.0,2.48,2.14,0.34,4,3,0.333,PASS,LOW
UC Irvine,14,East,1.0,0.05845,0.0077,0.0008,2.5e-05,0.0,0.0,2.98,2.29,0.7,4,3,0.333,PASS,MEDIUM
