Team,Seed,Region,P_R64,Public_R64_Pct,R64_Contrarian_Ratio,P_R32,Public_R32_Pct,R32_Contrarian_Ratio,P_S16,Public_S16_Pct,S16_Contrarian_Ratio,P_E8,Public_E8_Pct,E8_Contrarian_Ratio,P_F4,Public_FF_Pct,FF_Contrarian_Ratio,P_Championship,Public_Championship_Pct,Championship_Contrarian_Ratio,P_WIN_Championship,Public_WIN_Champion_Pct,WIN_Champion_Contrarian_Ratio,E_Points_Blended,E_Points_Base,E_Points_Upset,Bid_mean,Bid_median,Bid_p25,Bid_p75,Points_mean,Points_median,Pts_Per_Dollar,Fair_Bid,Market_Price,Value_Gap,Value_Gap_Pct,Points_Benchmark,Points_Advantage,Pts_Per_Market_Dollar,Upset_Pct,Chalk_Risk,Tier,Action
Duke,1,West,1.0,1.0,0.01,0.97345,97.0,1.0,0.8091,89.7,1.11,0.718825,80.6,1.12,0.609225,65.2,1.07,0.47095,43.2,0.92,0.345875,14.8,0.43,28.24,28.24,0.0,44.69,45.0,39.75,50.25,17.12,12.0,0.383,40,47,-7,-0.149,17.12,11.1,0.601,0.0,LOW,ANCHOR,COMPETE
Michigan,1,East,1.0,1.0,0.01,0.9581,97.0,1.01,0.79825,83.5,1.05,0.67005,70.7,1.06,0.5093,54.5,1.07,0.4103,34.6,0.84,0.23215,11.4,0.49,26.0,26.0,0.0,44.69,45.0,39.75,50.25,17.12,12.0,0.383,37,47,-10,-0.213,17.12,8.9,0.553,0.0,LOW,ANCHOR,DISCOUNT_ONLY
Arizona,1,South,1.0,1.0,0.01,0.929425,94.0,1.01,0.7713,78.0,1.01,0.655525,62.0,0.95,0.471475,45.0,0.95,0.2255,27.0,1.2,0.12255,8.4,0.69,23.01,23.01,0.0,44.69,45.0,39.75,50.25,17.12,12.0,0.383,33,47,-14,-0.298,17.12,5.9,0.49,0.0,LOW,ANCHOR,DISCOUNT_ONLY
Florida,1,Midwest,1.0,1.0,0.01,0.932925,94.9,1.02,0.783425,79.6,1.02,0.59735,64.5,1.08,0.380825,47.7,1.25,0.152225,29.2,1.92,0.04605,9.3,2.02,20.85,20.85,0.0,44.69,45.0,39.75,50.25,17.12,12.0,0.383,30,47,-17,-0.362,17.12,3.7,0.444,0.0,LOW,VALUE,DISCOUNT_ONLY
Houston,2,South,1.0,1.0,0.01,0.972725,83.8,0.86,0.77515,61.8,0.8,0.428075,39.6,0.93,0.24105,22.1,0.92,0.097575,11.2,1.15,0.055425,3.2,0.58,17.55,17.55,0.0,30.62,29.5,23.0,39.25,8.75,6.0,0.286,25,30,-5,-0.167,8.75,8.8,0.585,0.0,LOW,ANCHOR,DISCOUNT_ONLY
Connecticut,2,East,1.0,1.0,0.01,0.96105,84.7,0.88,0.768,63.0,0.82,0.435725,41.4,0.95,0.16955,23.7,1.4,0.08,12.3,1.54,0.023225,3.6,1.55,16.59,16.59,0.0,30.62,29.5,23.0,39.25,8.75,6.0,0.286,24,30,-6,-0.2,8.75,7.8,0.553,0.0,LOW,FILL,DISCOUNT_ONLY
Gonzaga,3,West,1.0,1.0,0.01,0.972175,81.4,0.84,0.683775,59.4,0.87,0.4544,39.2,0.86,0.1421,22.4,1.58,0.059775,11.8,1.97,0.0219,3.7,1.69,15.82,15.76,0.06,19.54,18.5,14.0,23.5,6.77,6.0,0.346,23,19,4,0.211,6.77,9.0,0.833,0.004,LOW,ANCHOR,BUY
Illinois,2,Midwest,1.0,1.0,0.01,0.812475,86.4,1.06,0.6745,65.7,0.97,0.4424,44.9,1.01,0.219775,26.8,1.22,0.084525,14.6,1.73,0.02085,4.4,2.11,16.05,16.05,0.0,30.62,29.5,23.0,39.25,8.75,6.0,0.286,23,30,-7,-0.233,8.75,7.3,0.535,0.0,LOW,FILL,DISCOUNT_ONLY
Iowa St.,3,East,1.0,1.0,0.01,0.94155,78.2,0.83,0.548025,54.9,1.0,0.33425,33.6,1.01,0.13305,17.9,1.35,0.07855,8.7,1.11,0.028275,2.5,0.88,14.08,14.0,0.08,19.54,18.5,14.0,23.5,6.77,6.0,0.346,20,19,1,0.053,6.77,7.3,0.741,0.006,LOW,FILL,COMPETE
Michigan St.,2,West,1.0,1.0,0.01,0.91975,91.2,0.99,0.689,72.8,1.06,0.366025,54.6,1.49,0.08445,35.4,4.19,0.0265,20.7,7.81,0.010475,6.7,6.4,13.9,13.9,0.0,30.62,29.5,23.0,39.25,8.75,6.0,0.286,20,30,-10,-0.333,8.75,5.2,0.463,0.0,LOW,FILL,DISCOUNT_ONLY
