Rk,Team,Conf,Seed,G,Win,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Duke,ACC,1,31,28,129.4,91.5,0.9817,57.8,44.1,14.3,17.8,35.6,26.1,31.5,25.6,57.7,42.7,38.7,30.8,45.2,37.8,66,8.2
,,,,,,2,4,1,3,2,17,134,26,28,216,26,12,2,8,28,54,138,253,5
2,Houston,B12,1,31,27,125.7,89.4,0.9804,52.7,45.1,14.6,21.9,36.8,29.3,27.1,35.2,49.2,43.4,39.7,31.5,33.9,43.7,61.2,9.8
,,,,,,6,1,2,96,5,22,15,13,156,330,239,259,4,4,54,302,317,360,2
3,Auburn,SEC,1,31,27,130.5,94.7,0.9755,56.1,46.1,13.2,17.4,34.7,30.5,33.5,39,56.3,46.9,37.2,29.7,40.6,34.4,68.2,12.1
,,,,,,1,13,3,21,14,4,160,40,217,166,314,28,35,31,9,138,38,124,1
4,Florida,SEC,1,31,27,126,94.6,0.9642,54.6,44.9,15.1,17.4,38.1,28.6,31.7,31.9,55.9,45.2,35.2,29.6,43.8,36.9,69.6,8.9
,,,,,,5,12,4,45,3,41,160,8,117,208,152,34,8,97,7,72,113,64,4
5,Alabama,SEC,2,31,24,128.4,97.6,0.9592,56.5,47.6,16.9,13.5,35.4,29.5,40.7,32.9,59.9,48.7,35,30.4,46.2,35.1,74.7,9.3
,,,,,,3,32,5,12,36,160,348,32,172,23,180,3,85,114,19,41,52,2,3
6,Tennessee,SEC,2,31,25,117.9,90.7,0.9531,52.9,44,16.1,18.3,35.5,29.5,33.1,28.3,53.7,46.1,34.6,27.7,43,45.9,64.1,8.1
,,,,,,30,3,6,88,1,99,102,31,172,173,62,89,19,136,2,80,345,335,6
7,Texas Tech,B12,2,31,24,125.6,96.7,0.9525,55.8,47.7,15,17.8,33.9,27.9,29.3,33.6,55,47.9,37.8,31.4,44.3,34.6,65.8,5.4
,,,,,,9,24,7,26,39,36,134,60,78,289,198,48,63,19,47,65,41,269,10
8,Iowa St.,B12,2,31,23,117.6,92.5,0.9405,53.9,48.1,16.7,22.2,31.9,28.4,40.1,28.9,54.6,47.7,35.1,32.5,36.5,39.6,68.8,5.1
,,,,,,31,5,8,59,54,146,9,119,108,27,73,53,53,103,103,243,206,99,13
9,Gonzaga,WCC,3,31,23,124.6,98.1,0.9404,56.4,47.6,13.5,17.9,33.2,26.3,30.9,28.8,58.2,49,35.3,30.4,34,40.9,70.2,1.9
,   vs. 61 San Francisco,,,,,11,36,9,15,36,7,127,77,34,243,70,7,102,90,19,300,253,50,39
10,BYU,B12,3,31,23,125.4,99,0.9381,57.5,50,17.6,17.4,33.2,25.7,30.4,29.8,59.3,48.9,37,34.3,47.9,44.3,67.3,4.1
,,,,,,10,46,10,5,131,210,160,77,23,263,96,5,95,36,205,17,329,186,23
11,Arizona,B12,3,31,20,123.3,97.4,0.9379,52.6,48.3,16.3,16.9,36.5,28.2,37.1,29.1,55.3,47.4,31.8,33,35.1,41.7,70,4.1
,,,,,,13,31,11,98,63,115,191,14,96,62,78,41,43,276,127,277,282,55,24
12,Michigan St.,B10,3,31,26,117.2,92.7,0.937,51.2,45.8,16.8,16.5,35.9,25,37.3,32.7,54.2,48.5,30.2,28,32.9,41.2,68,7.7
,,,,,,36,6,12,155,12,155,222,21,11,59,175,67,78,337,3,327,265,140,7
13,Purdue,B10,4,31,21,125.7,99.5,0.9361,57,51.9,15.8,18.1,30.4,29.3,34.4,31,56.4,56.2,38.6,30.8,38.2,42.7,65.4,4.3
,,,,,,7,51,13,8,229,76,114,165,156,134,128,27,342,9,28,190,300,287,21
14,Wisconsin,B10,4,31,23,123.4,97.9,0.9343,54.3,48.7,14.3,14.7,28.2,26.3,33.6,27.1,56,47.7,35,33.5,47.4,38.6,67.7,4.6
,,,,,,12,35,14,52,79,17,326,229,34,161,44,33,53,114,154,23,173,157,16
15,Maryland,B10,4,31,24,117.3,93.1,0.9343,54,47,15,19.9,31.5,25.9,32.7,26,53.3,47.5,37,30.8,35.7,35.9,70,4.4
,,,,,,35,9,15,58,26,36,48,127,25,182,28,95,47,36,28,267,82,53,20
16,Kentucky,SEC,4,31,21,125.6,99.9,0.9334,56.3,50,15,14.1,29.2,26.4,35.1,31.1,56.1,53.3,37.8,30.4,42,43.7,70.8,5.3
,,,,,,8,53,16,17,131,36,339,203,38,112,131,32,269,19,19,102,317,26,11
17,Missouri,SEC,5,31,21,127.7,101.6,0.9332,56.5,50.4,15.2,20.3,33.4,32.2,46.9,34.9,56.9,50.3,37.3,33.8,42.1,37.7,68.1,2.7
,,,,,,4,75,17,12,155,46,38,75,296,2,231,21,152,28,177,100,134,133,32
18,Illinois,B10,5,31,20,122.7,97.9,0.9302,52.3,46.6,15.7,13.1,35.6,26.3,34.4,26.9,57.6,45.9,31,32.2,47.3,30.2,71.5,3.3
,,,,,,15,34,18,109,20,69,354,26,34,134,38,13,16,315,82,26,3,17,28
19,Louisville,ACC,5,31,25,118.7,94.9,0.9288,53.7,49.1,16.3,19,32.2,27.1,34.8,26.5,57.2,48.4,33.3,33.3,48.8,39.7,69,4.7
,,,,,,24,14,19,64,94,115,76,107,55,123,33,17,74,206,143,12,211,92,15
20,Kansas,B12,5,31,20,116.2,93.1,0.9276,53.2,45.4,16.6,15.7,30,27.6,24.2,27.5,54.1,45.6,34.3,30.1,33.7,40.7,68.4,3.9
,,,,,,50,8,20,79,8,136,278,178,70,356,49,69,12,152,12,313,249,120,25
21,Clemson,ACC,6,31,26,120.1,96.4,0.9263,54.3,49.1,15.6,20.1,34,30.1,27.8,27,52.8,49.1,37.8,32.8,38.8,38.6,64.2,4.8
,,,,,,18,23,21,52,94,63,44,55,199,320,41,116,107,19,117,176,173,331,14
22,St. John's,BE,6,31,27,112.9,90.6,0.9255,49.5,46.7,15.8,21.9,38,29.4,31.2,30.6,51.6,45.2,29.9,32.6,30.8,40,70,6.5
,,,,,,75,2,22,250,22,76,15,9,163,230,120,154,8,340,108,342,225,52,8
23,Saint Mary's,WCC,6,31,27,116.7,93.9,0.9247,51.2,46.4,14.8,17.1,40.2,25.1,31.2,25.5,51.4,45.6,33.9,32.1,33.8,31.6,62,4.5
,   vs. 202 Pepperdine,,,,,42,11,23,155,18,31,181,2,14,230,24,162,12,176,80,311,7,359,18
24,UCLA,B10,6,31,22,118.3,95.2,0.9241,53.5,49.9,16.2,23,32.5,29.2,32.7,35,53.7,51.5,35.4,32,35.7,44.4,65.1,3.5
,,,,,,27,16,24,71,128,106,5,95,152,182,233,89,203,85,75,267,330,297,26
25,Texas A&M,SEC,7,31,22,116.3,93.7,0.9226,47.6,48.1,18.3,20.2,42.2,28.1,41.1,35,48.6,46.6,30.7,33.2,37.4,47.7,66.2,5.7
,,,,,,46,10,25,314,54,255,41,1,90,22,233,278,27,325,135,212,358,242,9
Rk,Team,Conf,,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
26,Marquette,BE,7,31,22,116.9,96.9,0.8964,52,49.6,13.5,22,31,31.6,26.1,29.9,54.9,51.4,32.5,31.3,46.1,40.3,67.5,3.4
,,,,,,39,26,26,119,113,7,13,147,269,342,99,51,200,239,46,43,240,170,27
27,Georgia,SEC,7,31,20,116.1,96.3,0.8962,52.5,46.8,18.9,18,36,32,40.4,30,53.9,47.8,33.4,30.3,36.5,40.4,66.5,2.5
,,,,,,51,22,27,102,24,291,119,18,286,26,103,79,58,198,17,243,243,223,35
28,VCU,A10,7,31,25,116.9,97.1,0.8942,52.7,45.1,16.7,20.8,36.9,29,32,36.7,54.1,44.5,34,30.9,47.2,35.2,66.4,0.41
,,,,,,40,29,28,96,5,146,25,12,138,200,276,69,5,168,33,29,57,229,50
29,Mississippi,SEC,8,31,21,118.1,98.3,0.8922,51.3,50.4,12.6,20.4,25.6,30.7,35.9,39.2,50.8,51.2,34.7,32.9,40.2,44.2,68.2,4.5
,,,,,,28,38,29,146,155,2,35,309,229,92,316,192,187,129,119,149,327,130,17
30,Baylor,B12,8,31,18,120.2,100.2,0.8905,51.6,51.6,16.6,19.2,35.7,31.1,31.5,34.2,51.1,50.1,34.9,35.8,40.9,40.2,65,1.7
,,,,,,17,60,30,131,217,136,66,23,246,216,214,172,142,121,289,131,235,305,41
31,Michigan,B10,8,31,22,115.3,96.3,0.8888,54.9,47.1,20.2,16.7,33.1,30.2,35.9,28.1,58.2,46.6,33.6,32,42.5,38.5,69.7,4.2
,,,,,,56,20,31,38,29,335,204,81,204,92,60,7,27,192,75,90,170,61,22
32,Creighton,BE,8,31,22,117.3,98.4,0.8834,56.2,46.3,18.3,11.5,26.5,26.8,28.5,17.3,60.8,45.5,34.4,31.9,49.7,35.4,67.7,2.7
,,,,,,34,40,32,20,17,255,361,277,46,310,1,1,11,147,71,8,68,152,31
33,West Virginia,B12,9,31,19,110.7,93,0.8818,50.1,46.2,16,19.4,25.7,30.8,25.3,31.9,51,47.3,32.7,29.6,46.3,36.7,64.4,2.1
,,,,,,105,7,33,217,16,94,64,305,233,349,152,181,41,234,7,40,105,326,37
34,Connecticut,BE,9,31,22,122.1,102.7,0.8803,55.5,48.2,17.3,15.8,36,27.7,31.4,39.7,57.4,45.9,35.3,35.1,42.8,33.9,64.2,2.2
,,,,,,16,92,34,29,60,187,272,18,74,222,324,15,16,90,258,85,30,330,36
35,Mississippi St.,SEC,9,31,20,118.8,100.2,0.8758,51.7,52,15.1,18.9,34.4,29.7,31.9,34.6,55.2,49.6,31.3,36.7,41.9,44.1,67.8,3
,,,,,,23,60,35,127,234,41,81,48,180,202,223,44,119,304,328,105,325,146,30
36,Xavier,BE,9,31,21,115.7,97.9,0.8722,53.6,50.3,16.1,18,25.4,25.6,37.3,28.4,51.2,50.4,38.5,33.4,37.3,36.7,69.1,0.8
,,,,,,54,33,36,69,145,99,119,313,21,59,66,168,157,12,149,216,105,84,48
37,Oregon,B10,10,31,23,116.3,98.9,0.8657,52.2,49.3,16,17.7,31.2,29.1,33.7,27.4,52.7,50.6,34.2,31.5,38.7,38.2,67.7,5.3
,,,,,,47,42,37,113,103,94,140,139,144,155,48,119,164,158,54,177,157,156,12
38,New Mexico,MWC,10,31,25,112.7,95.9,0.8649,51.3,49.4,15.8,20.4,31.3,25.3,38.3,35.4,51.3,48.1,34.2,34.4,32.5,37.8,73.6,3.2
,,,,,,80,18,38,146,108,76,35,134,18,44,243,165,67,158,215,332,138,4,29
39,North Carolina,ACC,10,32,20,119.8,102,0.8648,54.5,50.3,15.1,15.2,29.4,27.3,34.6,29.7,55.4,49.3,35.3,34.6,36.8,38.1,70.8,1.1
,,,,,,19,84,39,51,145,41,307,201,57,130,94,39,113,90,228,233,153,28,45
40,Ohio St.,B10,10,31,17,117.5,100,0.8646,53.8,48.1,15.6,16.7,28.7,30.6,35.9,40.5,52.5,49.9,37.2,30.1,37.7,37.4,67.3,-0.31
,,,,,,33,57,40,61,54,63,204,220,226,92,338,127,128,31,12,202,123,190,56
41,Vanderbilt,SEC,11,31,20,119.7,101.9,0.8642,51.9,53,14.8,20.2,32.4,29.9,33.5,38.3,53.6,51.3,32.9,37.2,40.4,37.7,69.7,2
