Rank,Team,Odds,Implied Probability
1,Duke,-150,60.00%
2,Auburn,-140,58.30%
3,Florida,140,41.70%
4,Houston,150,40.00%
5,Alabama,220,31.30%
6,Tennessee,300,25.00%
7,Iowa State,400,20.00%
8,St. John’s,400,20.00%
9,Michigan State,400,20.00%
10,Texas Tech,600,14.30%
11,Kentucky,800,11.10%
12,Maryland,900,10.00%
13,Wisconsin,900,10.00%
14,Texas A&M,1000,9.10%
15,Arizona,1200,7.70%
16,Kansas,1200,7.70%
17,Gonzaga,1300,7.10%
18,Clemson,1500,6.30%
19,BYU,1600,5.90%
20,Illinois,1800,5.30%
21,Purdue,1800,5.30%
22,Missouri,2000,4.80%
23,UConn,2200,4.30%
24,North Carolina,2500,3.80%
25,UCLA,2500,3.80%
26,Marquette,2800,3.40%
27,Indiana,3000,3.20%
28,Arkansas,3300,2.90%
29,Xavier,3500,2.80%
30,LSU,4000,2.40%
31,Miami,4000,2.40%
32,Oklahoma,4500,2.20%
33,USC,5000,2.00%
34,Oregon,5500,1.80%
35,Providence,6000,1.60%
36,Seton Hall,6500,1.50%
37,West Virginia,7000,1.40%
38,Virginia,7500,1.30%
39,Colorado,8000,1.20%
40,San Diego State,8500,1.20%
41,Memphis,9000,1.10%
42,Dayton,9500,1.00%
43,Utah,10000,1.00%
44,Syracuse,11000,0.90%
45,Georgetown,12000,0.80%
46,Nevada,13000,0.80%
47,VCU,14000,0.70%
48,Cincinnati,15000,0.70%
49,Arizona State,16000,0.60%
50,Pittsburgh,17000,0.60%
