Team,Tournament_Appearances,Fibonacci_Score
Michigan St.,10,8
Kansas,10,8
Gonzaga,10,8
Kentucky,9,8
Purdue,9,8
Baylor,9,8
Virginia,9,8
Duke,9,8
North Carolina,9,8
Wisconsin,8,8
Villanova,8,8
Arizona,8,8
Iowa St.,8,8
Texas,8,8
San Diego St.,7,8
UCLA,7,8
VCU,7,8
Texas Southern,7,8
Oregon,7,8
Michigan,7,8
Tennessee,7,8
Creighton,7,8
Providence,7,8
Iowa,7,8
Texas Tech,6,8
New Mexico St.,6,8
Iona,6,8
Houston,6,8
Connecticut,6,8
Oklahoma,6,8
Cincinnati,6,8
Arkansas,6,8
Maryland,6,8
Wichita St.,6,8
Ohio St.,6,8
West Virginia,6,8
Florida,6,8
Xavier,6,8
Miami FL,5,8
Seton Hall,5,8
Saint Mary's,5,8
USC,5,8
N.C. State,5,8
Dayton,5,8
South Dakota St.,5,8
Virginia Tech,5,8
Nevada,5,8
Vermont,5,8
Auburn,5,8
Kansas St.,5,8
Syracuse,5,8
Alabama,5,8
Marquette,5,8
Colgate,5,8
Florida St.,4,5
Indiana,4,5
Butler,4,5
Illinois,4,5
Utah St.,4,5
Georgia St.,4,5
LSU,4,5
Boise St.,4,5
Buffalo,4,5
Texas A&M,4,5
TCU,4,5
Yale,4,5
Notre Dame,4,5
Louisville,4,5
BYU,4,5
Colorado,4,5
Oklahoma St.,4,5
Arizona St.,4,5
Stephen F. Austin,4,5
North Carolina Central,4,5
Pittsburgh,3,5
Murray St.,3,5
Northwestern,3,5
North Dakota St.,3,5
Northern Kentucky,3,5
Memphis,3,5
Clemson,3,5
Fairleigh Dickinson,3,5
UAB,3,5
Loyola Chicago,3,5
Missouri,3,5
Montana St.,3,5
Mount St. Mary's,3,5
Davidson,3,5
Drake,3,5
Mississippi St.,3,5
Grand Canyon,3,5
Wofford,3,5
Charleston,3,5
Minnesota,2,3
South Carolina,2,3
Winthrop,2,3
Saint Peter's,2,3
Abilene Christian,2,3
Rhode Island,2,3
Colorado St.,2,3
Nebraska,2,3
Rutgers,2,3
Liberty,2,3
Princeton,2,3
Bucknell,2,3
Morehead St.,2,3
UC Santa Barbara,2,3
Norfolk St.,2,3
Oral Roberts,2,3
New Mexico,2,3
Coastal Carolina,2,3
Jacksonville St.,2,3
Saint Joseph's,2,3
Saint Louis,2,3
Harvard,2,3
Cal St. Fullerton,2,3
St. Bonaventure,2,3
Wright St.,2,3
Montana,2,3
UNC Greensboro,2,3
Kent St.,2,3
Utah,2,3
Akron,2,3
Oregon St.,2,3
UC Irvine,2,3
Northeastern,2,3
Wyoming,2,3
Eastern Washington,2,3
Belmont,2,3
Longwood,2,3
Hampton,2,3
Louisiana,2,3
Vanderbilt,2,3
Howard,2,3
Mississippi,2,3
Manhattan,2,3
Weber St.,2,3
Tulsa,2,3
St. John's,2,3
Florida Atlantic,2,3
Florida Gulf Coast,2,3
UNC Asheville,2,3
Middle Tennessee,2,3
Northern Iowa,2,3
Albany,2,3
Chattanooga,2,3
Texas A&M Corpus Chris,2,3
UNC Wilmington,2,3
Georgetown,2,3
Temple,2,3
SMU,2,3
Delaware,2,3
Ohio,1,2
Stetson,1,2
North Texas,1,2
Long Beach St.,1,2
Grambling St.,1,2
Georgia Tech,1,2
Oakland,1,2
Drexel,1,2
Prairie View A&M,1,2
Western Kentucky,1,2
Samford,1,2
McNeese St.,1,2
Duquesne,1,2
James Madison,1,2
Cleveland St.,1,2
Hartford,1,2
Southeast Missouri St.,1,2
Kennesaw St.,1,2
Appalachian St.,1,2
San Francisco,1,2
Furman,1,2
Penn St.,1,2
Richmond,1,2
Bryant,1,2
Washington St.,1,2
North Dakota,1,2
Gardner Webb,1,2
Southern,1,2
Fresno St.,1,2
Stony Brook,1,2
Cal St. Bakersfield,1,2
Little Rock,1,2
Hawaii,1,2
Mercer,1,2
California,1,2
Robert Morris,1,2
Lafayette,1,2
North Florida,1,2
American,1,2
Valparaiso,1,2
Eastern Kentucky,1,2
Western Michigan,1,2
Milwaukee,1,2
Georgia,1,2
Cal Poly,1,2
Green Bay,1,2
Austin Peay,1,2
Bradley,1,2
Holy Cross,1,2
Old Dominion,1,2
Washington,1,2
UCF,1,2
LIU,1,2
UMBC,1,2
Radford,1,2
Lipscomb,1,2
Marshall,1,2
Penn,1,2
UC Davis,1,2
New Orleans,1,2
Troy,1,2
East Tennessee St.,1,2
Stanford,1,2
George Washington,1,2
Wake Forest,1,2
Massachusetts,1,2
Wagner,1,2
