2024,,,,
Seed,Team,Index,Projected,Actual
1,Connecticut,6057,6,42
1,Houston,6115,14.4,6
1,North Carolina,6206,9.6,6
1,Purdue,6241,30,30
2,Iowa State,6128,12,6
2,Marquette,6160,8.4,6
2,Arizona,6011,35.4,6
2,Tennessee,6292,19.6,12
3,Illinois,6120,4.4,13
3,Kentucky,6139,8.6,0
3,Baylor,6020,2,2
3,Creighton,6060,6,6
4,Auburn,6017,25,0
4,Duke,6074,13.6,15
4,Alabama,6004,1.2,21
4,Kansas,6134,0,2
5,San Diego St.,6260,2,6
5,Wisconsin,6347,2,0
5,St. Mary's,6255,10.6,0
5,Gonzaga,6104,6,7
6,BYU,6034,4.8,0
6,Texas Tech,6301,4.8,0
6,Clemson,6049,0,17
6,South Carolina,6273,0,0
7,Washington State,6337,0,2
7,Florida,6087,0,0
7,Dayton,6066,1.2,2
7,Texas,6296,1.2,2
8,Florida Atlantic,6089,0,0
8,Nebraska,6195,1.2,0
8,Mississippi State,6177,0,0
8,Utah State,6321,0,2
9,Northwestern,6217,3,3
9,Texas A&M,6297,1.2,2
9,Michigan State,6172,3,3
9,TCU,6290,3,0
10,Drake,6072,5,0
10,Boise State,6024,0,0
10,Colorado,6054,6,6
10,Nevada,6196,2,0
10,Virginia,6331,0,0
10,Colorado State,6055,3,1
11,Duquesne,6075,0,7
11,NC State,6193,0,41
11,New Mexico,6198,19,0
11,Oregon,6228,7,7
12,UAB,6308,0,0
12,James Madison,6133,0,9
12,Grand Canyon,6106,0,9
12,McNeese State,6164,0,0
13,Yale,6352,0,11
13,Vermont,6329,0,0
13,Charleston,6053,4.4,0
13,Samford,6258,11,0
14,Morehead State,6183,0,0
14,Oakland,6220,0,13
14,Colgate,6052,0,0
14,Akron,6003,0,0
15,South Dakota State,6275,0,0
15,Western Kentucky,6342,0,0
15,Long Beach State,6147,0,0
15,St. Peter's,6256,0,0
,,,,
Seed,Team,Index,Projected,Actual
1,Houston,6115,30,6
1,Alabama,6004,30,6
1,Purdue,6241,6,0
1,Kansas,6134,6,2
2,UCLA,6313,29.2,6
2,Texas,6296,15.6,12
2,Arizona,6011,9.6,0
2,Marquette,6160,12,2
3,Gonzaga,6104,6,13
3,Baylor,6020,2,2
3,Kansas State,6136,1.2,12
3,Xavier,6351,6,6
4,Tennessee,6292,25,6
4,UConn,6057,15,43
4,Indiana,6124,3.6,2
4,Virginia,6331,2,0
5,San Diego State,6260,7,34
5,Saint Mary's,6255,2,2
5,Duke,6074,2,2
5,Miami,6169,1.2,28
6,Creighton,6060,13,15
6,Iowa State,6128,2,0
6,Kentucky,6139,9,2
6,TCU,6290,2,2
7,Texas A&M,6297,1.2,0
7,Michigan State,6172,1.2,11
7,Northwestern,6217,0,2
7,Missouri,6178,0,2
8,Memphis,6166,2,0
8,Arkansas,6014,2,13
8,Maryland,6162,0,2
8,Iowa,6127,0.8,0
9,West Virginia,6339,3,0
9,Auburn,6017,1.8,3
9,Florida Atlantic,6089,0,32
9,Illinois,6120,0,0
10,Utah State,6321,5,0
10,USC,6277,2,0
10,Boise State,6024,5,0
10,Penn State,6231,2,5
11,Providence,6240,0,0
11,NC State,6193,0,0
11,Mississippi State,6177,1,0
11,Nevada,6196,0.6,0
11,Arizona State,6012,0.4,1
11,Pittsburgh,6234,0,8
12,Drake,6072,3.6,0
12,Oral Roberts,6227,0,0
12,VCU,6328,0,0
12,Charleston,6053,0,0
13,Kent State,6138,6,0
13,Iona,6126,0,0
13,Louisiana,6150,0,0
13,Furman,6095,0,11
14,Kennesaw State,6137,0,0
14,Montana State,6182,0,0
14,Grand Canyon,6106,0,0
14,UCSB,6312,0,0
15,Vermont,6329,0,0
15,Colgate,6052,0,0
15,Princeton,6239,0,27
15,NC Asheville,6190,0,0
,,,,
,2022,,,
Seed,Team,,Projected,Actual
1,Gonzaga,,33.5,6
