Rk,Team,Conf,Seed,G,Win,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,bluePower
1,Houston,B12,1,34,30,124.8,88,0.9823,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,49,43.9,39.8,30.9,34.5,43.1,61.4,11.6,8
,"   1 seed, ✅",,,,,9,1,1,88,4,25,17,15,157,315,211,267,5,2,33,296,306,360,2,#N/A
2,Duke,ACC,1,34,31,128.5,91.3,0.9807,57.4,44.5,14.4,17.7,35.2,26.5,32.1,25.4,58,43.4,37.7,30.9,45.4,37.9,65.7,9.6,8
,"   1 seed, ✅",,,,,2,4,2,5,3,19,134,35,36,201,21,8,3,20,33,51,142,267,5,#N/A
3,Auburn,SEC,1,33,28,129,93.7,0.9756,55.7,46,13.4,17.4,34.3,30.3,33.5,39.2,56.1,47.2,36.8,29.2,40.6,34.8,67.8,12.5,8
,"   1 seed, ✅",,,,,1,12,3,25,11,6,155,51,211,166,312,30,41,39,5,138,50,143,1,#N/A
4,Florida,SEC,1,34,30,127.7,94,0.9713,55,45.3,15,17,38.1,28.8,32.6,33,56.4,45.9,35.5,29.6,43.6,37.3,69.5,11.1,8
,"   1 seed, ✅",,,,,3,13,4,37,6,36,184,8,126,188,176,27,14,83,7,73,120,64,3,#N/A
5,Alabama,SEC,2,33,25,127.6,96.4,0.9621,56.3,47.9,16.7,13.5,34.7,29.2,40.1,33.9,59.7,48.8,35,30.8,46.2,35.1,74.6,9.8,8
,"   2 seed, ✅",,,,,4,28,5,14,50,149,348,39,149,25,206,4,92,107,29,41,56,1,4,#N/A
6,Tennessee,SEC,2,34,27,119.3,91.1,0.957,52.8,44.4,16,17.8,35.4,30.1,35.4,29.4,54.1,46.7,34,27.8,43,45.1,63.8,9.3,8
,"   2 seed, ✅",,,,,19,3,6,84,1,95,126,28,202,110,85,66,29,164,1,82,340,336,6,#N/A
7,Texas Tech,B12,3,33,25,126,96.7,0.9546,55.5,48,14.8,17.4,34.3,28.5,29.7,33.5,54.3,48.2,37.9,31.7,44.6,34.1,65.6,5.8,8
,"   3 seed, ✅",,,,,6,32,7,27,53,30,155,51,108,280,196,63,69,19,61,59,29,273,11,#N/A
8,Iowa St.,B12,3,33,24,118.9,92.3,0.9481,54.6,48.4,16.9,21.8,32.2,28.4,38.5,28.9,55.1,47.5,35.8,33.2,36.9,40.7,68.5,5.4,8
,"   3 seed, ✅",,,,,20,8,8,44,63,159,14,107,102,40,74,44,50,67,130,230,246,106,14,#N/A
9,Arizona,B12,4,34,22,123.9,96.5,0.9469,52.9,48.6,16.2,16.6,35.9,28.5,36.6,29.2,55.1,47.2,32.4,33.6,34.6,41.9,69.9,5.4,8
,"   4 seed, ✅",,,,,10,30,9,83,74,108,212,19,108,71,80,44,41,247,168,291,284,52,15,#N/A
10,Maryland,B10,4,33,25,117.8,92,0.9449,53.8,47,14.5,20.2,31,27.2,32.9,25.9,52.7,47.6,37.2,30.7,35.5,35.8,69.8,4.6,8
,"   4 seed, ✅",,,,,28,6,10,57,25,23,38,146,55,180,26,114,53,28,25,270,81,54,22,#N/A
11,Gonzaga,WCC,8,33,25,123.3,96.4,0.9441,55.7,47.5,13.2,18.2,32.7,26.4,30.9,28.6,57.8,49.1,34.4,30.2,33.5,40.6,70.1,2.7,8
,"   8 seed, ✅",,,,,12,29,11,25,37,4,103,95,34,245,67,10,106,145,15,313,242,47,33,#N/A
12,Wisconsin,B10,3,35,26,122.4,96.1,0.9418,53.6,47.9,14.1,14.5,28,26.6,33.8,28.1,54.7,46.8,34.9,33,48.1,39.1,67.5,5.9,8
,"   3 seed, ✅",,,,,14,26,12,63,50,17,331,237,41,153,55,50,32,117,123,18,189,163,10,#N/A
13,Michigan St.,B10,2,33,27,116.8,91.8,0.941,51.2,46.1,16.6,16.4,35.3,24.6,37.8,33.1,53.6,49.1,30.8,27.9,32.7,41.4,67.9,7.8,8
,"   2 seed, ✅",,,,,37,5,13,147,12,137,228,31,8,47,182,85,106,325,2,329,273,139,8,#N/A
14,BYU,B12,6,33,24,125.4,99.1,0.9377,57.2,50.6,17.6,17.2,33.3,26.1,30.2,29.5,58.6,49.3,37.1,34.8,48.3,44.4,67.2,4.8,5
,"   6 seed, ✅",,,,,7,53,14,7,164,207,174,76,30,269,89,6,114,32,242,15,329,180,21,#N/A
15,St. John's,BE,2,34,30,112.6,89.1,0.9364,49.7,46.6,15.6,21.9,37.3,28.9,30.2,30.4,51.5,45.8,30.4,31.8,30.3,40.8,70.1,7.8,3
,"   2 seed, ✅",,,,,70,2,15,238,19,66,12,9,131,269,112,154,11,337,64,346,250,50,7,#N/A
16,Missouri,SEC,6,33,22,127,100.8,0.9344,56.2,50.7,15.2,20,33.7,32.2,46.8,35.3,56.7,51.1,37,33.4,41.5,38.2,68.1,3,5
,"   6 seed, ✅",,,,,5,75,16,18,170,44,43,66,296,2,238,20,186,34,154,117,155,124,30,#N/A
17,Kentucky,SEC,3,33,22,123.9,98.7,0.9315,56,50.4,15.2,14,28.7,25.9,35.9,31,55.9,53.7,37.4,30.8,41.7,43.5,70.9,5.6,8
,"   3 seed, ✅",,,,,11,49,17,19,151,44,340,221,25,93,125,33,289,25,29,113,316,22,12,#N/A
18,Purdue,B10,4,33,22,125,100,0.9289,56.3,52,15.6,17.8,31,29.9,34.6,31,55.5,56.4,38.5,30.7,38.1,42.7,65,4.3,8
,"   4 seed, ✅",,,,,8,68,18,14,240,66,126,146,185,130,125,37,348,9,25,191,299,294,23,#N/A
19,Louisville,ACC,8,34,27,118.3,94.7,0.9288,53.4,49.2,16.5,18.6,32.2,27.2,34.5,26.8,57,48.3,33,33.7,48.1,39.7,68.8,5.5,5
,"   8 seed, ✅",,,,,25,16,19,71,96,132,90,107,55,133,36,19,74,212,172,18,208,92,13,#N/A
20,Kansas,B12,7,33,21,116.1,93,0.9274,53.1,46.2,16.7,15.6,30.4,27.5,24.3,28,53.4,46.1,35.2,30.9,34.3,40.7,68.3,4.1,8
,"   7 seed, ✅",,,,,43,10,20,78,14,149,283,166,68,355,53,89,18,97,33,297,246,115,25,#N/A
21,Clemson,ACC,5,33,27,118.3,94.8,0.9272,53.6,48.9,15.7,20.1,33.7,29.9,28.2,27.6,52.3,49.3,37.2,32.2,38.4,38.3,64.3,4.9,5
,"   5 seed, ✅",,,,,24,17,21,63,89,75,41,66,185,315,46,129,114,28,83,182,157,328,18,#N/A
22,Texas A&M,SEC,4,32,22,115.7,93.1,0.9237,47.5,48.2,18.2,19.7,42,27.8,41.7,35.3,48,46.5,31.1,33.4,37.6,47,66.1,5.2,5
,"   4 seed, ✅",,,,,49,11,22,315,58,249,54,1,76,16,238,290,26,316,154,205,352,240,17,#N/A
23,Illinois,B10,6,33,21,122.2,98.5,0.9228,52.3,47.3,15.8,12.7,36,26.3,34.6,26.8,57.3,46.1,31.1,33.3,46.9,30.4,71.3,3.4,5
,"   6 seed, ✅",,,,,15,45,23,103,32,83,359,17,33,130,36,16,18,316,141,30,3,17,27,#N/A
24,Saint Mary's,WCC,7,33,28,115,92.8,0.9217,50.9,46.2,15.1,16.6,40.5,24.9,31.4,25,51.8,45.8,32.6,31.2,33.4,31.3,61.8,4.1,8
,"   7 seed, ✅",,,,,55,9,24,167,14,39,212,2,9,224,18,145,11,232,43,315,6,359,24,#N/A
25,UCLA,B10,7,32,22,117.9,95.3,0.9205,53,50.5,15.9,22.8,32.8,29.2,32.9,34.6,53.1,51.2,35.2,33.2,36,44.8,65,3.3,8
,"   7 seed, ✅",,,,,27,20,25,80,157,90,5,90,149,180,220,101,189,97,130,257,337,296,28,#N/A
Rk,Team,Conf,,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,Fibonacci_Score
26,Michigan,B10,5,34,25,115.1,94.4,0.9072,54.5,46.3,19.8,16,33.2,29.8,35,28.5,57.7,45.9,33.4,31.3,42.5,38.9,69.4,6.2,8
,"   5 seed, ✅",,,,,54,15,26,51,17,328,259,79,181,120,65,11,14,194,46,91,182,65,9,#N/A
27,Baylor,B12,9,33,19,120.5,99.3,0.9027,51.5,51.2,16.1,18.8,35.6,31.2,31,33.5,51.2,49.8,34.7,35.4,40.2,40.8,64.6,2,8
,"   9 seed, ✅",,,,,17,58,27,135,196,103,81,23,250,240,196,168,128,126,275,146,250,314,39,#N/A
28,Mississippi,SEC,6,33,22,117.4,96.9,0.9003,51.1,50.5,12.8,20.5,25.4,30.8,35.6,39.5,51,51.6,34.1,32.7,40.2,44,68,4.8,3
,"   6 seed, ✅",,,,,31,34,28,152,157,3,33,311,230,104,321,178,209,156,110,146,322,132,20,#N/A
29,VCU,A10,11,34,28,116.2,96,0.9002,52.4,44.4,16.8,20.6,36.7,30,32.2,36.1,54.2,43.6,33.5,30.6,47.4,35.3,66.1,1.1,8
,"   11 seed, ✅",,,,,42,25,29,98,1,155,27,11,192,197,262,65,4,188,23,25,64,238,45,#N/A
30,Georgia,SEC,9,32,20,115.9,95.8,0.8999,52.5,47.2,18.8,18,36.1,31.8,39.8,30.4,53.8,47.8,33.5,30.9,36.8,40.6,66.4,2,2
,"   9 seed, ✅",,,,,46,23,30,95,29,289,116,15,278,27,112,78,57,188,33,235,242,223,38,#N/A
31,Marquette,BE,7,33,23,116.7,96.5,0.8983,52,49.9,13.5,21.5,30.1,31,26.1,30.2,54.9,51.3,32.5,31.8,46.3,39.8,67.7,3.6,8
,"   7 seed, ✅",,,,,40,31,31,114,127,8,19,174,241,341,108,48,196,238,64,40,215,146,26,#N/A
32,Mississippi St.,SEC,8,33,21,118.3,98.8,0.8888,51.7,51.9,15.1,19,34.1,29.5,31.6,35.4,55.2,50.1,31.4,36.1,42.3,44.2,68,3,5
,"   8 seed, ✅",,,,,26,50,32,122,236,39,73,55,166,211,240,42,145,295,313,93,326,133,31,#N/A
33,Creighton,BE,9,34,24,117.3,98.2,0.8852,55.8,47,18.1,11.7,26.9,27.2,28.5,16.9,60.5,45.8,33.9,32.7,49,35.2,67.1,3.1,8
,"   9 seed, ✅",,,,,32,43,33,23,25,242,361,266,55,313,1,2,11,175,110,10,60,187,29,#N/A
34,West Virginia,B12,,32,19,110.1,92.3,0.8836,50,46.3,16.2,19.4,25.9,30.8,25.6,32.2,50.9,47.3,32.6,29.7,46.1,36.5,64.2,1.5,8
,,,,,,103,7,34,224,17,108,63,296,230,348,158,183,44,232,9,44,99,330,41,#N/A
35,Connecticut,BE,8,33,23,121.6,102,0.8829,55.5,48.3,17.1,15.5,35.6,27.4,30.6,40,57.3,46,35.4,35.1,42.6,34.2,63.8,2.2,8
,"   8 seed, ✅",,,,,16,92,35,27,59,174,288,23,62,256,332,16,16,87,257,90,35,340,36,#N/A
36,North Carolina,ACC,11,35,22,118.8,99.8,0.8814,54.2,49.6,15.1,15.2,29.2,27.1,34.8,30,54.9,49.2,35.3,33.5,37,37.9,70.6,1.4,8
,"   11 seed, ✅",,,,,21,65,36,52,115,39,306,204,54,125,100,48,108,91,161,227,142,34,42,#N/A
37,Xavier,BE,11,32,21,116.3,97.8,0.8797,53.9,50.6,16,17.6,25.2,25.2,37.2,28.1,51.3,50.5,38.8,33.9,37.4,37.2,69,0.35,8
,"   11 seed, ✅",,,,,41,38,37,55,164,95,139,316,14,60,55,164,159,6,187,213,118,78,49,#N/A
38,Colorado St.,MWC,12,34,25,116.9,98.6,0.8761,55.8,48.5,17.4,16.7,26.4,25.3,31.8,33.6,56.5,47.7,36.6,33.1,42.8,37.9,66,0.9,3
,"   12 seed, ✅",,,,,34,46,38,23,68,193,200,278,16,207,198,25,55,47,127,86,142,245,47,#N/A
39,Oregon,B10,5,33,24,115.1,97.3,0.8744,52.2,49.1,16.2,17.6,30.6,29.2,33.4,27.7,53,50,34,31.7,38.6,37.4,67.7,5.3,8
,"   5 seed, ✅",,,,,53,37,39,105,93,108,139,159,149,169,49,107,139,164,61,176,123,151,16,#N/A
40,New Mexico,MWC,10,33,26,111.7,94.9,0.8673,50.8,49.2,15.6,20.5,31.5,25.6,37.8,35,50.6,48.2,34.1,33.8,32.2,38.3,73.1,2.8,3
,"   10 seed, ✅",,,,,87,18,40,172,96,66,33,127,20,47,232,194,69,156,178,333,157,4,32,#N/A
41,Ohio St.,B10,,32,17,116.8,99.5,0.8632,53.5,48.6,15.6,16.8,28.9,30.5,35.8,39.9,52.6,50.3,36.8,30.5,37.7,37.6,67,-1,8
,,,,,,38,61,41,68,74,66,193,212,217,97,329,115,149,39,20,201,131,196,59,#N/A
42,Vanderbilt,SEC,10,32,20,118.6,101.2,0.8621,51.7,52.9,14.7,20,32.2,29.7,34,39,53.6,51.5,32.5,36.9,40.2,37.5,69.6,1.5,3
,"   10 seed, ✅",,,,,22,84,42,122,275,28,43,107,175,149,310,85,205,238,337,146,125,60,40,#N/A
43,Arkansas,SEC,10,33,20,111.9,95.4,0.8616,52.7,48.3,16.5,17.5,27.6,28.3,35.5,29.4,54.4,48.5,33.3,31.9,36.7,39.5,69.3,1.2,8
,"   10 seed, ✅",,,,,83,22,43,88,59,132,152,246,96,107,85,61,81,199,70,240,203,67,43,#N/A
44,Cincinnati,B12,,33,18,111.6,95.3,0.859,50.9,48.6,15.5,19.7,32.3,30.1,23.4,24.3,52.6,48,32,33.2,38.1,34.2,65.2,-1,8
,,,,,,90,21,44,167,74,59,54,104,202,358,12,115,61,263,130,191,35,287,60,#N/A
45,UC San Diego,BW,12,34,30,113.5,97,0.8589,55.4,47.7,13.4,23.3,25.6,28.4,33.8,29.8,56.1,46.2,36.5,33.1,49.6,44.3,65.8,1.2,1
,"   12 seed, ✅",,,,,64,35,45,31,42,6,2,307,102,153,93,30,20,53,127,8,328,263,44,#N/A
46,Oklahoma,SEC,9,33,20,117.7,100.9,0.8549,54.9,51.1,17.3,18.1,26.5,31.7,39.6,35.8,54.6,54.9,37,30.5,41.9,41.9,68.4,2.1,8
,"   9 seed, ✅",,,,,30,77,46,38,189,185,111,273,275,29,253,52,322,34,20,106,284,109,37,#N/A
