,Entrants,Winning Pts,Winning Cash,Win $/Pt,$/Pt/Entrant,Total Points,Total Cash,$/Pt,$/Pt/Entrant
2006,6,81,$100.00 ,$1.23 ,$0.21 ,359,$582.00 ,$1.62 ,$0.27 
2007,8,60,$98.00 ,$1.63 ,$0.20 ,269,$788.00 ,$2.93 ,$0.37 
2008,7,70,$99.00 ,$1.41 ,$0.20 ,304,$662.00 ,$2.18 ,$0.31 
2009,9,69,$97.00 ,$1.41 ,$0.16 ,293,$844.00 ,$2.88 ,$0.32 
2010,7,85,$100.00 ,$1.18 ,$0.17 ,329,$697.00 ,$2.12 ,$0.30 
2011,8,112,$79.00 ,$0.71 ,$0.09 ,340,$761.00 ,$2.24 ,$0.28 
2012,7,73,$96.00 ,$1.32 ,$0.19 ,329,$678.00 ,$2.06 ,$0.29 
2013,7,90,$100.00 ,$1.11 ,$0.16 ,346,$675.00 ,$1.95 ,$0.28 
2014,6,104,$97.00 ,$0.93 ,$0.16 ,353,$588.00 ,$1.67 ,$0.28 
2015,7,61,$100.00 ,$1.64 ,$0.23 ,302,$697.00 ,$2.31 ,$0.33 
2016,8,87,$63.00 ,$0.72 ,$0.09 ,335,$761.00 ,$2.27 ,$0.28 
2017,8,77,$97.00 ,$1.26 ,$0.16 ,291,$776.00 ,$2.67 ,$0.33 
2018,10,100,$100.00 ,$1.00 ,$0.10 ,320,$980.00 ,$3.06 ,$0.31 
2019,7,78,$93.00 ,$1.19 ,$0.17 ,304,$645.00 ,$2.12 ,$0.30 
2021,9,78,$100.00 ,$1.28 ,$0.14 ,369,$891.00 ,$2.41 ,$0.27 
2022,7,107,$100.00 ,$0.93 ,$0.13 ,360,$692.00 ,$1.92 ,$0.27 
2023,7,70,$100.00 ,$1.43 ,$0.20 ,320,$700.00 ,$2.19 ,$0.31 
2024,6,112,$100.00 ,$0.89 ,$0.15 ,324,$600.00 ,$1.85 ,$0.31 
