Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Duke,Atlantic Coast,,31-3,96,,103,16,---,,18-0,120,1-Oct,84,2-Mar,36,,22-1,90,2-Sep,108,,3-May,Mar-00,3-Aug,Aug-00,13-0,Feb-00
,,,,,(31-3-0),,,,,,,(18-0-0),,(10-1-0),,(3-2-0),,,(22-1-0),,(9-2-0),,,(5-3-0),(3-0-0),(8-3-0),(8-0-0),(13-0-0),(2-0-0)
,2,Florida,Southeastern,,30-4,86,,95,19,---,,16-1,119,3-Jul,40,Jul-00,74,,17-4,32,13-0,174,,3-Jul,1-Jul,14-4,Jul-00,Apr-00,May-00
,,,,,(30-4-0),,,,,,,(16-1-0),,(7-3-0),,(7-0-0),,,(17-4-0),,(13-0-0),,,(7-3-0),(7-1-0),(14-4-0),(7-0-0),(4-0-0),(5-0-0)
,3,Auburn,Southeastern,,28-5,61,,70,8,7,,14-2,92,2-Aug,38,1-Jun,21,,16-4,31,1-Dec,106,,5-Jul,Dec-00,19-5,Mar-00,Feb-00,Apr-00
,,,,,(28-4-1),,,,,,,(14-1-1),,(8-2-0),,(6-1-0),,,(16-3-1),,(12-1-0),,,(7-4-1),(12-0-0),(19-4-1),(3-0-0),(2-0-0),(4-0-0)
,4,Houston,Big 12,,30-4,74,,84,3,20,,17-1,98,Oct-00,51,3-Mar,40,,20-1,44,3-Oct,122,,3-Aug,1-Apr,4-Dec,Nov-00,Apr-00,Mar-00
,,,,,(29-1-4),,,,,,,(17-0-1),,(9-0-1),,(3-1-2),,,(19-0-2),,(10-1-2),,,(7-1-3),(4-0-1),(11-1-4),(11-0-0),(4-0-0),(3-0-0)
,5,Gonzaga,West Coast,,25-8,128,,156,32,53,,14-2,154,2-Aug,139,4-Mar,50,,16-4,140,4-Sep,109,,3-Jan,3-Feb,6-Mar,2-Jul,Jul-00,Aug-00
,,,,,(25-5-3),,,,,,,(14-2-0),,(8-1-1),,(3-2-2),,,(16-3-1),,(9-2-2),,,(1-2-1),(2-2-1),(3-4-2),(7-1-1),(7-0-0),(8-0-0)
,6,Tennessee,Southeastern,,27-7,79,,96,16,---,,17-1,112,5-Jun,32,1-Apr,68,,14-7,30,13-0,159,,5-Jul,1-Jul,14-6,1-Mar,Jun-00,Apr-00
,,,,,(27-7-0),,,,,,,(17-1-0),,(6-5-0),,(4-1-0),,,(14-7-0),,(13-0-0),,,(7-5-0),(7-1-0),(14-6-0),(3-1-0),(6-0-0),(4-0-0)
,7,Alabama,Southeastern,,25-8,50,,67,14,3,,13-3,60,3-Sep,48,2-Mar,27,,14-6,29,2-Nov,83,,6-Jul,2-Aug,15-8,Jun-00,Feb-00,Feb-00
,,,,,(23-8-2),,,,,,,(13-3-0),,(8-3-1),,(2-2-1),,,(13-6-1),,(10-2-1),,,(5-6-2),(8-2-0),(13-8-2),(6-0-0),(2-0-0),(2-0-0)
,8,Iowa_St,Big 12,,24-9,88,,113,37,15,,15-2,126,5-Jun,50,2-Mar,45,,8-Dec,45,1-Dec,155,,6-Apr,1-Jan,7-May,13-1,1-Jan,May-00
,,,,,(23-7-3),,,,,,,(15-1-1),,(5-4-2),,(3-2-0),,,(11-6-3),,(12-1-0),,,(3-4-3),(1-1-0),(4-5-3),(13-1-0),(1-1-0),(5-0-0)
,9,St_John's,Big East,,30-4,100,,114,42,30,,19-0,120,2-Aug,82,2-Mar,60,,21-2,77,2-Sep,149,,Mar-00,4-Aug,4-Nov,Aug-00,Jun-00,May-00
,,,,,(28-3-3),,,,,,,(18-0-1),,(7-2-1),,(3-1-1),,,(19-2-2),,(9-1-1),,,(2-0-1),(7-3-2),(9-3-3),(8-0-0),(6-0-0),(5-0-0)
