Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Duke,Atlantic Coast,,31-3,87,,94,19,---,,18-0,116,1-Oct,67,2-Mar,32,,22-1,72,2-Sep,119,,3-May,Apr-00,3-Sep,Dec-00,Jul-00,Mar-00
,,,,,(31-3-0),,,,,,,(18-0-0),,(10-1-0),,(3-2-0),,,(22-1-0),,(9-2-0),,,(5-3-0),(4-0-0),(9-3-0),(12-0-0),(7-0-0),(3-0-0)
,2,Houston,Big 12,,30-4,71,,80,4,23,,17-1,98,Oct-00,42,3-Mar,37,,20-1,37,3-Oct,127,,3-Aug,May-00,13-3,1-Nov,Feb-00,Apr-00
,,,,,(29-1-4),,,,,,,(17-0-1),,(9-0-1),,(3-1-2),,,(19-0-2),,(10-1-2),,,(7-1-3),(5-0-0),(12-1-3),(11-0-1),(2-0-0),(4-0-0)
,3,Florida,Southeastern,,30-4,87,,95,21,---,,16-1,122,3-Jul,40,Jul-00,68,,17-4,34,13-0,172,,3-Jun,1-Jul,13-4,Sep-00,Mar-00,May-00
,,,,,(30-4-0),,,,,,,(16-1-0),,(7-3-0),,(7-0-0),,,(17-4-0),,(13-0-0),,,(6-3-0),(7-1-0),(13-4-0),(9-0-0),(3-0-0),(5-0-0)
,4,Auburn,Southeastern,,28-5,62,,71,11,10,,14-2,93,2-Aug,40,1-Jun,20,,16-4,34,1-Dec,104,,4-Jul,1-Nov,18-5,Apr-00,Feb-00,Apr-00
,,,,,(28-4-1),,,,,,,(14-1-1),,(8-2-0),,(6-1-0),,,(16-3-1),,(12-1-0),,,(7-3-1),(11-1-0),(18-4-1),(4-0-0),(2-0-0),(4-0-0)
,5,Iowa_St,Big 12,,24-9,83,,108,31,13,,15-2,123,5-Jun,43,2-Mar,38,,8-Dec,38,1-Dec,153,,6-Apr,1-Mar,7-Jul,2-Nov,Jan-00,May-00
,,,,,(23-7-3),,,,,,,(15-1-1),,(5-4-2),,(3-2-0),,,(11-6-3),,(12-1-0),,,(3-4-3),(3-1-0),(6-5-3),(11-2-0),(1-0-0),(5-0-0)
,6,St_John's,Big East,,30-4,86,,99,33,26,,19-0,111,2-Aug,58,2-Mar,50,,21-2,56,2-Sep,151,,Mar-00,4-Aug,4-Nov,Nov-00,Apr-00,Apr-00
,,,,,(28-3-3),,,,,,,(18-0-1),,(7-2-1),,(3-1-1),,,(19-2-2),,(9-1-1),,,(2-0-1),(7-3-2),(9-3-3),(11-0-0),(4-0-0),(4-0-0)
,7,Gonzaga,West Coast,,25-8,116,,141,32,52,,14-2,144,2-Aug,122,4-Mar,45,,16-4,121,4-Sep,108,,3-Jan,3-Feb,6-Mar,2-Jul,Aug-00,Jul-00
,,,,,(25-5-3),,,,,,,(14-2-0),,(8-1-1),,(3-2-2),,,(16-3-1),,(9-2-2),,,(1-2-1),(2-2-1),(3-4-2),(7-1-1),(8-0-0),(7-0-0)
,8,Texas_Tech,Big 12,,25-8,87,,111,34,26,,15-4,117,2-Aug,43,2-Feb,56,,15-6,39,2-Oct,171,,4-Apr,1-Apr,5-Aug,3-Oct,Mar-00,Apr-00
,,,,,(23-7-3),,,,,,,(14-3-2),,(7-2-1),,(2-2-0),,,(13-5-3),,(10-2-0),,,(3-3-2),(4-1-0),(7-4-2),(9-3-1),(3-0-0),(4-0-0)
,9,Tennessee,Southeastern,,27-7,82,,98,21,---,,17-1,120,5-Jun,34,1-Apr,52,,14-7,33,13-0,162,,5-Jun,1-Jul,13-6,1-Jun,Mar-00,May-00
,,,,,(27-7-0),,,,,,,(17-1-0),,(6-5-0),,(4-1-0),,,(14-7-0),,(13-0-0),,,(6-5-0),(7-1-0),(13-6-0),(6-1-0),(3-0-0),(5-0-0)
