Rank,Team,Rating
1,Florida (30-4),23.79
2,Duke (31-3),21.45
3,Auburn (28-5),21.32
4,Houston (30-4),19.13
5,Tennessee (27-7),19.1
6,Alabama (25-8),18.64
7,St. John’s (30-4),17.47
8,Michigan State (27-6),16.75
9,Gonzaga (25-8),16.44
10,Iowa State (24-9),16.03
11,Maryland (25-8),15.91
12,Wisconsin (26-9),15.82
13,Missouri (22-11),15.74
14,Texas Tech (25-8),15.59
15,Kentucky (22-11),15.53
16,Texas A&M (22-10),14.71
17,Arizona (22-12),14.52
18,Clemson (27-6),14.44
19,Kansas (21-12),13.89
20,Purdue (22-11),13.66
21,Marquette (23-10),13.62
22,St. Mary’s (27-5),13.42
23,Mississippi (22-11),13.34
24,Michigan (25-9),12.97
25,Illinois (21-12),12.88
26,Connecticut (23-10),12.73
27,Oregon (24-9),12.71
28,Brigham Young (24-9),12.67
29,Louisville (27-7),12.56
30,UCLA (22-10),12.19
31,Memphis (29-5),12.14
32,Creighton (24-10),11.99
33,New Mexico (25-7),11.92
34,Mississippi State (21-12),11.75
35,Baylor (18-14),11.74
36,VCU (27-6),11.69
37,Georgia (20-12),11.45
38,Oklahoma (20-13),10.95
39,Arkansas (20-13),10.94
40,Xavier (21-11),10.87
41,San Diego State (20-9),10.71
42,North Carolina (22-13),10.62
43,UC San Diego (28-4),10.56
44,Ohio State (17-15),10.39
45,Texas (19-15),10.21
46,Boise State (23-10),10.07
47,Vanderbilt (20-12),10.07
48,Indiana (19-13),9.85
49,Villanova (19-14),9.45
50,Colorado State (25-9),9.37
51,Utah State (25-7),9.32
52,Nebraska (17-14),9.08
53,Northwestern (17-16),9.06
54,Drake (28-3),9.06
55,West Virginia (19-13),8.87
56,Penn State (16-15),8.7
57,SMU (23-10),8.18
58,Liberty (25-6),8.09
59,McNeese State (25-6),8.07
60,Cincinnati (18-15),7.92
61,Kansas State (16-17),7.72
62,Dayton (21-10),7.36
63,USC (16-17),7.35
64,Santa Clara (20-12),7.33
65,South Carolina (12-20),7.25
66,Pittsburgh (17-15),7.22
67,UC Irvine (27-6),7.04
68,Yale (21-7),6.91
69,Rutgers (15-17),6.63
70,North Texas (22-8),6.61
71,San Francisco (23-9),6.6
72,Iowa (17-16),6.48
73,UCF (17-16),6.44
74,St. Joseph’s (22-12),6.36
75,Butler (14-19),6.1
76,Arizona State (13-19),6.04
77,Wake Forest (21-11),6.02
78,Georgetown (17-15),5.85
79,George Mason (25-8),5.8
80,Providence (12-20),5.73
81,LSU (14-18),5.72
82,Nevada (17-16),5.67
83,Arkansas State (23-10),5.55
84,Colorado (14-20),5.44
85,Minnesota (15-17),5.37
86,Utah (16-16),5.15
87,TCU (16-16),5
88,Oregon State (19-12),4.98
89,Grand Canyon (25-7),4.88
90,UNLV (18-15),4.88
91,Bradley (25-8),4.54
92,High Point (27-5),4.53
93,Stanford (20-13),4.32
94,Georgia Tech (17-16),4.27
95,Florida State (17-15),4.23
96,Notre Dame (15-18),4.19
97,UAB (21-12),4.15
98,Akron (26-6),3.96
99,Lipscomb (23-9),3.86
100,Troy (21-10),3.74
101,St. Bonaventure (21-11),3.62
102,Saint Louis (17-14),3.38
103,Wichita State (18-14),3.29
104,North Carolina Wilmington (25-7),3.27
105,Virginia (15-17),3.25
106,Washington (12-18),3.24
107,Oklahoma State (15-17),3.2
108,Middle Tennessee (20-11),2.96
109,North Carolina State (12-19),2.94
110,California (14-19),2.78
111,Northern Iowa (19-12),2.77
112,Chattanooga (22-9),2.61
113,George Washington (20-12),2.6
114,Washington State (19-14),2.6
115,Jacksonville State (19-12),2.59
116,Utah Valley (23-8),2.54
117,South Dakota State (17-12),2.53
118,Louisiana Tech (17-12),2.46
119,Syracuse (14-19),2.39
