Team,Index
Abilene Christian,6001
Air Force,6002
Akron,6003
Alabama,6004
Alabama A&M,6005
Alabama State,6006
Alabama_St,6006
Alabama St.,6006
Albany-NY,6007
Alcorn State,6008
American U.,6009
American_Univ,6009
American,6009
Appalachian State,6010
Arizona,6011
Arizona State,6012
Arizona_St,6012
Ark.-Pine Bluff,6013
Arkansas,6014
Arkansas State,6015
Army West Point,6016
Auburn,6017
Austin Peay,6018
Ball State,6019
Baylor,6020
Belmont,6021
Bethune-Cookman,6022
Binghamton-NY,6023
Boise St.,6024
Boise State,6024
Boise_St,6024
Boston College,6025
Boston U.,6026
Bowling Green,6027
Bradley,6028
Brown,6029
Bryant,6030
Bucknell,6031
Buffalo,6032
Butler,6033
BYU,6034
Brigham Young,6034
Cal Poly-SLO,6035
California,6036
California Baptist,6037
Campbell,6038
Canisius,6039
Central Arkansas,6040
Central Connecticut St.,6041
Central Florida(UCF),6042
Central Michigan,6043
Charleston,6053
Charleston Southern,6044
Charlotte,6045
Chattanooga,6046
Chicago State,6047
Cincinnati,6048
Clemson,6049
Cleveland State,6050
Coastal Carolina,6051
Col_Charleston,6053
Colgate,6052
College of Charleston,6053
Colorado,6054
Colorado State,6055
Colorado St.,6055
Colorado_St,6055
Colorado_St,6055
Columbia,6056
Connecticut,6057
Coppin State,6058
Cornell,6059
Creighton,6060
CS Bakersfield,6061
CS Fullerton,6062
CS Northridge,6063
Dartmouth,6064
Davidson,6065
Dayton,6066
Delaware,6067
Delaware State,6068
Denver,6069
DePaul,6070
Detroit Mercy,6071
Drake,6072
Drexel,6073
Duke,6074
Duquesne,6075
East Carolina,6076
East Tennessee State,6077
Eastern Illinois,6078
Eastern Kentucky,6079
Eastern Michigan,6080
Eastern Washington,6081
Elon,6082
Evansville,6083
Fairfield,6084
Fairleigh Dickinson,6085
FL_Atlantic,6089
Fla. International,6086
Florida,6087
Florida A&M,6088
Florida Atlantic,6089
Florida Gulf Coast,6090
Florida St,6091
Fordham,6092
Fort Wayne(PFW),6093
Fresno State,6094
Furman,6095
Gardner-Webb,6096
George Mason,6097
George Washington,6098
Georgetown,6099
Georgia,6100
Georgia Southern,6101
Georgia State,6102
Georgia Tech,6103
Gonzaga,6104
Grambling State,6105
Grambling,6105
Grand Canyon,6106
Grand_Canyon,6106
Green Bay,6107
Hampton,6108
Hartford,6109
Harvard,6110
Hawai'i,6111
High Point,6112
Hofstra,6113
Holy Cross,6114
Houston,6115
Houston Baptist,6116
Howard,6117
Idaho,6118
Idaho State,6119
Illinois,6120
Illinois State,6121
Illinois-Chicago,6122
Incarnate Word,6123
Indiana,6124
Indiana State,6125
Indiana_St,6125
Iona,6126
Iona College,6126
Iowa,6127
Iowa St.,6128
Iowa State,6128
Iowa_St,6128
IUPUI,6129
Jackson State,6130
Jacksonville,6131
Jacksonville State,6132
James Madison,6133
James_Madison,6133
Kansas,6134
Kansas City(UMKC),6135
Kansas St.,6136
Kansas State,6136
Kansas_St,6136
Kennesaw,6137
Kennesaw State,6137
Kent,6138
Kent State,6138
Kentucky,6139
La Salle,6140
Lafayette,6141
Lamar,6142
Lehigh,6143
Liberty,6144
Lipscomb,6145
Little Rock,6146
Long Beach State,6147
Long_Beach_St,6147
Long Island U.(LIU),6148
Longwood,6149
Louisiana,6150
Louisiana Tech,6151
Louisville,6152
Loyola Marymount,6153
Loyola-Chicago,6154
Loyola-Maryland,6155
LSU,6156
Maine,6157
Manhattan,6158
Marist,6159
Marquette,6160
Marshall,6161
Maryland,6162
Massachusetts,6163
McNeese,6164
McNeese_St,6164
McNeese State,6164
McNeese_St,6164
Md.-Eastern Shore(UMES),6165
Memphis,6166
Mercer,6167
Merrimack,6168
Miami,6169
Miami FL,6169
Miami_FL,6169
Miami-Florida,6169
Miami-Ohio,6170
Michigan,6171
Michigan St.,6172
Michigan State,6172
Michigan_St,6172
Middle Tennessee,6173
Milwaukee,6174
Minnesota,6175
Mississippi,6176
Mississippi St.,6177
Mississippi State,6177
Mississippi_St,6177
Missouri,6178
Missouri State,6179
Monmouth-NJ,6180
Montana,6181
Montana State,6182
Montana_St,6182
Morehead State,6183
Morehead_St,6183
Morgan State,6184
Mount St. Mary's,6185
Mount St. Mary’s,6185
Mt_St_Mary's,6185
Murray State,6186
MVSU(Miss. Valley St.),6187
N_Kentucky,6216
N.C. State,6193
Navy,6188
NC A&T,6189
NC Asheville,6190
NC Central,6191
NC Greensboro,6192
NC State,6193
North Carolina Wilmington,6194
NC Wilmington,6194
UNC_Wilmington,6194
UNC Wilmington,6194
NC_State,6193
Nebraska,6195
Nevada,6196
New Hampshire,6197
New Mexico,6198
New Mexico State,6199
New Orleans,6200
New_Mexico,6198
Niagara,6201
Nicholls State,6202
NJIT(New Jersey Tech),6203
Norfolk State,6204
Norfolk St,6204
Norfolk St,6204
Norfolk_St,6204
North Alabama,6205
North Carolina,6206
North Dakota,6207
North Dakota State,6208
North Florida(UNF),6209
North Texas,6210
North_Carolina,6206
Northeastern,6211
Northern Arizona,6212
Northern Colorado,6213
Northern Illinois,6214
Northern Iowa,6215
Northern Kentucky,6216
Northwestern,6217
Northwestern State,6218
Notre Dame,6219
Oakland-Mich.,6220
Oakland,6220
Ohio,6221
Ohio State,6222
Ohio_St,6222
Oklahoma,6223
Oklahoma St.,6224
Oklahoma State,6224
Oklahoma_St,6224
Old Dominion,6225
Nebraska Omaha,6226
Omaha,6226
Omaha(Neb.-Omaha),6226
NE_Omaha,6226
Oral Roberts,6227
Oral_Roberts,6227
Oregon,6228
Oregon State,6229
Pacific,6230
Penn St.,6231
Penn State,6231
Penn_St,6231
Pennsylvania,6232
Pepperdine,6233
Pittsburgh,6234
Portland,6235
Portland State,6236
Prairie View A&M,6237
Presbyterian College,6238
Princeton,6239
Providence,6240
Purdue,6241
Quinnipiac,6242
Radford,6243
Rhode Island,6244
Rice,6245
Richmond,6246
Rider,6247
Robert Morris,6248
Rutgers,6249
Sacramento State,6250
Sacred Heart,6251
Saint Francis,6252
St. Francis (PA),6252
