Seed,Team,Golden Ratio,VEGsemble
1,Duke,20,30
1,Auburn,20,20
1,Florida,30,42
1,Houston,42,6
2,Tennessee,12,6
2,Alabama,12,12
2,St. John's,6,2
2,Michigan State,12,12
3,Iowa State,6,2
3,Texas Tech,13,12
3,Wisconsin,6,2
3,Kentucky,2,13
4,Maryland,6,2
4,Arizona,6,6
4,Purdue,2,24
4,Texas A&M,6,6
5,Clemson,7,2
5,Oregon,2,0
5,Memphis,0,2
5,Michigan,2,2
6,BYU,0,9
6,Missouri,2,2
6,Mississippi,0,0
6,Illinois,9,2
7,Kansas,2,0
7,Saint Mary's,2,2
7,Marquette,2,0
7,UCLA,2,2
8,Connecticut,2,2
8,Louisville,0,2
8,Mississippi State,0,0
8,Gonzaga,2,2
9,Oklahoma,0,0
9,Baylor,3,3
9,Creighton,3,0
9,Georgia,0,0
10,Arkansas,0,17
10,Vanderbilt,0,0
10,New Mexico,0,5
10,Utah State,0,0
11,North Carolina,8,20
11,Drake,0,0
11,San Diego State,0,0
11,VCU,7,0
11,Texas,0,0
11,Xavier,1,1
12,UC San Diego,0,0
12,Colorado State,9,0
12,Liberty,0,9
12,McNeese State,0,0
13,Yale,0,0
13,Grand Canyon,0,0
13,Akron,0,0
13,High Point,0,0
14,Lipscomb,0,0
14,NC Wilmington,0,0
14,Montana,0,0
14,Troy,0,0
15,Bryant,0,0
15,Omaha,0,0
15,Robert Morris,0,0
15,Wofford,0,0
16,Alabama State,0,0
16,Saint Francis (PA),0,0
16,Norfolk State,0,0
16,American,0,0
16,Mount St. Mary's,0,0
16,SIU Edwardsville,0,0
