Rank,Team,Odds,Implied Probability
1,Duke,-280,73.68%
1,Florida,-240,70.59%
1,Auburn,-210,67.74%
1,Houston,-145,59.18%
2,Tennessee,100,50.00%
2,Alabama,120,45.45%
2,Texas Tech,135,42.55%
2,Michigan State,140,41.67%
3,St. Johns,210,32.26%
3,Iowa State,220,31.25%
3,Wisconsin,300,25.00%
3,Maryland,360,21.74%
4,Kentucky,360,21.74%
4,BYU,425,19.05%
4,Gonzaga,425,19.05%
4,Arizona,450,18.18%
5,Illinois,475,17.39%
5,Ole Miss,500,16.67%
5,Missouri,500,16.67%
5,Marquette,500,16.67%
6,Saint Marys,500,16.67%
6,UCLA,550,15.38%
6,Kansas,550,15.38%
6,Louisville,600,14.29%
7,Texas A&M,650,13.33%
7,Purdue,650,13.33%
7,Clemson,650,13.33%
7,UConn,850,10.53%
8,New Mexico,850,10.53%
8,Creighton,850,10.53%
8,VCU,900,10.00%
8,Texas,900,10.00%
9,North Carolina,900,10.00%
9,Mississippi State,900,10.00%
9,Michigan,950,9.52%
9,Georgia,1000,9.09%
10,UC San Diego,1200,7.69%
10,Oregon,1300,7.14%
10,Vanderbilt,1500,6.25%
10,Oklahoma,1500,6.25%
11,McNeese,1500,6.25%
11,Drake,1500,6.25%
11,Colorado State,1500,6.25%
11,Memphis,2000,4.76%
11,Utah State,3000,3.23%
11,Liberty,3000,3.23%
12,Xavier,3500,2.78%
12,Bryant,5000,1.96%
12,Yale,5000,1.96%
12,Lipscomb,8000,1.23%
13,Grand Canyon,8000,1.23%
13,Wofford,10000,0.99%
13,UNC Wilmington,10000,0.99%
13,Troy,10000,0.99%
14,Omaha,10000,0.99%
14,Montana,10000,0.99%
14,High Point,10000,0.99%
14,Akron,10000,0.99%
15,SIU Edwardsville,15000,0.66%
15,Norfolk State,15000,0.66%
15,Robert Morris,15000,0.66%
15,Mount Saint Marys,15000,0.66%
16,American,15000,0.66%
16,Alabama State,15000,0.66%
,,,
,,,
,,,
,,,
