,Elite 8,Rk,Seed,Win,AdjOE,AdjDE,AdjOD,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,Conf_A10,Conf_ACC,Conf_AE,Conf_ASun,Conf_Amer,Conf_B10,Conf_B12,Conf_BE,Conf_BSky,Conf_BSth,Conf_BW,Conf_CAA,Conf_CUSA,Conf_Horz,Conf_Ind,Conf_Ivy,Conf_MAAC,Conf_MAC,Conf_MEAC,Conf_MVC,Conf_MWC,Conf_NEC,Conf_OVC,Conf_P12,Conf_Pat,Conf_SB,Conf_SC,Conf_SEC,Conf_SWAC,Conf_Slnd,Conf_Sum,Conf_WAC,Conf_WCC
0,1,5.8971538676367405,4.605170185988092,3.58351893845611,4.8283137373023015,4.532599493153256,1,0.677424220094709,4.044804116661965,3.8649313978942956,2.8507065015037334,3.0726933146901194,3.374168709274236,3.414442608412176,3.55820113047182,3.4339872044851463,4.067315889834181,3.8088822465086327,3.616308761279101,3.5524868292083815,3.7773481021015445,3.648057459593681,4.2017030805426,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,5.8944028342648505,4.61512051684126,3.4965075614664802,4.808927023502111,4.526126978647638,1,0.6749322921390403,4.037774210733707,3.8308129500026027,2.9338568698359038,2.970414465569701,3.502549875922443,3.3638415951183864,3.6788291182604347,3.6454498961866,3.983413001514819,3.7932394694381792,3.744787086052232,3.5115454388310208,3.520460802488973,3.5115454388310208,4.251348311031766,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,5.8916442118257715,4.61512051684126,3.4011973816621555,4.802380355275797,4.533674184283021,1,0.671617062009582,4.021773869387265,3.899950424193877,2.7788192719904172,2.9856819377004897,3.4307561839036995,3.265759410767051,3.4995332823830174,3.5380565643793527,3.9815490680767565,3.856510295497887,3.720862499966987,3.5751506887855933,3.3775875160230218,3.629660094453965,4.12552017969055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,5.8888779583328805,4.61512051684126,3.5263605246161616,4.8307108619020225,4.575741375297279,0,0.6681882825187498,3.9815490680767565,3.893859034800475,2.797281334830153,2.954910279033736,3.730501128804756,3.4339872044851463,3.505557396986398,3.4468078929142076,4.005513348515485,3.8199077165203406,3.517497837358316,3.616308761279101,3.3214324131932926,3.6000482404073204,4.273884476054178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,5.886104031450156,4.584967478670572,3.332204510175204,4.827513417131532,4.577798989191959,0,0.6666491892537171,3.9982007016691985,3.817712325956905,2.8449093838194073,2.9444389791664403,3.6506582412937387,3.493472657771326,3.6584202466292277,3.7328963395307104,3.9871304779149512,3.7773481021015445,3.6270040503958487,3.5145260669691587,3.4657359027997265,3.4210000089583352,4.223909766576744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,0,5.883322388488279,4.605170185988092,3.4011973816621555,4.823502180305079,4.585987366571318,0,0.662945671826824,4.048300623720694,3.7909846770510898,2.9231615807191558,2.7212954278522306,3.6402142821326553,3.2308043957334744,3.4339872044851463,3.55820113047182,3.9589065913269965,3.754198920234579,3.7932394694381792,3.4657359027997265,3.6000482404073204,3.5115454388310208,4.215086179918229,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,5.8805329864007,4.59511985013459,3.295836866004329,4.75960653929251,4.528289141652134,0,0.6606756404129827,3.927896354584436,3.899950424193877,3.044522437723423,3.258096538021482,3.7612001156935624,3.3357695763397,3.8543938925915096,4.030694535145645,3.937690752176724,3.885679030088544,3.5115454388310208,3.529297384289471,3.4531571205928664,3.6189933266497696,4.2626798770413155,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,5.877735781779639,4.605170185988092,3.4011973816621555,4.788324729085938,4.5591262474866845,1,0.6599522757023043,4.012772908528289,3.8753590210565547,2.9601050959108397,2.928523523860541,3.4719664525503626,3.449987545831587,3.5263605246161616,3.3775875160230218,3.8958936234982624,3.835141961092188,3.765840495250065,3.5467396869528134,3.730501128804756,3.6027767550605247,4.2612704335380815,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,5.87493073085203,4.574710978503383,3.295836866004329,4.779963476361254,4.558078578454241,1,0.6574163706041464,4.000033882750859,3.8133070324889884,2.928523523860541,2.6878474937846906,3.58351893845611,3.1945831322991562,3.594568774642695,3.370738174177447,3.9852734671677386,3.7819143200811256,3.629660094453965,3.4781584227982836,3.6054978451748854,3.529297384289471,4.23410650459726,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,5.872117789475416,4.51085950651685,3.258096538021482,4.719391330078114,4.499809670330265,0,0.6563275824214087,3.910021002757473,3.822098297900159,2.7536607123542622,3.186352633162641,3.487375077903208,3.202746442938317,3.648057459593681,3.8372994592322094,3.9160150266976834,3.763522997109702,3.505557396986398,3.517497837358316,3.66612246699132,3.6375861597263857,4.203198967134183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
